company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
COSTA NAVARINO,Greece,3 months ago,25 applicants,Demi Chef De Partie for Costa Navarino Dunes (2024),"Costa Navarino is in Messinia in the southwest Peloponnese, in one of the most unspoiled and breathtaking landscapes in the Mediterranean. It is currently home to four 5-star deluxe hotels, The Romanos, a Luxury Collection Resort and The Westin Resort at Navarino Dunes, W-Costa Navarino at Navarino Waterfront and Mandarin Oriental at Navarino Bay.In the coming years, more upscale branded hotels will be added to our portfolio, both in Messinia and Athens, including the re-launch of the former Athens Hilton.Navarino Dunes Costa Navarino facilities include 766 bedroom units award winning Anazoe Spa, a 4,000m2 spa & thalassotherapy center, four multi-awarded, signature golf courses, over 20 fine dining venues, 5,000 m2 House of Events and a wide range of sports, such as the ""Mouratoglou Tennis Center"", Bayern Munich football academy, Navarino Outdoor and many more.The award-winning The Romanos, a Luxury Collection Resort and The Westin Resort, Costa Navarino are seeking for a Demi Chef De Partie to make an impact on this job. The successful candidate will strongly support the Chef de Partie, will be an expert in kitchens and will be passionate about creating recipes guest will remember.As our Demi Chef De Partie you will:Estimate and communicate daily production needsDemonstrate proper and safe usage of all kitchen equipmentHave knowledge of all standard procedures and policies pertaining to food preparation, receiving, storage and sanitationRespond appropriately to guests' needs during the hours of operationHave the ability to support the control of food costBe able to clearly define productivity standards with quality requirements and methods required to obtain themCheck that all food and beverage outlets' orders are at the correct level and do not surpass the stocks which are requiredRequirementsMinimum of 3 years' experience in the sector, including a minimum of 1 year as a Demi Chef De Partie in an international 5*hotel chainAbility to speak, write and converse freely in both Greek and EnglishStrong computer skillsA culinary degreeGood hygiene knowledge and HACCP StandardsHigh energy, ability to work under pressure, good organizational skills and interpersonal skillsBenefitsCompetitive compensation packageOn-going training opportunitiesAccommodation in the vicinity of Navarino Dunes (for non - Messinian residents)Meals within the premisesPrivate Medical PlanUse of Navarino Dunes Facilities, according to the relevant policies


        Show more

        


        Show less",Entry level,Contract,Management and Manufacturing,"Technology, Information and Internet"
COSTA NAVARINO,Greece,3 months ago,43 applicants,Commis Chef for W Costa Navarino (2024),"Costa Navarino is in Messinia in the southwest Peloponnese, in one of the most unspoiled and breathtaking landscapes in the Mediterranean. It is currently home to four 5-star deluxe hotels, The Romanos, a Luxury Collection Resort and The Westin Resort at Navarino Dunes, W-Costa Navarino at Navarino Waterfront and Mandarin Oriental Costa Navarino at Navarino Bay.In the coming years, more upscale branded hotels will be added to our portfolio, both in Messinia and Athens, including the re-launch of the former Athens Hilton.W Costa Navarino is seeking for a Commis Chef to make an impact on this job. The successful candidate will strongly support the Culinary Team, will be an expert in kitchens and will be passionate about creating recipes guest will remember.As our Commis Chef you will:Estimateand communicate daily production needsDemonstrate proper and safe usage of all kitchen equipmentHaveknowledge of all standard procedures and policies pertaining to foodpreparation, receiving, storage and sanitationRespondappropriately to guests' needs during the hours of operationHave the ability to support the control of food costBe able to clearly define productivity standards with quality requirementsand methods required to obtain themCheck that all food and beverage outlets' orders are at the correct level and do not surpass the stocks which are requiredRequirementsTo be successful in this role you must possess:Minimum 2 years' experience in the sector, preferably in an international 5*hotel chainAbility to speak, write and converse freely in both Greek and EnglishStrong computer skillsA culinary degreeGood hygiene knowledge and HACCP StandardsHigh energy, ability to work under pressure, good organizational skills and interpersonal skillsBenefitsCompetitive compensation packageOn going training opportunitiesAccommodation in the vicinity of Navarino Dunes (for non Messinians)Meals within the premisesPrivate Medical PlanUse of Navarino Dunes Facilities, according to the relevant policies


        Show more

        


        Show less",Entry level,Contract,Management and Manufacturing,"Technology, Information and Internet"
COSTA NAVARINO,Greece,3 months ago,,Demi Chef De Partie for W Costa Navarino (2024),"Costa Navarino is in Messinia in the southwest Peloponnese, in one of the most unspoiled and breathtaking landscapes in the Mediterranean. It is currently home to four 5-star deluxe hotels, The Romanos, a Luxury Collection Resort and The Westin Resort at Navarino Dunes, W-Costa Navarino at Navarino Waterfront and Mandarin Oriental Costa Navarino at Navarino Bay.In the coming years, more upscale branded hotels will be added to our portfolio, both in Messinia and Athens, including the re-launch of the former Athens Hilton.W Costa Navarino is seeking for a Demi Chef De Partie to make an impact on this job. The successful candidate will strongly support the Chef de Partie, will be an expert in kitchens and will be passionate about creating recipes guest will remember.As our Demi Chef De Partie you will:Estimate and communicate daily production needsDemonstrate proper and safe usage of all kitchen equipmentHave knowledge of all standard procedures and policies pertaining to food preparation, receiving, storage and sanitationRespond appropriately to guests' needs during the hours of operationHave the ability to support the control of food costBe able to clearly define productivity standards with quality requirements and methods required to obtain themCheck that all food and beverage outlets' orders are at the correct level and do not surpass the stocks which are requiredRequirementsMinimum of 4 years' experience in the sector, including a minimum of 1 year as a Demi Chef De Partie in an international 5*hotel chainAbility to speak, write and converse freely in both Greek and EnglishStrong computer skillsA culinary degreeGood hygiene knowledge and HACCP StandardsHigh energy, ability to work under pressure, good organizational skills and interpersonal skillsBenefitsCompetitive compensation packageOn going training opportunitiesAccommodation in the vicinity of Navarino Dunes (for non Messinians)Meals within the premisesPrivate Medical PlanUse of Navarino Dunes Facilities, according to the relevant policies


        Show more

        


        Show less",Entry level,Contract,Management and Manufacturing,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",10 months ago,,Chef de Rang/Πασσαδόρος - MAKRIS Athens,"Η Domes Resorts προσγειώνεται στην Αθήνα, καλωσορίζοντας το πρώτο degustation εστιατόριο στο Θησείο. Ο Executive Chef Πέτρος Δήμας και η ταλαντούχα ομάδα του δημιουργούν την απόλυτη fine dining εμπειρία και επιμελούνται ένα μενού βασισμένο στην Ελληνική δημιουργική κουζίνα. Αυτήν την στιγμή αναζητούμε Chef de Rang/Πασσαδόρο με όρεξη και πάθος για να γίνει μέρος της ομάδας MAKRIS Athens by Domes.RequirementsΑπαραίτητα προσόντα:Πτυχίο τουριστικών σπουδών θα ληφθεί υπ' όψινΑπαραίτητη η πολύ καλή γνώση της αγγλικής και προαιρετικά μιας δεύτερης ξένης γλώσσαςΕπιθυμητή η προϋπηρεσία σε à la carte εστιατόρια ή σε εστιατόρια πολυτελείαςΆριστη γνώση τεχνικών serviceΕυγένεια, ευχάριστη και φιλική προσωπικότηταΠνεύμα ομαδικότητας και συνεργασίαςΠροσεγμένη εμφάνιση, καθαριότηταΠροσανατολισμένος-η στην εξυπηρέτηση και την ικανοποίηση του πελάτηBenefitsΠαρέχουμεΠακέτο αποδοχών ανάλογοπροσόντων και προϋπηρεσίαςΠροοπτικές και ευκαιρίες επαγγελματικής εξέλιξηςΕπαγγελματικό περιβάλλον εργασίαςΣυνεχή εκπαίδευσηDomes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Mid-Senior level,Full-time,Other,"Technology, Information and Internet"
COSTA NAVARINO,Greece,2 months ago,,Baker Demi Chef De Partie for W Costa Navarino (2024),"Costa Navarino is in Messinia in the southwest Peloponnese, in one of the most unspoiled and breathtaking landscapes in the Mediterranean. It is currently home to four 5-star deluxe hotels, The Romanos, a Luxury Collection Resort and The Westin Resort at Navarino Dunes, W-Costa Navarino at Navarino Waterfront and Mandarin Oriental Costa Navarino at Navarino Bay.In the coming years, more upscale branded hotels will be added to our portfolio, both in Messinia and Athens, including the re-launch of the former Athens Hilton.W Costa Navarino is seeking for a Baker Demi Chef De Partie to make an impact on this job. The successful candidate will strongly support the Baker Chef de Partie, do the preparation of all sorts of bread and bakeries, and be responsible for the breakfast section.As our Baker Demi Chef De Partie you will:Demonstrate proper and safe usage of all kitchen equipmentHave knowledge of all standard procedures and policies pertaining to food preparation, receiving, storage and sanitationRespond appropriately to guests' needs during the hours of operationPrepare, produce, and bake different bread types, like pretzels, baguettes, multigrain breads, sourdough, brioche, etcHelp the head baker to develop new products for a la carte or menus on a rotating basisDecorates baked goods and themed buffetsMaintains adequate supply of all prepared products on hand and ensures proper storage and refrigerationRequirementsMinimum of 1 year experience in the sector, (experience in an international 5* hotel chain will be considered as an advantage)Ability to speak, write and converse freely in both Greek and EnglishStrong computer skillsBaker's Certificate /degreeGood hygiene knowledge and HACCP StandardsHigh energy, ability to work under pressure, good organizational skills and interpersonal skillsBenefitsCompetitive compensation packageOn going training opportunitiesAccommodation in the vicinity of Navarino Dunes (for non Messinians)Meals within the premisesPrivate Medical PlanUse of Navarino Dunes Facilities, according to the relevant policies


        Show more

        


        Show less",Entry level,Contract,Management and Manufacturing,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",7 months ago,57 applicants,Pastry Cook - MAKRIS Athens,"Η Domes Resorts προσγειώνεται στην Αθήνα, καλωσορίζοντας το πρώτο degustation εστιατόριο στο Θησείο. Ο Executive Chef Πέτρος Δήμας και η ταλαντούχα ομάδα του δημιουργούν την απόλυτη fine dining εμπειρία και επιμελούνται ένα μενού βασισμένο στην Ελληνική δημιουργική κουζίνα. Αυτήν την στιγμή αναζητούμε Pastry Cook/Ζαχαροπλάστη με όρεξη και πάθος για να γίνει μέρος της ομάδας MAKRIS Athens by Domes.RequirementsΑπαραίτητα προσόντα:Απόφοιτος/-η σχολής μαγείρωνΠροϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte ή σε ξενοδοχεία 5*Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειαςΚαλή γνώση της αγγλικής γλώσσαςΠροσαρμοστικότητα στο περιβάλλον εργασίαςΠροσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφώνΠνεύμα ομαδικότητας και συνεργασίαςΠροσεγμένη εμφάνιση, καθαριότηταΕπαγγελματισμόςBenefitsΠαρέχουμεΠακέτο αποδοχών ανάλογοπροσόντων και προϋπηρεσίαςΠροοπτικές και ευκαιρίες επαγγελματικής εξέλιξηςΕπαγγελματικό περιβάλλον εργασίαςΣυνεχή εκπαίδευσηDomes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
,,,,,,,,,
COSTA NAVARINO,Greece,3 months ago,,Commis Pastry Chef for Costa Navarino Dunes (2024),"Costa Navarino is in Messinia in the southwest Peloponnese, in one of the most unspoiled and breathtaking landscapes in the Mediterranean. It is currently home to four 5-star deluxe hotels, The Romanos, a Luxury Collection Resort and The Westin Resort at Navarino Dunes, W-Costa Navarino at Navarino Waterfront and mandarin Oriental at Navarino Bay.In the coming years, more upscale branded hotels will be added to our portfolio, both in Messinia and Athens, including the re-launch of the former Athens Hilton.Navarino Dunes Costa Navarino facilities include 766-bedroom units award winning Anazoe Spa, a 4,000m2 spa & thalassotherapy center, four multi-awarded, signature golf courses, over 20 fine dining venues, 5,000 m2 House of Events and a wide range of sports, such as the ""Mouratoglou Tennis Center"", Bayern Munich football academy, Navarino Outdoor and many more.The award-winning The Romanos, a Luxury Collection Resort and The Westin Resort, Costa Navarino are seeking for a Commis Pastry Breakfast Chef to make an impact on this job. The successful candidate will strongly support the Pastry Team, will be an expert in Pastry and will be passionate about creating recipes guests will remember.As our Commis Pastry Breakfast Chef, you will:Prepare and create the producers that have been setDemonstrate proper and safe usage of all Pastry equipmentHave knowledge of all standard procedures and policies pertaining to food preparation, receiving, storage and sanitationRespond appropriately to guests' needs during the hours of operationCheck that all food and beverage outlets' orders are at the correct level and do not surpass the stocks which are requiredRequirementsMinimum 1 year experience in the sector, preferably in an international 5*hotel chainAbility to speak, write and converse freely in Greek and in English optionallyA pastry / culinary degreeGood hygiene knowledge and HACCP StandardsHigh energy, ability to work under pressure, good organizational skills, and interpersonal skillsBenefitsCompetitive compensation packageOn going training opportunitiesAccommodation in the vicinity of Navarino Dunes (for non Messinians)Meals within the premisesPrivate Medical PlanUse of Navarino Dunes Facilities, according to the relevant policies


        Show more

        


        Show less",Entry level,Full-time,Management and Manufacturing,"Technology, Information and Internet"
,,,,,,,,,
Domes Resorts ,"Athens, Attiki, Greece",10 months ago,146 applicants,Head Bartender - MAKRIS Athens,"Η Domes Resorts προσγειώνεται στην Αθήνα, καλωσορίζοντας το πρώτο degustation εστιατόριο στο Θησείο. Ο Executive Chef Πέτρος Δήμας και η ταλαντούχα ομάδα του δημιουργούν την απόλυτη fine dining εμπειρία και επιμελούνται ένα μενού βασισμένο στην Ελληνική δημιουργική κουζίνα. Αυτήν την στιγμή αναζητούμε Head Bartender με όρεξη και πάθος για να γίνει μέρος της ομάδας MAKRIS Athens by Domes.RequirementsΑπαραίτητα προσόντα:Απόφοιτος τουριστικής σχόληςΠτυχίο bartenderΆριστη γνώση παρασκευής cocktailμε προϋπηρεσία σε υψηλής γαστρονομίας εστιατόριαΑπαραίτητη η πολύ καλή γνώση της αγγλικής και προαιρετικά μιας δεύτερης ξένης γλώσσαςΑνάλογη προϋπηρεσία τουλάχιστον 2 ετών σε αντίστοιχη θέση σε υπηρεσίες εστίασηςΕυγένεια, ευχάριστη και φιλική προσωπικότηταΠνεύμα ομαδικότητας και συνεργασίαςΠροσεγμένη εμφάνιση, καθαριότηταΠροσανατολισμένος-η στην εξυπηρέτηση και την ικανοποίηση του πελάτηWSET πιστοποίηση (θα θεωρηθεί προσόν)BenefitsΠαρέχουμεΠακέτο αποδοχών ανάλογοπροσόντων και προϋπηρεσίαςΠροοπτικές και ευκαιρίες επαγγελματικής εξέλιξηςΕπαγγελματικό περιβάλλον εργασίαςΣυνεχή εκπαίδευσηDomes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Mid-Senior level,Full-time,Other,"Technology, Information and Internet"
