company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Orange,"Villejuif, Île-de-France, France",6 days ago,,Ingénieur génie civil F/H,"Vous serez rattaché/ée à la Direction d'Affaires Génie Civil & Collectivités Locales de l'Unité Clients et Intervention Ile de France. Cette entité a pour missions, pour son territoire, de :- gérer et défendre le patrimoine Génie Civil- animer la filière métier- définir la stratégie commerciale vis-à-vis des Collectivités locales- piloter la performance opérationnelle et financière du domaine Génie Civil, patrimoine d'Orange 	Expertise- Vous renforcez, organisez et développez l'expertise génie civil- Vous intégrez un réseau d'experts nationaux - Vous savez de quoi vous parlez pour accompagner les projets industriels et les évolutions métiersConstruction, maintenance et production- Vous êtes le référent des infrastructures - Vous optimisez les choix techniques, économiques en lien avec le territoire- Vous maitrisez les différentes techniques liées aux infrastructures de génie civil en environnement routier et/ou télécomProfessionnalisation- Vous travaillez en concertation des pôles de professionnalisation- vous dispensez des formations sur le génie civil et vous êtes le formateur référent de l'entitéACTIVITES- Vous collaborez étroitement avec le Responsable de processus Génie Civil de l'unité sur les projets métiers proposés par la direction métier ; vous apportez dans ce cadre votre expertise technique et votre connaissance du territoire pour permettre la déclinaison opérationnelle de ses projets - Vous apportez conseil et assistance dans le cadre d'opérations ou d'investissements, y compris dans les étapes de validation financière des opérations- Vous porterez des projets visant à renforcer l'expertise génie civil au sein de la Direction Affaires et de ses partenaires au sein de l'unité d'intervention. Vous partagez régulièrement avec les acteurs sur le terrain, qu'ils aient la charge d'opérations de production ou de maintenance. Vous fédérez les expertises sur les projets industriels de l'unité : la fin du déploiement FTTH ou le programme décommissionnement du Cuivre en sont des exemples- Vous assurez une veille technologique sur les nouvelles techniques de génie civil- Vous disposez des compétences nécessaires pour faire évoluer les pratiques, accompagner la mise en place de techniques innovantes sur les territoires et créer des synergies avec les acteurs d'infrastructures sur le territoire (Electricité, eau, gaz,...)Compétences- De formation initiale bac + 3 (avec expérience significative) à bac + 5 en BTP ou génie civil- Vous travaillez au quotidien en mode projet (comité opérationnel et pilotage ...) - Vous avez de l'expérience sur le réseau et le génie civil dans le domaine des Télécoms - Vous connaissez les outils et méthodes de l'amélioration continue - Le permis B : un véhicule de service est mis à votre disposition- La présence sur les réseaux et la pratique du networking sont considérées comme un plus   L'ambition d'Orange est d'être l'opérateur industriel de référence pour le génie civil !Profil- Analyse, esprit de synthèse et présentation sont vos points forts- Vous conciliez travail en équipe et travail en transverse !- A l'aise dans le relationnel et la communication, vous savez parler de façon claire et concise- Vous savez être autant dans l'action que dans la réflexion et capable d'agir vite et bien en toute circonstance- Pragmatique vous êtes force de proposition- Votre appétence aux enjeux, contraintes opérationnelles, budgétaires, réglementaires et juridiques sont reconnues	Ref : 19452642
      

        Show more

        


        Show less",Associate,Full-time,Information Technology,Telecommunications
ABYSS ENERGY,"Paris, Île-de-France, France",2 weeks ago,,CIVIL ENGINEER,"Civil Engineer ProjetLa prestation objet du présent document s inscrit dans le cadre du projet : EVAN SHOAL & VARIOUS PROJECTSObjetLa prestation demandée porte sur la réalisation de prestation  :  Ingénieur Génie-Civil spécialiste calcul des structures complexes en Béton précontraintCompetences ExigeesPour la réalisation de la présente prestation, le Titulaire devra apporter les compétences décrites ci-dessous :  Diplômé d'une école d'Ingénieur (ENPC,ESTP, CHEC)  Large expèrience dans les calculs et conception des structures en béton précontraint complexes.  Maitrise des calculs aux Elément Finis applicable aux calcul des structures complexes en béton précontraint.  Expérimenté dans les calculs des structures sous séisme. (Méthode spectral et time domaine)  Langues: Anglais: Indispensable  Italien: souhaité  ]]>
      

        Show more

        


        Show less",Entry level,Full-time,Engineering,Engineering Services
SOFREGAZ SAS,Greater Paris Metropolitan Region,3 weeks ago,,Civil and Structural Engineer - Oil & Gas,"SOFREGAZ is an international engineering company covering the full spectrum of natural gas, liquid hydrocarbons, new energies such as hydrogen and NH3 and CO2 (Carbone captured utilisation, liquefaction and storage). Furthermore, SOFREGAZ is a worldwide recognized engineering specialist for LNG solutions. SOFREGAZ projects are ranging from conceptual studies, to FEED studies, detailed engineering and small to medium EPCs.Under responsibility of head of department and project manager, ensures technical coordination of his/her team and manages interfaces with other leaders of disciplines, establishes the REX and implements the subsequent actions.. Furthermore, the Lead Civil Engineer will ensure the following tasks :Analysis of site data (topography, geotechnics, climatic data, seismicity, etc.),Preparation of specifications for design, material, fabrication and constructions works in compliance with applicable codes and standards.,Preparation of standards for civil engineering works, roads and various networks, steel and concrete structures,Structural calculations (finite element analysis) of structures, drainage calculations for underground networks,Perform execution plans for reinforced concrete works, roads, underground installations,Coordination and supervision of detailed studies carried out by subcontractors,Preparation of requisitions,Selection of subcontractors and preparation of technical bid evaluation.Requirements :Recognized Master in Civil or Structural Engineering, or doctoral degree specializing in the civil engineering Proven experience in geotechnical assessment and foundation design.Extensive design and analysis design experience in LNG tank design (full containment tank,membrane tank,double dome tank)Experience in design of marine infrastructures (platform, access treste, dolfins) is an assetKnowledge of regulation, codes, and standards to Oil &Gas: EUROCODES, EN 1473, EN 14620, AISC, API,Knowledge of works methods and procedures used in the Oil & Gas,Software knowledges : Staad Pro, Robot Structural analysis, Sofistik, etc…Fluency in English and French is essential. A third language (German,or Mandarin in particular) is an asset.You are open to travel in France and in foreign countries for short-term travel.Benefits & CompensationMeal tickets (card)Inter-company restaurantHealth insuranceRemote work (one day per week)Car/Bike Park75% contribution to transport costsThis position requires a mobility for regular visits to company, contractors or sub-contractor locations. If you are attracted by an international and stimulating work environment and think match with the job requirements, we encourage you to apply for this exciting opportunity to join the team in Paris La Défense (Puteaux), France.· Location: Paris La Défense (Puteaux), France · Position: Lead Civil Engineer· Experience: Over 10 years· Contract Type: PermanentWe're committed to fostering a workforce that reflects the diversity of the communities in which we operate and serve. Sofregaz is an Equal Opportunity Employer that considers applicants without regard to age, race, colour, national origin, citizenship, religion, creed, gender, sexual orientation, marital status, disability, or any other protected status


        Show more

        


        Show less",Associate,Full-time,Engineering and Design,Oil and Gas
IKOS GROUP,"Levallois-Perret, Île-de-France, France",1 week ago,183 applicants,Ingénieur génie civil,"EXPERTS ET PASSIONNESIKOS est la société de conseil spécialisée dans l’ingénierie ferroviaire. À travers nos valeurs, nous nous engageons à participer à la transition écologique en développant les modes de transport du futur, qui seront sûrs et durables, ainsi qu’une énergie plus verte. Nos 1500 ingénieurs réalisent des projets avec le support de notre entité IKOS LAB qui pilote également nos programmes de recherches et de formations. IKOS a eu un très fort développement à travers le monde. Le Groupe compte actuellement 25 bureaux dans 13 pays (France, Espagne, Belgique, Allemagne, Suisse, Suède, Italie, Angleterre, Etats-Unis, Canada, Maroc, Portugal et Israël). Depuis notre création en 2005, nous accompagnons nos clients dans tous les domaines du ferroviaire : signalisation et contrôle commande, matériel roulant, courants faibles et télécom, courants forts et infrastructures.CDI - Ingénieur génie civilEnvie de vous épanouir dans votre métier et d’intégrer une véritable aventure humaine ?Dans le cadre de notre croissance et pour renforcer nos équipes VRD, nous cherchons un ingénieur études génie civil - VRD. Vous évoluerez sur des projets à fort enjeux stratégiques dans le ferroviaire et vos missions principales seront articulées autour du dimensionnement de plateforme ferroviaire (tracé, profil en long, profil en travers) et des moyens à mettre en œuvre afin de garantir la bonne stabilité de cette dernière (micropieux, changement de matériaux, etc.)Vos responsabilitésParticiper à la réalisation et à la vérification de dossiers d’études au niveau AVP PRO.Réaliser les VISA d’exécution en phase REA.Etablir les bordereaux de prix unitaire.Réaliser la planification en phase avec les chantiers.Etablir le Dossier de Consultation Entreprise nécessaire au lancement de l’appel d’offres Travaux.Etablir les Pièces Techniques nécessaires à la bonne compréhension de la consistance des travaux et à leur bonne réalisation.Réalisation des avis technique, agréments et expertises en phase travaux.Votre profilDe formation Ingénieur Grandes Ecoles (ou équivalent) vous possédez au minimum 2 ans d’expérience dans le domaine urbain ou ferroviaire et disposez de bonnes connaissances en VRD.Conformément à la règlementation, tous nos postes sont ouverts au recrutement de travailleurs handicapés.#LevalloisPour postuler, veuillez contacter Adélaïde de Brabois : adebrabois@ikosconsulting.com


        Show more

        


        Show less",Entry level,Full-time,Engineering and Information Technology,Rail Transportation
Extia Ingénierie,"Île-de-France, France",1 day ago,,Ingénieur Génie Civil H/F,"Vous souhaitez rejoindre une entreprise qui place l’humain au cœur de ses préoccupations et l'expertise au centre de ses attentions ? On vous attend chez Extia Ingénierie !Société de conseil spécialisée dans les métiers de l'ingénierie, elle a pour objectif de créer des partenariats pour co-construire l'industrie de demain.Pour se faire, Extia Ingénierie privilégie une approche qui allie bien-être et performance. Une vision de l'entreprise partagée par 450 Extiens et récompensée par le label Great Place to Work®.Chez Extia Ingénierie, c’est « D’abord qui, ensuite quoi » alors, à vous de jouer !D'abord quiRigoureux, vous ne laissez rien au hasardMinutieux, la précision est dans vos gènes,Polyvalent, vous dégainez un super-pouvoir par incidentBon communiquant, vous créez facilement du lien avec les nouvelles personnes que vous rencontrezEnsuite quoiAu sein d’une équipe pôle études, vous aurez en charge :Réaliser des études préliminaires ou de faisabilité.Réaliser des études de conception avec calculs, plans, estimations.Vérifier les études d'entreprise (notes de calculs, plans, qualité).Étudier le phasage travaux en assistance à la maîtrise d'œuvre.Préparer les dossiers pour la sous-traitance des études. ​​Issu d’une formation en ingénierie :Vous êtes passionné par le génie civil, les travaux publics.Vous justifiez au moins d’un an d’expériences en lien avec les ouvrages d’art.Vous maitrisez au moins un outil tel que Robot ou Autocad.La connaissance des Eurocodes est un plus.


        Show more

        


        Show less",Not Applicable,Full-time,Engineering,"Construction, Rail Transportation, and Business Consulting and Services"
Le mouton à 5 pattes - Recruteurs de Talents,"Paris, Île-de-France, France",12 hours ago,,Ingénieur Travaux F/H,"Le mouton à 5 pattes, cabinet de recrutement, recherche pour son client, Ingénieriste spécialisé dans la construction de sites d'hébergement de données, un Ingénieur Travaux F/H en Ile de France (92), en CDI.Pourquoi rejoindre cette prairieL'univers de la construction vous passionne travailler sur des projets complexes vous anime Alors ce poste est fait pour vous !MISSIONS :Rattaché au Directeur Travaux, vos missions sont les suivantes : Vous assurez le pilotage des chantiers qui vous sont confiés : gestion, planification et organisation des différentes phases des travaux TCE (gros oeuvre, second oeuvre, lots techniques).  Vous gérez les missions OPC (Organisation, Pilotage et Coordination), DET / MO exécution et la mission AOR (Assistance aux Opérations de Réception).  Vous participez en amont aux missions ACT (Assistance à la Consultation et au Jugement des Offres des entreprises de Travaux).  Vous développez un relationnel de qualité avec l'ensemble des parties prenantes du projet.  Vous pourrez être amené à participer à l'élaboration des offres et à la conception des installations. PROFIL :Voici les 5 pattes que nous recherchons sur ce poste : Ingénieur/Bac +5 généraliste à dominante climatique et/ou électrique et/ou infrastructures réseaux ; Expérience de plus de 4 ans sur du suivi de travaux sur installations complexes (en maîtrise d'ouvrage, en entreprise générale ou chez un contractant général) ; Compétences techniques sur les lots TCE (CVC, électricité ...) ; Anglais courant serait un plus ; Capacités managériales transverses. Des déplacements sur terrain sont prévus sur des courtes durées.Poste en CDI, rémunération selon profil (45-50k brut annuel fixe) + voiture de fonction.Vous pensez être le mouton à 5 pattes que nous recherchons ! Alors n'hésitez pas et postulez ! 19535306-55584
      

        Show more

        


        Show less",Associate,Full-time,Management,Construction
IKOS GROUP,"Levallois-Perret, Île-de-France, France",1 week ago,,Ingénieur.e génie civil,"EXPERTS ET PASSIONNESIKOS est la société de conseil spécialisée dans l’ingénierie ferroviaire. À travers nos valeurs, nous nous engageons à participer à la transition écologique en développant les modes de transport du futur, qui seront sûrs et durables, ainsi qu’une énergie plus verte. Nos 1500 ingénieurs réalisent des projets avec le support de notre entité IKOS LAB qui pilote également nos programmes de recherches et de formations. IKOS a eu un très fort développement à travers le monde. Le Groupe compte actuellement 25 bureaux dans 13 pays (France, Espagne, Belgique, Allemagne, Suisse, Suède, Italie, Angleterre, Etats-Unis, Canada, Maroc, Portugal et Israël). Depuis notre création en 2005, nous accompagnons nos clients dans tous les domaines du ferroviaire : signalisation et contrôle commande, matériel roulant, courants faibles et télécom, courants forts et infrastructures.CDI - Ingénieur.e génie civilLe secteur ferroviaire est par nature un secteur de grands projets de construction : créations et extensions de lignes, ouvrages d’art de LGV, travaux souterrains pour les métros… IKOS accompagne les grands acteurs du ferroviaire dans ces projets d’envergure, et ce, à différents niveaux (AMOA, MOE, Expertise technique…).ContexteLe prolongement de certaines lignes RER a été déclaré d'utilité publique il y a quelques années.A titre d’exemple le projet EOLE a pour but de relier le terminus existant de la ligne, Haussmann St-Lazare, à Mantes-la-Jolie à l'ouest en passant par la Défense et Nanterre. En tout ce sont 620 000 passagers quotidiens qui profiteront de la création et modernisation de 55 km de voies, dont 8 de tunnel, et de 14 gares modernisées ou créées. Avec un budget d'environ 4 milliards d'euros, sa mise en service commerciale globale est prévue en 2023.Ce tracé est choisi afin d’améliorer le débit, le temps de parcours et la qualité du voyage pour les franciliens, tout en assurant la régulation des trains de façon automatique.ProjetIKOS accompagne de tels projet et afin de renforcer nos équipes Génie civil nous cherchons un ingénieur pouvant s’impliquer dans un premier projet chez un de nos clients (acteur du Grand Paris).Vos responsabilitésVous Intégrerez L’équipe De Maitrise D’œuvre Générale Et Vos Tâches Seront D’être Garant Du Déroulement Du Projet Notamment ParL’accompagnement des différents chefs de projet,Suivi des différentes phases projet (AVP, PRO, REA)Suivi financier des marchés travaux, pilotage du processus achatPlanifier / Coordonner les différents intervenants concernés par le projet,Décrire et Suivre avec l’appui du CdP les interfaces avec les autres métiers, les autres projets, les différentes MOE…Votre profilDe formation Ingénieur Grandes Ecoles, ou équivalent (bac +5) spécialisé en génie Civil, vous souhaitez évoluer dans le secteur ferroviaire.Vous êtes autonome et force de proposition, rigoureux avec une capacité d’analyse et de synthèse, à l’écoute de interlocuteurs.Vous justifiez d’au moins 3 ans d’expérience significative sur un projet similaire.Conformément à la règlementation, tous nos postes sont ouverts au recrutement de travailleurs handicapés.#levalloisPour postuler, veuillez contacter Adélaïde de Brabois : adebrabois@ikosconsulting.com


        Show more

        


        Show less",Entry level,Full-time,Engineering and Information Technology,Rail Transportation
Bilfinger Peters Engineering,"Courbevoie, Île-de-France, France",1 week ago,158 applicants,Ingénieur / Ingénieure Projets Génie Civil,"QUI SOMMES NOUS ?Bilfinger Peters Engineering fait partie du Groupe Allemand Bilfinger SE qui emploie + de 31 000 personnes à travers le monde et réalise un chiffre d'affaires de plus de 3,7 milliards. Notre positionnement en France nous permet d'allier l'agilité d'une structure à taille humaine à la force d'un grand groupe. Bilfinger Peters Engineering est un Bureau d'Etudes et d'Assistance Technique spécialisé en installations industrielles et réalisons aujourd'hui plus de 25 millions d'€ de chiffre d'affaires et ce principalement dans le secteur nucléaire. Nos agences réparties sur Montrouge (92), Tours (37), Lyon (69) et Marseille (13) offrent à leurs clients, partenaires et collaborateurs la proximité et la réactivité nécessaire à la bonne réalisation de grands projets.Notre capital humain est au coeur de nos activités, et nos équipes composées de techniciens et ingénieurs hautement qualifiés sont la source de création de valeur ajoutée pour innover ensemble le mode de demain. _____Nous recherchons notre futur(e) Ingénieur(e) Projets Génie Civil (CDI – Temps Plein) QUEL SERA VOTRE ROLE ?En appui du Chef de Groupe, vous serez en charge de l’interfaçage du projet et étant garant du pilotage technique sur les points d’avancement en terme de ressources, suivi de budget et de qualité des livrables tout en veillant à la bonne application de nos règles de qualité et de sécurité.QUELLES SERONT VOS MISSIONS ?· Etre le/la référent(e) des points d’entrée de demandes diverses du client en vous appuyant sur vos compétences en béton armé et connaissances géotechniques afin de canaliser les demandes techniques et les différentes interactions avec les parties prenantes ;· Assurer un appui au pilotage du projet en effectuant un contrôle du suivi financier (participation aux comités de modifications / demandes de budget) ;· Elaborer et suivre les tableaux de bord (préparation des fichiers de suivi d’activité, compilation des données, sélection des critères de performance et construction des reportings) ;· Participer aux activités d’ancrages (sélection et utilisation des outils de calcul en veillant à la bonne compréhension des méthodologies appliquées dans les études de faisabilité et/ou de dimensionnement). QUI ETES-VOUS ?· De formation Bac+5 ou Ecoles d’ingénieur Génie Civil, vous justifiez d’une expérience minimale de 3 ans sur un poste ayant monopolisé vos compétences en calcul d’ancrage / études de faisabilité / dimensionnement sur des projets géotechnique ou ouvrages en béton armé ; · Vous maîtrisez les outils informatiques de votre domaine d’activité et bien entendu le pack office ;· Personnalité dynamique, vous appréciez le travail d’équipe et êtes reconnu(e) pour vos qualités de rigueur, et votre excellent relationnel ;· La maitrise de l’anglais serait un plus (interfaces multiculturelles & projets internationaux). Chez Bilfinger Peters Engineering nous sommes convaincus que la diversité et la complémentarité de nos expertises sont notre force. C'est pourquoi l'égalité des chances et l'inclusion sont au coeur de nos actions. Vos singularités sont notre réussite pour concevoir et innover demain. Nos valeurs et notre ADN s'articulent autour des notions d'Analyse, de Performance, de Transparence et d'Equilibre (APTE) nous permettant d'être meilleurs pour devenir, un jour, ingénieriste leader en installations générales.Vos avantages chez Bilfinger Peters Engineering : · 100% de prise en charge du titre de transport + Carte tickets restaurant ou accès RIE (60% pris en charge entreprise).· 100% de prise en charge par l’employeur de la Mutuelle et de la Prévoyance.· Avantages sociaux et fiscaux : Participation aux résultats de l’entreprise / Plan Epargne Entreprise (PEE) / Plan Epargne Retraite (PERCO).


        Show more

        


        Show less",Associate,Full-time,Engineering and Information Technology,Industrial Machinery Manufacturing
ANOTECH,"Paris, Île-de-France, France",5 days ago,29 applicants,Project engineer,"Since 2006, Anotech Energy has been working with major players in the industry and energy sector. Today, we are present in 36 countries around the world, working on O&G, infrastructure, civil engineering, renewable energy...Our vision of consulting is based on excellence, trust and conviviality. Whether it is our teams or our clients, our permanent ambition is to allow everyone to take part in the co-construction of tomorrow's world.As part of the diversification of its activities, Anotech Energy is strengthening its teams and is recruiting a Project engineer within our clients' teams, you will work on strategic projects in the energy sector.Scope of Work :As Project engineer your main activities will be /to:- Be the manufacturer focal point, lead weekly and monthly meetings- Review technical query and process them in coordination with the client specialists- Monitor delivery schedule. Make sure priorities are communicated to all stakeholders and propose mitigations in case of delays and / or issues- Focal point for contractual and commercial topics, in coordination with and legal entities- Focal point for technical and schedule topics- Leader for contractual qualifications and clarifications- Produce Recommendation to Award dossier, including technical, schedule, cost and contractual evaluation documents, as well as synthesis presentation for committees.Qualifications:English LanguageFrench LanguageExpertise in engineeringConditions:Start: ASAPLocation : La défense, île-de-France


        Show more

        


        Show less",Associate,Full-time,Engineering,IT Services and IT Consulting
Westinghouse Electric Company,"Orsay, Île-de-France, France",5 minutes ago,,Junior Project Engineer,"Are you interested in being part of an innovative team that supports Westinghouse’s mission to provide clean energy solutions? At Westinghouse, we recognize that our employees are our most valuable asset and we seek to identify, attract and recruit the most qualified talent while recognizing and encouraging the value of diversity in the global workplace.General Job FunctionDans le cadre de projets de conception, de fabrication ou de maintenance, vous intervenez en appui du responsable technique projet afin de mettre en place les outils de coordination de l’avancement sur les différents lots techniques. Vous réalisez un suivi des livrables documentaires et êtes en interface avec des interlocuteurs internes et externes.Avec le support des experts techniques, vous rédigez des documents techniques et réalisez la revue de la documentation de fabrication des sous-traitants.Des déplacements ponctuels seront à prévoir sur les différents sites de Westinghouse en France et à l’étranger, dans les sièges / ateliers fournisseurs et ainsi que dans les centrales nucléaires.Duties And Responsibilities Réaliser le suivi des livrables documentaires et générer des rapports d’avancements  Mettre en place des outils de suivi des points techniques ouverts  Réaliser la rédaction de documents techniques et projets  Participer aux réunions avec le client, l’organisme habilité ou les fournisseurs  Participer aux réunions internes  En fonction de votre charge globale de travail, vous pourrez être amené(e) à travailler sur différents projets d'ingénierie simultanément Qualifications Education and Qualifications / Skills and Competencies:  Diplômé(e) d’un Bac+5 Ecole d’ingénieur orientée mécanique, ingénierie nucléaire ou généraliste  0 à 2 ans d’expérience dans un bureau d’étude ou intégré dans un mode de travail « projet »  Vous disposez d’un niveau d’anglais courant à l’écrit comme à l’oral  Bonnes capacités d’organisation et de communication  Bonnes capacités de synthèse  Rigueur rédactionnelle  Connaissance dans le domaine nucléaire appréciée  Connaissance d’utilisation de logiciels de visualisation 3D appréciée  Maîtrise du pack Microsoft Office


        Show more

        


        Show less",Entry level,Full-time,Engineering and Information Technology,Utilities
