company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Domes Resorts ,"Athens, Attiki, Greece",6 days ago,,COOK B - 91 Athens Riviera,"Η Domes Resorts και το επιτυχημένο εστιατόριο Barbarossa ταξιδέυουν μαζί στην Αθήνα και αναζητουν Cook B/ Μάγειρα B για το νέο πολυτελές Glamping και Members Club «91 Athens Riviera» στην περιοχή της Βούλας.Καθήκοντα  Προετοιμασία των πιάτων σύμφωνα με τις οδηγίες του σεφ  Μαγείρεμα και προετοιμασία πιάτων πρωινού, μεσημεριανού ή βραδινού ανάλογα με τη βάρδια  Έλεγχος όλων των προϊόντων με σκοπό την εξασφάλιση της καλής ποιότητας  Διατήρηση όλων των χώρων της κουζίνας καθαρών και τακτοποιημένων  Διασφάλιση της τήρησης των κανόνων υγιεινής & ασφάλειας στον χώρο της κουζίνας  Διατήρηση υψηλής ποιότητας προσωπικής υγιεινής και εμφάνισης  RequirementsΑπαραίτητα Προσόντα  Απόφοιτος/-η σχολής μαγείρων  Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5*  Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας  Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας  Ευελιξία στη διαχείριση προβλημάτων  Προσαρμοστικότητα στο περιβάλλον εργασίας  Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών  Πνεύμα ομαδικότητας και συνεργασίας  Προσεγμένη εμφάνιση, καθαριότητα  Επαγγελματισμός  BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμεΠακέτο αποδοχών ανάλογο προσόντων     Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον  Άριστο περιβάλλον εργασίας  Συνεχή εκπαίδευση   Domes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.  Only suitable candidates will be contacted. 
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,Greece,7 months ago,,Cook B/Μάγειρας Β - Domes Noruz Mykonos,"O ξενοδοχειακός όμιλος Domes Resorts, ένας από τους ταχύτερα αναπτυσσόμενους ξενοδοχειακούς ομίλους στη Μεσόγειο, προσλαμβάνει Μάγειρα B για το 5* ξενοδοχείο Domes Noruz Mykonos στον Άγιο Στέφανο στη Μύκονο, για τη σεζόν 2024.Καθήκοντα: Προετοιμασία των πιάτων σύμφωνα με τις οδηγίες του σεφ Μαγείρεμα και προετοιμασία πιάτων πρωινού, μεσημεριανού ή βραδινού ανάλογα με τη βάρδια Έλεγχος όλων των προϊόντων με σκοπό την εξασφάλιση της καλής ποιότητας Διατήρηση όλων των χώρων της κουζίνας καθαρών και τακτοποιημένων Διασφάλιση της τήρησης των κανόνων υγιεινής & ασφάλειας στον χώρο της κουζίνας Διατήρηση υψηλής ποιότητας προσωπικής υγιεινής και εμφάνισης RequirementsΑπαραίτητα Προσόντα: Απόφοιτος/-η σχολής μαγείρων Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5* Ικανότητα διαχείρισης προσωπικού κουζίνας/λάντζας Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας Ευελιξία στη διαχείριση προβλημάτων Προσαρμοστικότητα στο περιβάλλον εργασίας Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών Πνεύμα ομαδικότητας και συνεργασίας Προσεγμένη εμφάνιση, καθαριότητα Επαγγελματισμός BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμε: Πακέτο αποδοχών ανάλογο προσόντων Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον Άριστο περιβάλλον εργασίας Διατροφή, διαμονή για τους μη διαμένοντες στην περιοχή Συνεχή εκπαίδευση Domes Resorts & Reserves is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Associate,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",6 days ago,,COOK A - 91 Athens Riviera,"Η Domes Resorts και το επιτυχημένο εστιατόριο Barbarossa ταξιδέυουν μαζί στην Αθήνα και αναζητουν Cook A/ Μάγειρα A για το νέο πολυτελές Glamping και Members Club «91 Athens Riviera» στην περιοχή της Βούλας.Καθήκοντα  Προετοιμασία και παρασκευή κρύων & ζεστών γευμάτων  Διασφάλιση τήρησης κανόνων υγιεινής & ασφάλειας στον χώρο εργασίας  Παρακολούθηση της ποιότητας των πρώτων υλών και εξασφάλιση ότι τα πιάτα πληρούν υψηλά πρότυπα Διαχείριση παραγγελιών και έλεγχος αποθέματος προϊόντων & τροφίμων  RequirementsΑπαραίτητα Προσόντα  Απόφοιτος/-η σχολής μαγείρων  Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5*  Ικανότητα διαχείρισης προσωπικού κουζίνας - λάντζας  Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας  Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας  Ευελιξία στη διαχείριση προβλημάτων  Προσαρμοστικότητα στο περιβάλλον εργασίας  Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών  Πνεύμα ομαδικότητας και συνεργασίας  Προσεγμένη εμφάνιση, καθαριότητα  Επαγγελματισμός  BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμεΠακέτο αποδοχών ανάλογο προσόντων     Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον  Άριστο περιβάλλον εργασίας  Συνεχή εκπαίδευση   Domes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.  Only suitable candidates will be contacted. 
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,Greece,8 months ago,,Cook A/Μάγειρας Α - Domes Noruz Mykonos,"O ξενοδοχειακός όμιλος Domes Resorts, ένας από τους ταχύτερα αναπτυσσόμενους ξενοδοχειακούς ομίλους στη Μεσόγειο, προσλαμβάνει Μάγειρα Α για το 5* ξενοδοχείο Domes Noruz Mykonos στον Άγιο Στέφανο στη Μύκονο, για τη σεζόν 2024.Καθήκοντα: Προετοιμασία και παρασκευή κρύων & ζεστών γευμάτων Διασφάλιση τήρησης κανόνων υγιεινής & ασφάλειας στον χώρο εργασίας Παρακολούθηση της ποιότητας των πρώτων υλών και εξασφάλιση ότι τα πιάτα πληρούν υψηλά πρότυπα Διαχείριση παραγγελιών και έλεγχος αποθέματος προϊόντων & τροφίμων RequirementsΑπαραίτητα Προσόντα: Απόφοιτος/-η σχολής μαγείρων Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5* Ικανότητα διαχείρισης προσωπικού κουζίνας - λάντζας Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας Ευελιξία στη διαχείριση προβλημάτων Προσαρμοστικότητα στο περιβάλλον εργασίας Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών Πνεύμα ομαδικότητας και συνεργασίας Προσεγμένη εμφάνιση, καθαριότητα Επαγγελματισμός BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμε: Πακέτο αποδοχών ανάλογο προσόντων Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον Άριστο περιβάλλον εργασίας Διατροφή, διαμονή για τους μη διαμένοντες στην περιοχή Συνεχή εκπαίδευση Domes Resorts & Reserves is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",7 months ago,55 applicants,"Cook A, B, C/Μάγειρες Α, Β, Γ - MAKRIS Athens","Η Domes Resorts προσγειώνεται στην Αθήνα, καλωσορίζοντας το πρώτο degustation εστιατόριο στο Θησείο. Ο Executive Chef Πέτρος Δήμας και η ταλαντούχα ομάδα του δημιουργούν την απόλυτη fine dining εμπειρία και επιμελούνται ένα μενού βασισμένο στην Ελληνική δημιουργική κουζίνα. Αυτήν την στιγμή αναζητούμε Μάγειρες όλων των ειδικοτήτων με όρεξη και πάθος για να γίνουν μέρος της ομάδας MAKRIS Athens by Domes.RequirementsΑπαραίτητα προσόντα:Απόφοιτος/-η σχολής μαγείρωνΠροϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5*Ικανότητα διαχείρισης προσωπικού κουζίνας - λάντζαςΓνώση και τήρηση διαδικασιών υγιεινής και ασφάλειαςΓνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσαςΕυελιξία στη διαχείριση προβλημάτωνΠροσαρμοστικότητα στο περιβάλλον εργασίαςΠροσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφώνΠνεύμα ομαδικότητας και συνεργασίαςΠροσεγμένη εμφάνιση, καθαριότηταΕπαγγελματισμόςBenefitsΠαρέχουμεΠακέτο αποδοχών ανάλογοπροσόντων και προϋπηρεσίαςΠροοπτικές και ευκαιρίες επαγγελματικής εξέλιξηςΕπαγγελματικό περιβάλλον εργασίαςΣυνεχή εκπαίδευσηDomes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,Greece,10 months ago,,Cook C/Μάγειρας Γ - Domes Noruz Mykonos,"O ξενοδοχειακός όμιλος Domes Resorts, ένας από τους ταχύτερα αναπτυσσόμενους ξενοδοχειακούς ομίλους στη Μεσόγειο, προσλαμβάνει Μάγειρα Γ για το 5* ξενοδοχείο Domes Noruz Mykonos στον Άγιο Στέφανο στη Μύκονο, για τη σεζόν 2024.Καθήκοντα:  Προετοιμασία συστατικών για μαγείρεμα (καθάρισμα, πλύσιμο, κοπή λαχανικών/κρέατος κ.λπ.)  Μαγείρεμα τροφίμων σύμφωνα με την ακολουθία των συνταγών και τις οδηγίες του σεφ  Διατήρηση κανόνων υγιεινής και ασφαλείας στο περιβάλλον της κουζίνας  Διατήρηση υψηλής ποιότητας προσωπικής υγιεινής και εμφάνισης  RequirementsΑπαραίτητα Προσόντα:  Απόφοιτος/-η σχολής μαγείρων  Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5*  Ικανότητα διαχείρισης προσωπικού κουζίνας/λάντζας  Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας  Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας  Ευελιξία στη διαχείριση προβλημάτων  Προσαρμοστικότητα στο περιβάλλον εργασίας  Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών  Πνεύμα ομαδικότητας και συνεργασίας  Προσεγμένη εμφάνιση, καθαριότητα  Επαγγελματισμός  BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμε:  Πακέτο αποδοχών ανάλογο προσόντων     Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον  Άριστο περιβάλλον εργασίας  Διατροφή, διαμονή για τους μη διαμένοντες στην περιοχή  Συνεχή εκπαίδευση  Domes Resorts & Reserves is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Associate,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",6 days ago,,COOK C - 91 Athens Riviera,"Η Domes Resorts και το επιτυχημένο εστιατόριο Barbarossa ταξιδέυουν μαζί στην Αθήνα και αναζητουν Cook C/ Μάγειρα Γ για το νέο πολυτελές Glamping και Members Club «91 Athens Riviera» στην περιοχή της Βούλας.Καθήκοντα  Προετοιμασία συστατικών για μαγείρεμα (καθάρισμα, πλύσιμο, κοπή λαχανικών/κρέατος κ.λπ.)  Μαγείρεμα τροφίμων σύμφωνα με την ακολουθία των συνταγών και τις οδηγίες του σεφ  Διατήρηση κανόνων υγιεινής και ασφαλείας στο περιβάλλον της κουζίνας  Διατήρηση υψηλής ποιότητας προσωπικής υγιεινής και εμφάνισης  RequirementsΑπαραίτητα Προσόντα  Απόφοιτος/-η σχολής μαγείρων  Προϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte σε ξενοδοχεία 5*  Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειας  Γνώση της ελληνικής και τουλάχιστον της αγγλικής γλώσσας  Ευελιξία στη διαχείριση προβλημάτων  Προσαρμοστικότητα στο περιβάλλον εργασίας  Προσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφών  Πνεύμα ομαδικότητας και συνεργασίας  Προσεγμένη εμφάνιση, καθαριότητα  Επαγγελματισμός  BenefitsΣτο πλαίσιο της παραπάνω θέσης, προσφέρουμεΠακέτο αποδοχών ανάλογο προσόντων     Δυνατότητες ανάπτυξης μέσα σε ένα συνεχώς αναπτυσσόμενο εργασιακό περιβάλλον  Άριστο περιβάλλον εργασίας  Συνεχή εκπαίδευση   Domes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.  Only suitable candidates will be contacted. 
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
Domes Resorts ,"Athens, Attiki, Greece",7 months ago,57 applicants,Pastry Cook - MAKRIS Athens,"Η Domes Resorts προσγειώνεται στην Αθήνα, καλωσορίζοντας το πρώτο degustation εστιατόριο στο Θησείο. Ο Executive Chef Πέτρος Δήμας και η ταλαντούχα ομάδα του δημιουργούν την απόλυτη fine dining εμπειρία και επιμελούνται ένα μενού βασισμένο στην Ελληνική δημιουργική κουζίνα. Αυτήν την στιγμή αναζητούμε Pastry Cook/Ζαχαροπλάστη με όρεξη και πάθος για να γίνει μέρος της ομάδας MAKRIS Athens by Domes.RequirementsΑπαραίτητα προσόντα:Απόφοιτος/-η σχολής μαγείρωνΠροϋπηρεσία τουλάχιστον 2 ετών σε εστιατόρια à la carte ή σε ξενοδοχεία 5*Γνώση και τήρηση διαδικασιών υγιεινής και ασφάλειαςΚαλή γνώση της αγγλικής γλώσσαςΠροσαρμοστικότητα στο περιβάλλον εργασίαςΠροσφορά και διάθεση υπηρεσιών υψηλών προδιαγραφώνΠνεύμα ομαδικότητας και συνεργασίαςΠροσεγμένη εμφάνιση, καθαριότηταΕπαγγελματισμόςBenefitsΠαρέχουμεΠακέτο αποδοχών ανάλογοπροσόντων και προϋπηρεσίαςΠροοπτικές και ευκαιρίες επαγγελματικής εξέλιξηςΕπαγγελματικό περιβάλλον εργασίαςΣυνεχή εκπαίδευσηDomes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality.Only suitable candidates will be contacted.
      

        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
,,,,,,,,,
MANDYNAMIC,"Kifisiá, Attiki, Greece",1 year ago,,"Μάγειρες, Αλυσίδα Εστιατορίων, Κηφισιά, Αθήνα","Η MANDYNAMIC είναι η μεγαλύτερη αμιγώς ελληνική εταιρεία προσωρινής απασχόλησης, που εξειδικεύεται στα πεδία της αναζήτησης και της εκμίσθωσης προσωπικού. Στην πολυετή λειτουργία της, η εταιρεία έχει εξυπηρετήσει αποτελεσματικά περισσότερες από 3.000 επιχειρήσεις και έχει διαθέσει πάνω από 45.000 εργαζόμενους.Η MANDYNAMIC αναζητά Μάγειρες εκ μέρους μεγάλης αλυσίδας εστιατορίων για τη στελέχωση του καταστήματος στην περιοχή της Κηφισιάς. Οι υποψήφιοι-ες θα πρέπει να διαθέτουν θετική διάθεση, υπευθυνότητα και επαγγελματισμό.Αρμοδιότητες:Προετοιμασία των πρώτων υλώνΕκτέλεση όλων των απαραίτητων εργασιών για τη σωστή οργάνωση και προετοιμασία του μενούΣυνεργασία με όλα τα μέλη της κουζίναςΈλεγχος των προϊόντων για την ποιότητά τουςΤήρηση όλων των κανόνων υγιεινής & ασφάλειας στους χώρους της κουζίναςΕκτέλεση των παρασκευώνΚαθαρισμός του πάγκου τουRequirementsΑπαραίτητα Προσόντα:Βασική γνώση αγγλικής γλώσσαςΕυχάριστη προσωπικότητα και ομαδικό πνεύμαΣυνέπεια και υπευθυνότηταΟργάνωση και επαγγελματισμόςΠεριποιημένη εμφάνιση και ευγένειαBenefitsΠαροχές:ΕκπαίδευσηΑσφάλισηΜισθόςΆριστο και επαγγελματικό περιβάλλον εργασίαςΔυνατότητες εξέλιξης


        Show more

        


        Show less",Entry level,Full-time,Other,"Technology, Information and Internet"
