company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Monta,"Copenhagen, Capital Region, Denmark",4 days ago,79 applicants,Data Analyst,"Monta's powerful EV platform connects the dots in the entire EV charging industry.Our mission is to pioneer an electric, sustainable era underpinned by proactive technology, helping people and businesses transition to (and maintain) electric solutions.Our expertise enables us to navigate the complexities of the EV ecosystem innovatively, offering a highly reliable and comprehensive suite of products. Ultimately, our goal is to ensure that all our users—be they drivers, businesses, solution providers, or utility companies—have the best and most successful EV charging experiences.Monta, headquartered in Copenhagen, Denmark, also has offices in London, Berlin, Paris, and Barcelona. Our platform is driven not only by cutting-edge software but also by the passion and expertise of our team of over 200 members (and growing).Join us in powering progress, one charge at a time!We are looking for a talented Data Analyst to join our team in Copenhagen. As a Data Analyst at Monta, you will be working with various teams across the shop to use Montas data in the best way possible. If this sounds like you, we’re looking forward to seeing your application!Key Responsibilities:Own incoming requests from across the shop for creating automations, reports, analysis and data modelsIterate and improve on the reporting of key metrics and KPIs across the businessStreamline the process for how the data team interacts with the businessWork on tooling that scales as Monta growsStakeholder management and increasing data literacy across the shopRequirementsPrevious experience from a data analyst position Experience with Tableau from creating dashboards to managing dataExperience with writing SQL, having done that in Snowflake is a plusCoding experience. Some level of Python is required, SQL is a must. Exposure to data management tools such as DBT, AirByte etc are a plus. BenefitsFree gym membership!Vegan lunches, snacks and drinks!Company-wide and team eventsEducational budgetPension + Health Insurance


        Show more

        


        Show less",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
Talent Disruptors,"Copenhagen, Capital Region, Denmark",1 week ago,,Data Analyst,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.What You’ll Be DoingData Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze marketing data and extract meaningful insights. Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into marketing performance. Collaborating with Marketing Teams: Work closely with marketing teams to understand their data needs and provide insights that inform strategy and decision-making. Data Integration and Management: Integrate data from various sources to provide a comprehensive view of marketing performance. Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of marketing campaigns and strategies. Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development. Training and Support: Provide training and support to team members in using data analysis tools and understanding reports. Who You AreProficient in Data Analysis Tools: You have strong experience with tools such as Google Data Studio, BigQuery, and Power BI. Analytical and Insightful: You possess the ability to analyze complex datasets and turn them into actionable insights. Collaborative in Nature: You work well with marketing teams, understanding their needs and communicating data insights effectively. Skilled in Data Integration: You are adept at integrating and managing data from various sources. Detail-Oriented: You have a keen eye for detail and accuracy in data analysis and reporting. Proactive and Predictive: You are capable of conducting predictive analyses to inform future marketing strategies. Excellent Communicator: You can clearly convey data insights and their implications to non-technical team members. What Success Looks Like30 DaysEstablish a comprehensive, organized online database in BigQuery to store all client and marketing data and integrate lead data from CRMs, digital advertising data, customer opt-ins, and purchasing data to provide meaningful insights that inform marketing decisions. Create and maintain data dashboards in Looker Studio for easy data visualization, analysis, and automated reporting. 60 DaysDevelop statistical models for data analysis, including linear regression modeling and predictive lead scoring, that effectively guide marketing actions. 90 DaysAutomated the generation of actionable insights and trends over time from data analysis to inform our marketing strategy.


        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
Energy Jobline,"Indre By, Capital Region, Denmark",1 week ago,,Data Analyst,"Data Analyst – 12 Months Contract – FranceFor the purposes of the smooth running of the Service, an occasional presence on site (especially at the beginning of the project is required)Can be based in the clients Pau or Paris based officesStart date 18th March 2024Fluent in English and FrenchESSENTIAL:- -Data analysis (Python), GIS and mapping (QGIS, Arcgis, Python), Azure and Github toolsContextThe Mission Is Taking Place Within The Framework Of The Client’s Project (measurement Of Methane Emissions On The Company's Industrial Facilities) With a Twofold Objective to process and analyse the data acquired during acquisition campaigns participate in the development and the industrialization of tools (migration to Azure).Data Analyst tasks to be carried out:-The Expected Delivery Includes The Following ActivitiesFor assigned campaigns, process, analyse and interpret acquired data (drone data, sensor data and weather data) in order to prepare and present a report of studies to the project stakeholders.Interact with the R&D team (LQA) and the team in charge of the deployment of the supply chains.Production on Azure (Eugea) to share operational needs and test solutionsParticipate in the development of new tools to facilitate and improve quality of the reports delivered.AvailableTechnical data analysis reports for the campaigns that will be assigned to youData Analyst Technical skills:-Data analysis (Python)GIS and mapping (QGIS, Arcgis, Python)Interest in the topic (business understanding)Interest in Azure and Github toolsOther: autonomy, critical thinking, rigour, communicationCandidates must be eligible to work in France.With over 90 years' combined experience, NES Fircroft (NES) is proud to be the world's leading engineering staffing provider spanning the Oil & Gas, Power & Renewables, Chemicals, Construction & Infrastructure, Life Sciences, Mining and Manufacturing sectors worldwide. With more than 80 offices in 45 countries, we are able to provide our clients with the engineering and technical expertise they need, wherever and whenever it is needed. We offer contractors far more than a traditional recruitment service, supporting with everything from securing visas and work permits, to providing market-leading benefits packages and accommodation, ensuring they are safely and compliantly able to support our clients.
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
Centum Recruitment International Limited ,"Malmö, Skåne County, Sweden",4 days ago,104 applicants,Data Analyst,"Data Analyst  My client in Sweden is seeking Data Analysts to join the a long term contract mission. The customer site is in Malmo and Conslutants will be able to work on an on-site / off-site model. The customer is engaged in an exciting exciting transformation journey to advance mindsets, ways of working and solutions.  As a Data Analyst, you will strengthen the Data Delivery function within the area of Data & Analytics. You will have a key role in the success of data product deliveries. Working in one of the agile Data Delivery teams, you will develop new and maintain existing data integration into data platforms for Finance, Compliance, and Risk. The data platform is hybrid on-prem and cloud build upon AWS, Informatica and Oracle technology.You will be acting as a subject matter expert in all aspects of business requirements, data availability and data quality of the enterprise data warehouse. You will collaborate closely with Tech Leads, Data Engineers, Business Intelligence developers and Product Owners to develop features through the Agile Release Trains. Key Tasks and Responsibilities of the Data Analyst  • Solution and Impact Analysis – Define implementation approach – Define validation approach• Data Analysis – Analyzing data and process to complete functional and technical data requirements definition(input for data engineer)• Implementation – Coordination with data engineers and source systems, other components, and dataconsumers• Validation – Coordination and execution support of testing activities and mitigating actions Key skills and Experience of the Data Analyst  • Strong understanding of banking processes and ability to discuss requirements with business stakeholders• Proven experience of working with data analysis and data requirement management• Excellent proficiency in mapping and analyzing data• Experience in holding conversations with business stakeholders to understand business processes and relateddata.• Ability to transform business requirements to technical requirements and specifications towards otherdevelopers and peers.• Being structured and analytical and can conceptualize complex technical issues• Experience working with Data Warehouses, is an added advantage• Experience and knowledge of agile frameworks, preferably SAFe• Excellent proficiency in SQL to analyze, validate and signoff data• Strong analytical and problem-solving skills• You are organized with strong time-management skills.• Excellent English communication skills (written and verbal)


        Show more

        


        Show less",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting and Banking
Deploja,"Malmö, Skåne County, Sweden",2 days ago,,Data Analyst,"Role:Consultant should be able to support business stakeholders with questions related to data and also help in gather requirements for the team, should be proficient in building dashboards in tools like Power BI, have BAT and UAT skills and also should be aware of access management using Row level securityEssential requirements: Advanced Power BI, Advanced SQL, Agile WoW, Worked part of a Product team and stakeholder managementMeritorious:Python and Basics of accounting, Data products on GCP, DevOps (Github , Automated Deployments), self-service setup on Power biPlease explain how you meet all the requirements when applying.Utilization: 100%Location: MalmöPeriod: 26-02-2024 - 31-08-2024Last day to apply: 16-02-2024We present regularly. This means that we sometimes remove the assignements from our website before the final application deadline. If you are interested in an assignement, we recommend that you submit your application as soon as possible.
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Monta,"Copenhagen, Capital Region, Denmark",3 days ago,,Financial Data Analyst,"Monta's powerful EV platform connects the dots in the entire EV charging industry.Monta is the operating platform powering the EV ecosystem serving drivers, companies, cities, and the electricity grid with one integrated software solution.At our core, we make EV charging simple, accessible, and reliable. Our software enables a consistent charging experience across all charge point brands and we empower charge point owners with a full-fledged solution to attract users and seamlessly manage usage, pricing, availability, and transactions.We’ve closed a huge Series B round! 80M EUR and soaring! Our journey so far? An expansion across various markets, prestigious #ISO27001 and B-Corp certifications, and proactive tech revolutionizing the EV charging experience. Not to mention, our growth has skyrocketed 6X since the last round, nearing 1 million monthly charging sessions, and 1,000 #EV drivers joining us daily! Monta will use the EUR 80M funding to double down on its successful software-only strategy by strengthening investments in all markets and improving and expanding its product to new sectors ready to embark on an electrified future.We are looking for a talented Data Analyst to join our team in Copenhagen. As a Data Analyst in Finance at Monta, you will be working with our finance team to solve various analyst assignments. If this sounds like you, we’re looking forward to seeing your application!Key ResponsibilitiesBeing the main go-to person for ad-hoc finance & reporting tasks relating to data and/or data analyticsWorking closely with the Finance team and collaborating on financial modelingSupporting the VP Finance in structuring the financial data in the data warehouse and ensuring top data quality across all products and marketsOptimizing and automating regulatory reportingCreating and monitoring KPIs related to Finance/reporting and contributing with actionable insights on how to improve processes and methodsRequirementsExperience with Tableau or PowerBIExperience with writing SQL, having used DBT is a plusCoding experience. Some level of Python is required. Solid financial background combined with a deep understanding of dataBenefits3 annual company-wide events (including 3 day Summit) plus team events - both in-person and virtuallyFlexible Work From Home policyWarrant program - share Monta’s success!Vacation days are 30 days (5 weeks + 5 top up days!)Educational budget + time off for personal/professional developmentShared company car + electric bikes in our bigger officesStay fit with a subsidized gym membershipFree snacks & beverages at the officesSubsidized plant-based lunchPension + Health InsurancePaid parental leave


        Show more

        


        Show less",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
Nigel Frank International,"Copenhagen, Capital Region, Denmark",2 months ago,145 applicants,"Data Analyst, Internal - Copenhagen","Data Analyst, Internal - Copenhagen:Do you enjoy working with a modern data stack hosting large data sets with a rapid refresh rate? If yes, this could be the role you have been waiting for!One of my regular clients is looking to expand their team, previously we have focused on the data set up. Adding the likes of analytic engineers and data scientists to the team. The goal at that time was to help build the data solution on Snowflake and DBT, now that is up and running we need someone who can maximise the opportunity hidden within the data.With this being an internal role I need to find someone who wants to become a subject matter expert, learning the solution inside and out as well as being able to look forward to see how the business can continue to evolve. You will work closely with the other data professionals in the business to explore new ideas and bring new value.The nature of this business means we are dealing with huge data sets on a daily basis, anywhere up to 100TB a day! Within these data sets you will research, develop and implement data-gathering methods.Role and Responsibilities: Become a key point of contact for data internally Work closely with the data team in a cross functional manor Identify upcoming needs and formulate strategies to implement new functions Support and educate stakeholdersDesired Skills and Experiences: Previous experience in a similar role Strong skills with SQL or Python Confident in data visualisation, preferably in Power BI or Tableau Forward think and ambitiousBenefits: Forward thinking business with competitive pay structures, paid parental leave and 5 days extra vacation Dynamic working environment with a push on social events Hybrid working conditions with colleagues across 12 countriesWant to know more, get in touch!📧 - d.nichol@nigelfrank.com📞 - +45 88 74 11 48
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
The Hub,"Copenhagen, Capital Region, Denmark",3 days ago,29 applicants,Data Analyst,"Monta's powerful EV platform connects the dots in the entire EV charging industry.Our mission is to pioneer an electric, sustainable era underpinned by proactive technology, helping people and businesses transition to (and maintain) electric solutions.Our expertise enables us to navigate the complexities of the EV ecosystem innovatively, offering a highly reliable and comprehensive suite of products. Ultimately, our goal is to ensure that all our users—be they drivers, businesses, solution providers, or utility companies—have the best and most successful EV charging experiences.Monta, headquartered in Copenhagen, Denmark, also has offices in London, Berlin, Paris, and Barcelona. Our platform is driven not only by cutting-edge software but also by the passion and expertise of our team of over 200 members (and growing).Join us in powering progress, one charge at a time!We are looking for a talented Data Analyst to join our team in Copenhagen. As a Data Analyst at Monta, you will be working with various teams across the shop to use Montas data in the best way possible. If this sounds like you, we’re looking forward to seeing your application!Key ResponsibilitiesOwn incoming requests from across the shop for creating automations, reports, analysis and data modelsIterate and improve on the reporting of key metrics and KPIs across the businessStreamline the process for how the data team interacts with the businessWork on tooling that scales as Monta growsStakeholder management and increasing data literacy across the shopRequirementsPrevious experience from a data analyst positionExperience with Tableau from creating dashboards to managing dataExperience with writing SQL, having done that in Snowflake is a plusCoding experience. Some level of Python is required, SQL is a must.Exposure to data management tools such as DBT, AirByte etc are a plus.BenefitsFree gym membership!Vegan lunches, snacks and drinks!Company-wide and team eventsEducational budgetPension + Health Insurance


        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
Skillsearch,"Copenhagen, Capital Region, Denmark",1 month ago,123 applicants,Data Analyst,"Our client is seeking a strong Data Analyst with a flair for data engineering (or vice versa) in Copenhagen to build a Data Analytics Platform. This full-time Data Analyst role comes with a generous salary and benefits package. As a Data Analyst, you will be working on our Data Analytics Platform to enable the various game teams and business functions to properly use data to inform their decisions. The main components of our tech stack are: Fivetran, Amazon Redshift, dbt, Tableau and Python. If you were already in this Data Analyst role, here are some areas you would have worked on this week: Cleaning up, documenting, and validating raw data Data transformation and modelling to conform it to serve our needs Creating and interpreting visualisations Using ML models Maintaining reproducibility and accessibility of data pipelines To apply for this Data Analyst role, you will need excellent hands-on knowledge SQL and good analytical and problem-solving skills. You will also require: Experience with data modelling, data visualisation and programming Python and R A good understanding of marketing channels and attribution As a vital member of our team and in return for your expertise, inclusive approach and commitment, we'll provide a favourable salary and the chance to join a passionate and welcoming team. Please contact Andy from our team at ad@skillsearch.com today to apply and register your interest in this full-time Data Analyst position in Copenhagen. They'd be thrilled to hear from you. We'd love to help you get your next role and enable you to fulfil your professional ambitions. This studio is taking the education sector by storm and making learning fun at school and at home by creating books, games, and apps to improve the reading and writing skills of kids. By joining the team you will be making a huge impact on the future education of millions of children, joined by a diverse and creative team, whilst enjoying some great perks which come alongside the role! A little bit about the city: Copenhagen With Denmark consistently being ranked as one of the happiest countries in the world, its no surprise that its capital has a lot going for it. Copenhagen offers excellent working conditions, world-class healthcare, beautiful surrounding scenery and a fantastic quality of life, as well as being seen as one of the safest major cities out there. The government has the best interest of residents at heart, which makes for well looked after, happy, friendly people! Having been named as the top nation when it comes to work-life balance, Denmark is a wonderful place to live if youre after a modern, thriving and friendly city. Here at Skillsearch, we're a recruitment company. In the simplest form, this means we place people at new companies - but it's so much more than that. For the past 30 years, we've been busy helping people (like you) with sought after skills find jobs in the Games, Interactive and Enterprise Systems industries all around the globe. Our company comprises a team of dedicated consultants that work across various niche technologies, including Games, Virtual Reality, AR and XR, Workday, Oracle, Peoplesoft, and eCommerce. We are always exploring other cutting-edge markets. Follow us to see a few of the jobs we're working on, find out which events you can see us at, and keep up with news in the technology, gaming and interactive world. Welcome to Skillsearch!
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
Novo Nordisk,"Bagsværd, Capital Region, Denmark",3 days ago,45 applicants,QC Data Analyst - Visualizations,"Are you driven by the desire to make a global impact in healthcare industry through data analysis? Are you passionate about leveraging data-driven insights to drive standardization and improvement projects? Would you like to contribute your analytical skills towards meaningful, life-changing work?If so, you could be our new QC Data Analyst – Visualizations within Injectable Finished Products (IFP) QC, a role based in Bagsværd.The positionAs the QC Data Analyst – Visualizations, you will be welcomed in a department that focuses on supporting the Danish QC laboratories and providing excellent services in Strategy, Standards and Optimization. In this role, you will be collaborating with the local and international sites to help create valuable analysis that can promote data driven decisions. Moreover, you will work closely with cross-functional teams, including data scientists, business analysts, project managers, quality partners, chemical technicians, and stakeholders. You will play a crucial part in extracting, analysing, and visualising data, contributing to our mission of driving innovation and efficiency.Your tasks will include:Conducting in-depth analysis of datasets as well as cleaning up, documenting, and validating raw data Developing visually compelling and informative dashboards using tools such as Tableau, Power BI, or other relevant platforms Utilising expertise in management, organization, and optimization of large datasets Data transformation and modelling to conform it to serve our needs Applying statistical methods to interpret complex data and derive actionable insights This role will allow you to participate in collaborative problem-solving sessions and contribute to continuous improvement initiatives. Your responsibilities will also include maintaining reproducibility and accessibility of data pipelines as well as generating and maintaining regular and ad-hoc reports, ensuring accuracy and adherence to reporting standards.You will have the opportunity to join a new department with great potential to make a difference! You will be exposed to continuous and exciting challenges focusing on the expansion and improvement journey of the quality control laboratories. This is an exciting time to join with the possibility to grow with the department whilst improving the processes.QualificationsTo succeed in this role, you have:MSc degree within science, engineering, data science, statistics, or similar com-bined with proficiency in data analysis tools such as Python, R, or SQL Hands-on experience with databases Experience in participating in projects that involved all steps of data management and analysis, from collection to visualization Experienced with data modelling as well as visualization Practical knowledge of Alteryx, Tableau or Power Apps will be considered an advantage Understanding of QC processes will be an advantage Professional proficiency in English As a person, you are adaptable and have a business outlook with the ability to set direction. You see yourself as a curious individual and enjoy working in a team to create new solutions. You feel comfortable working in a fast-paced and dynamic environment. Furthermore, you have a natural flair for great communication and being able to make things simplistic, including complex technical concepts, when interacting with stakeholders cross functionally.About The DepartmentYou will join IFP QC DK where 160+ colleagues look forward to welcoming you. We are responsible for performing all QC analysis across IFP DK including release test from several global production units, handling of customer complaints, stability samples and validation activities. In addition, we are an important partner in the global QC network in IFP, consisting of laboratories in France, Brazil, US, and China. You will be part of a department responsible for providing great support and setting direction across IFP QC.In the department you will work together with Planners, Data analysts, Lean, Project Managers and GMP Partners. We guarantee that you will be exposed to exciting professional challenges and development opportunities.Working at Novo NordiskWe are a proud life-science company, and life is our reason to exist. We’re inspired by life in all its forms and shapes, ups and downs, opportunities, and challenges. For employees at Novo Nordisk, life means many things – from the building blocks of life that form the basis of ground-breaking scientific research, to our rich personal lives that motivate and energise us to perform our best at work. Ultimately, life is why we’re all here - to ensure that people can lead a life independent of chronic disease.Contact For further information you are welcome to contact Miriam Peinado Martin (Data Analyst – IFP QC SSO) at +45 3448 28 29 or Isabela Pimenta Madeira Dahm (Associate Manager – IFP QC SSO) at +45 3079 55 02Deadline 07 March 2024.Please note that resumes will be reviewed on the ongoing basis, that is why we encourage you to submit you application, including CV in English, at the earliest convenience.You do not need to attach a cover letter to your application, but please include a few sentences about why you are applying in your resume or CV. To ensure an efficient and fair recruitment process, please refrain from adding a photo in your CV.We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world. We need to aspire to be the best company for the world and we know that this is only possible with talented employees with diverse perspectives, backgrounds and cultures. We are therefore committed to creating an inclusive culture that celebrates the diversity of our employees, the patients we serve and communities we operate in. Together, we’re life changing.
      

        Show more

        


        Show less",Not Applicable,Full-time,Quality Assurance,Pharmaceutical Manufacturing
