company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
CommunityConnect Labs,"Redwood City, CA",1 day ago,,Data Analyst,"At Community Connect Labs, we use a data driven approach to help nonprofits and government agencies engage the hardest to reach populations. Using the latest analytics tools and processes, we’re able to maximize our offerings and deliver unparalleled service and support. To help carry us even further, we’re searching for an experienced data analyst to join our team. The ideal candidate will be highly skilled in all aspects of data analytics, including mining, generation, and visualization. Additionally, this person should be committed to transforming data into readable, goal-oriented reports that drive innovation and growth for CCL and our customers.  Objectives of this roleDevelop, implement, and maintain analytics systems, taking complicated problems and building simple frameworks to track towards the goals of CCL and their clientsIdentify trends and opportunities for company growth through analysis of complex datasetsCreate internal and external reports and dashboards based on data mining, analysis, and visualizationEvaluate internal systems for efficiency, problems, and inaccuracies, and develop and maintain protocols for handling, processing, and cleaning dataWork directly with internal team members and customers to gather requirements, provide status updates, and build relationshipsResponsibilitiesWork closely with the Head of Customer Success to understand and maintain focus on client’s analytics needs, including critical metrics and KPIs, and deliver actionable insights to relevant decision-makersProactively analyze data to answer key questions for stakeholders or yourself, with an eye on what drives customer performance, and investigate and communicate which areas need improvement in efficiency and productivityCreate and maintain rich interactive visualizations through data interpretation and analysis of company and customer data, with reporting components from multiple sources. Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across datasetsRequired skills and qualificationsThree or more years of experience knowledge discovery in data as a data analystProven analytics skills, including mining, evaluation, and visualizationTechnical writing experience in relevant areas, including queries, reports, and presentationsStrong SQL skillsExpertise in Excel/spreadsheet softwareKnowledge of statistics, including surveys, multivariate testing, confidence intervals, etc.Preferred skills and qualificationsExperience with database and model design and segmentation techniquesProgramming experience, Python or R preferredExperience in statistical analysis through the use of statistical packages or librariesExperience with Tableau or other graphical user interface/visualization softwareProven success in a collaborative, team-oriented environment



        
            Show more
          

          



        
            Show less","Employment type
        

          Full-time",,,
Get Well,"Bethesda, MD",15 hours ago,75 applicants,Data Analyst (Superset),"Title: Data Analyst (Superset)Reporting to: Managing Director, Data Science & Analytics / Head Data ScientistLocation: This is a remote / work from home positionOpportunity:The Data Analyst role will be responsible for ongoing and retrospective analyses of product and provider data, generating insights and creating custom data reports to evaluate the current state of patient experiences and outcomes, as well as to inform future opportunities. In conjunction with the Partnership Success team, the Data Analyst will be responsible for developing data frameworks; creating stories with data that review critical business processes; monitoring and reporting on progress at client sites; and performing investigations that inform operational changes and shape the vision of the team. Additionally, the Data Analyst role will work closely with the product and engineering teams to maintain and improve Get Well’s Business Intelligence (BI) capabilities. In particular, the Data Analyst will coordinate with engineers and product team members to ensure that Get Well’s data architecture and practices are aligned with the needs and goals of Client Success, and Get Well’s evolving technology platform.Responsibilities:Collect, analyze, and generate weekly/monthly data and reports for individual client sites, demonstrating current and cumulative performance Acquire, sanitize, merge, and transform complex multi-sourced data in support of various analyses and projects In conjunction with the Partnership Success team, review reporting processes, create and maintain dashboards and tools to track and inform team metrics across multiple client sitesModel Docent Health’s core values of empathy and service to build trusted partnerships with provider organizations in order to achieve transformative change and exceptional performanceContinually iterate and improve Docent Health’s service offering through genuinely innovative and transformative insight and product developmentRequirements:Bachelor’s degree in mathematics, science, statistics, or related fieldExpert skills in Tableau Desktop or Tableau Server, including at least one year of professional experience in manipulating data and creating dashboards and visualizationsStrong competency with SQL queryingCompetency with Google Sheets or Microsoft Excel, including pivot tables and advanced formulasCompetency in Python or R is a plusEntrepreneurial mindsetStrong analytical skills with a proven ability to collect, organize, analyze, and disseminate significant amounts of informationAn exceptionally high attention to detail, natural curiosity, and an eye for recognizing trends and gaps2-3 years of industry relevant experience in analytics, data management, healthcare, consulting, or other relevant fieldsAbility to adapt to changing priorities and juggle multiple asksSelf-driven and able to operate with a high degree of independence and integrityExcellent written and oral presentation skills, with the ability to engage, inspire, build credibility and engender trust across all levels of an organizationAbout Get Well:We are a global digital health company with more than 20 years of experience improving patient engagement. Through partnerships with some of the most progressive hospitals and health systems in the world, we use digital technology to improve the healthcare experience for patients, their families, and clinicians.The estimated pay scale for this position is between $70,000 and $82,000 in base salary, plus annual bonus potential of 10%. Base salary is dependent upon many factors including, but not limited to, education, experience, and skills and this range is subject to change and may be modified in the future. In addition to compensation, Get Well offers a comprehensive benefit package, 401K and incentive plans, open paid-time away, paid leave programs, wellness reimbursement, cell phone subsidy, peer recognition programs, health advocacy and employee assistance programs, pet insurance, and so much more.Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.Powered by JazzHRG3MUA08tKe
        


        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Internet Publishing
Flexport,"Bellevue, WA",4 days ago,,Data Analyst II,"About Flexport: At Flexport, we believe global trade can move the human race forward. That’s why it’s our mission to make it easy and accessible for everyone. We’re shaping the future of a $8.6T industry with solutions powered by innovative technology and exceptional people. Today, companies of all sizes - from emerging brands to Fortune 500s - use Flexport technology to move more than $19B of merchandise across 112 countries a year.The recent global supply chain crisis has put Flexport center stage as we continue to play a pivotal role in how goods move around the world. At a valuation of $8 billion, we’re experiencing record growth and are proud to have the support of the best investors in the game who believe in our mission, solutions and people. Ready to tackle global challenges that impact business, society, and the environment? Come join us.Creating insights to revolutionize an industry!The opportunity: Fast, accurate insights are integral in allowing us to fulfill our mission of fixing the user experience in global trade. At Flexport you’ll conduct analyses that are at the forefront of reshaping the entire logistics & supply chain industries. You’ll work alongside self-starters interested in solving real-world problems and streamlining the inefficiencies in the complex global trade industry. You’ll have the opportunity to improve an industry by analyzing the new operating system for global trade.You will:Flexport is a company that runs on data - you'll be transforming data into action by working cross-functionally with the entirety of Flexport. Meet with stakeholders - from business and product - to understand OKR requirements and convert them into analytical solutionsModel new product analytics datasets built on our proprietary operations software to optimize growth strategies and cost reductionsImprove operational and financial productivity across our business and softwareRapid prototype new functionality via dashboards to enable new ways of working and discover best practices for workflow management across all of Flexport's departments;Contribute and grow the culture of excellence on our team by bringing processes and best practices to our group. Drive highly visible projects for FlexportInfluence the roadmap for both the Data Analytics department and the stakeholders we supportYou should have: 5+ years of experience in a Data Analyst, BI Engineer, Product Analyst, or similar roleStrong SQL fluency required – from building entire ERDs of tables containing complex logic to analyzing those datasets into consumable insights for the business. Professional familiarity with applied statistics and scripting languages like Python or R (python preferred)Experience ELT data modeling, especially with dbt (data build tool) is a plus; building analytical narratives using data visualizations (Looker is a plus)Executive communication skills and empathy to understand and discover business pain points and build solutions to improve the user experience at all levels of the global trade processInterest in optimizing operational productivity and measuring automation across our software and business processes A ""compliance first"" attitude to keep our regulators happy and enthusiastic about Flexport since we operate in a heavily regulated industry. Worried about not having any logistics experience? Don’t be! Our mission is to make global trade easy for everyone. That’s why it’s important to bring people from diverse backgrounds and experiences together with our industry veterans to help move the global logistics industry forward.We know this industry is complex. That’s why we invest in education starting day one with Flexport Academy, a one week intensive onboarding program designed specifically to set every new Flexport employee up for success.The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Our salary ranges are determined by role, level, and location. Within the range displayed, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education and / or training. The US base salary range for this full-time position: (exclusive of bonus, equity and benefits.) $90,000 - $100,000 USDAt Flexport, our ability to fulfill our mission of making global trade easy for everyone relies on having a diverse, dedicated and engaged workforce. That is why Flexport is committed to creating and nurturing an environment where anyone can be their authentic self. All qualified applicants will receive consideration for employment regardless of race, color, religion, sex, national origin, age, physical and mental disability, health status, marital and family status, sexual orientation, gender identity and expression, military and veteran status, and any other characteristic protected by applicable law. per year
        


        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
ID.me,"McLean, VA",17 hours ago,131 applicants,Data Analyst,"Company OverviewID.me is a high-growth enterprise software company that simplifies how people prove and share their identity online. The company empowers people to control their data through a portable and trusted login, which means they don’t need to create a new password when visiting sites that have the ID.me button. ID.me’s digital identity network has over 117 million registered members, and is used by fourteen federal agencies, agencies in 30 states and over 600 corporations for secure identity proofing and verification.ID.me’s technology meets the federal standards for consumer authentication set by the Commerce Department and is approved as a NIST 800-63-3 IAL2 / AAL2 credential service provider by the Kantara Initiative. In addition to helping people control their credentials and data, the company’s “No Identity Left Behind” initiative strives to expand digital access and inclusion for all people. The company offers multiple pathways to identity verification – online self-serve, live video chat agents, and in person. ID.me is passionate about building a robust identity network that does not compromise access for traditionally underserved groups.ID.me has received numerous awards including Deloitte’s 2023 Technology Fast 500, Washington Business Journal’s Fastest Growing Companies, Entrepreneur Magazine’s 100 Brilliant Companies and Wall Street Journal’s Startup of the Year finalist. In recent quarters, ID.me announced it raised $132 million in Series D funding, led by Viking Global Investors with participation from CapitalG, Morgan Stanley Counterpoint, FTV Capital, PSP Growth, Auctus Investment Group, Moonshots Capital, and Scout Ventures. ID.me’s most recent round brings the total investment in ID.me to over $275 million since its founding in 2010.Role OverviewID.me is the most trusted digital identity network, providing mobile and online identity verification SaaS technology in the U.S. Our mission is to make the world a more trusted place by facilitating transparent, efficient, and secure interactions between people and organizations. With over 117M members and counting, we’re just getting started.We’re looking for a detail-oriented Data Analyst to work with our Member Operations team. This person will quickly deliver insights, review and develop metrics, and contribute to improved business processes to scale analytics that support our explosive growth.ResponsibilitiesWork collaboratively with the Member Operations team to define and analyze metrics to track the success of the business with a primary focus on member experience, service levels, and business performanceImprove business understanding of our members, our products, and our profitability through data analysis, data visualization, and storytelling techniques Drive cross-functional and enterprise-wide solutions, providing thought leadership within and beyond working groupConvey insights and impact decisions/outcomes to senior leadershipDesign dashboards to monitor KPIs and business metrics in a readable and digestible format that allows quick insights into performanceFrame business problems in analytical language and converting business requirements into datasets, analyses, models, and reportsInterpret data to discover patterns and identify trends that support growth and increase efficiencies, implementing enhancements to address control gapsBuild and automate tools to surface key data to stakeholders across a broad range of data literacy levelsProvide ad hoc analysis and forecasting as needed across a diverse set of teams and needs to support existing customers, future sales, and strategic business decisionsProvide support to the Data Engineering and Data Science teamsQualifications1+ years experience in data analytics, business analytics, statistical modeling, or related fieldBS/BA degree required, with a degree in engineering, computer science, data analytics, mathematics, statistics, economics, or related quantitative discipline preferredManagement consulting experience is a plusResults-oriented mindset with an intense focus on achieving both short and long-term goalsA proven track record of problem-solving based on analytics to support business recommendationsStrong written and verbal communication skills and comfort engaging with senior leadershipExperience at a fast-paced startup is a plusDemonstrating the ability to tell stories with data through the use of data visualization, dashboards and/or slides calling out key data insights; Tableau and LookrDemonstrating statistical modeling, applied mathematics or STEM; R or PythonDemonstrating data querying, exploration, and validation; SQL and DBTThe annual base salary listed below for this role is based on experience, skills, education, relevant training and geographic location. Company bonus, incentive for sales roles, equity, and benefits are available depending on the role.ID.me offers comprehensive medical, dental, vision, health savings account, flexible spending accounts (medical, limited purpose, dependent care, commuter benefit accounts), basic and voluntary life and AD&D insurance, 401(k) with company match, parental leave, ability to participate in unlimited paid time off subject to the terms and conditions of the PTO policy, including 8 company wide holidays, short and long-term disability insurance, accident and critical illness insurance, referral bonus policy, employee assistance program, pet insurance, travel assistant program, wellbeing and childcare discounts, benefit advocates, and a learning and development benefit.The above represents the anticipated total rewards package for this job requisition. Final offers may vary from the amount listed based on qualifications, professional experiences, skills, education, relevant training, geographic location, and other job related factors.Pay Range$85,000—$101,000 USDID.me maintains a work environment free from discrimination, where employees are treated with dignity and respect. All ID.me employees share in the responsibility for fulfilling our commitment to equal employment opportunity. ID.me does not discriminate against any employee or applicant on the basis of age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. ID.me adheres to these principles in all aspects of employment, including recruitment, hiring, training, compensation, promotion, benefits, social and recreational programs, and discipline. In addition, ID.me's policy is to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations and ordinances where a particular employee works. Upon request we will provide you with more information about such accommodations.Please review our Privacy Policy, including our CCPA policy, at id.me/privacy. If you provide ID.me with any personally identifiable information you confirm that you have read and agree to be bound by the terms and conditions set out in our Privacy Policy.ID.me participates in E-Verify.



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Software Development
Grace Health,"Corbin, KY",2 days ago,,Data Analyst,"GraceHealthData AnalystDepartment: Information TechnologyFLSA: NonexemptReports to: Director of Information TechnologyApproved Date: 7/28/2020Summary: The data analyst is responsible for gathering and analyzing healthcare data from multiple sources to extract trends and business insights. They will evaluate billing, encounter, appointment, and other data sources to identify and correct errors by working with other departments and vendors to correct operational workflows and identify software patches and workarounds to ensure data integrity. The primary responsibility for this position is to fully support the ongoing healthcare business intelligence and data analytics objectives. To succeed in this role, you should be analytical, resourceful and work under moderate supervision.ESSENTIAL DUTIES AND RESPONSIBILITIES:Provides consulting and analytic services to leadership and management.Monitors data from many sources and creates scheduled and ad-hoc reports using Microsoft SQL Server and/or Excel data.Summarizes large volumes of data in analytical reports that include tables and graphs for management to review and use.Helps interpret large data sets to provide or enhance business intelligence for operational and management functions.Reviews and ensures accuracy of reports and corrects or explains discrepancies through the use of sampling, investigation, and understanding of operational workflows.Collaborates with other departments and vendors to identify missing data, errors, or other anomalies.Works with others to gather necessary information, provide guidance on regulatory reporting needs, and resolve data errors.Building models and analyzing data to discover patterns and trends.Integrate data from disparate sources (i.e. scheduling, clinical, billing, or external data sources).Support internal IT department in software upgrade/patch processes.Assist IT department when needed with end user support related to clinical and non-clinical EMR support.OTHER ESSENTIAL DUTIES and RESPONSIBILITIES:Grace Health recognizes that managing patient care is a team effort that involves clinical and non-clinical staff. All employees must embrace a team-based approach to patient care and understand that each role is important to our success. Team members must demonstrate excellent team communication and coordination to provide quality patient care.Care coordination includes communicating with community organizations, health plans, facilities, and specialists.Care team members understand and embrace the concept of population management and proactively address the needs of patients and families served by this practice. Team members must demonstrate skill and knowledge related to effective communication with vulnerable patient populations.Team members must participate in Continuous Quality Improvement activities within the organization to ensure patients receive high quality care. All team members will be involved in the process of improving quality incomes.Team members will participate in the review and evaluation processes of practice performance and help to identify opportunities for improvement.Team members will participate in Grace Health's advocacy program.GENERAL DUTIES:Follows policies and procedures of the office, including administrative, clinical, quality assurance, and personnelMaintains good attendance (daily, meetings, and other assignment tasks)Maintains timely documentation of all work assignmentsMaintains patient confidentialityRoutinely keeps supervisor informed about attendance and job assignmentsFlexible in being able to multitaskWorks effectively and at an efficient paceWorks cooperatively with providers, administration, and peersQUALIFICATION REQUIREMENTS:To perform this job successfully, an individual must be able to assist in advancing Grace Health’s mission and to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.SKILLS:Ability to: Use Microsoft office suite, Microsoft SQL Server at an expert level to gather, analyze, and present information; Learn new software as needed to meet business requirements; Work with internal and external departments to extract project requirements/specifications to build capable, accurate reporting and analysis.EDUCATION and/or EXPERIENCE: Minimum of Bachelor’s degree in statistics, economics, or related discipline OR minimum four years of data analyst or related experience with proven skills in analysis.At least 1 year experience analyzing complex data sets and creating custom reports.Strong analytic and reporting skills required; Effective oral, written and interpersonal communication skills required; Experience working in healthcare industry and/or formal informatics training are a plus.PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand; walk; sit; and use hands to finger, handle, or feel objects, tools, or controls. The employee is occasionally required to reach with hands and arms; stoop, kneel, crouch, or crawl; and taste or smell.The employee must occasionally lift and /or move up to 50 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.WORK ENVIRONMENT:Grace Health is a faith-based, federally qualified community health center (FQHC). We provide primary health services to underserved, underinsured, and uninsured individuals in the southeastern Kentucky region. Our mission is “to show the love and share the truth of Jesus Christ to southeastern Kentucky, thorough access to compassionate, high quality, primary health care for the whole person” regardless of ability to pay.The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee is occasionally exposed to wet and/or humid conditions, fumes or airborne particles, and toxic or caustic chemicals.The noise level in the work environment is usually moderate.Grace Health provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.Powered by JazzHRLNDI9fJFad
        


        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Internet Publishing
"Convene, Inc.","Boston, MA",2 days ago,160 applicants,Business Data Analyst,"About Convene Inc.Convene, Inc. is a Tampa based, award-winning technology services organization with offices and resources throughout the US, Mexico, and India. We have successful, referenceable customers, competitive benefits, and high-growth opportunities.Business Data Analyst Contractor OverviewThe Business Data Analyst (BDA) plays a key role in uncovering insights that lead to better informed and successful decision-making. Reporting to Senior Director of BI, this role requires someone who has the knowledge and skills to turn raw data into information and insights. This individual is also responsible for understanding business context, identifying critical data, separating the noise and then creating comprehensive scorecards (operational and management) of KPIs and KRIs to monitor and the health of our business and highlight areas needing attention.Business Intelligence sits at the intersection of business and technology, and this role is grounded in both. The work will serve the big picture needs of the business, and the analyst must become fluent in the company operations and quantitative management systems while effectively serving as an internal consultant who can demonstrate insights that measure enterprise business impact and results.This is an ideal role for a deeply analytical individual who is a self-starter, a quick learner, and who enjoys structuring and solving ambiguous problems by asking the right questions of stakeholders, understanding the needed data and associated gaps and creating technical solutions.Key ResponsibilitiesPartner with cross-functional enterprise business leaders and analysts to understand their systems, data, strategy, and data integrity so that they can be transformed into easy-to-use KPI scorecards and insights. Devise, develop, and deploy required data queries to ascertain system data options for creating KPIs (including data quality, real-time capabilities). Understand business context and be able to distinguish between critical data and noise. Collaborate with BI to load data into the data warehouse. In conjunction with data owners and department managers, develop data models and protocols for mining the enterprise data warehouse. Collaborate with business leaders to design KPIs and KRIs based on milestones in the business process and develop scorecards to monitor the health of the business and highlight areas needing attention. Monitor and maintain KPI and KRI scorecards in alignment with the business lead, including ideas for enhancements and bug identification and resolution Collaborate to create cross-functional data entry processes and identify/communicate any issues in cyclical workflows to capture data using the defined processes that ensure data quality Support business leaders as a go-to source for defining and answering key strategic and product centric questions using data and working with Business Analysts across the organization Learn how to standup and operate insight and dashboard capabilities across multiple systems, including D2L Brightspace and Optimizely Work in A/B Experimentation Tool (Optimizely) and D2L Brightspace and integrate data back into tableau reports/dashboards. Apply expertise in quantitative analysis to functional data and find trends and anomalies, understand relationships, develop actionable recommendations for process improvements and achieving business outcomes. Create presentation/visualization of data to see beyond the numbers while transforming raw data into actionable insights and recommendations. Provide analyses and insights to the internal team on a regular basis on trends, performance of the data sets, quality, and discrepancies and provide input into mitigation. Perform ad hoc analyses on business initiatives or trends to identify improvements or provide thought leadership. Help identify better practices, tools, and relevant trends that can improve data quality across the business. QualificationsRequired 5+ years of SQL experience and delivering data driven insights complex data processes. Deep experience in data visualization and reporting using open-source libraries/packages and third-party tools (Tableau, PowerBI or similar) Deep experience in and mastery of Tableau UI to create visually appealing and simple scorecards Strong understanding of data models, structures, theories, principles, and practices Thorough knowledge of MS Excel, Word, and PowerPoint Strong experience working with stakeholders and translating business requirements to technical requirements Ability to understand process- translate it to data and create/evaluate associated KPIs A passion for building remarkable things with data. An eagerness to learn and solve problems (and the smarts to do it!) Positive & creative problem solving in the face of data challenges. Ability to understand the business purpose or problem behind a request. Ability to ask for help and help others (but also teach oneself when needed) Strong teamwork, solution-centric and customer-service-oriented attitude Effective organizational and interpersonal skills including written and verbal communication with both business and technology. Flexibility to successfully multi-task in a fast-paced environment with a positive attitude A passion for working with young adults, an unshakable belief in their potential, and a strong commitment to the mission of the company.Preferred Experience with Salesforce and related systems; Workday, Degreed, and ADP Experience with agile project management and business tools such as Jira, ITSM and Visio Experience with Snowflake, Python Experience with machine learning especially in data products.



        
            Show more
          

          



        
            Show less",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
"The Brixton Group, Inc.","Boston, MA",4 days ago,,Data Analyst,"Looking for a Data Analyst who specializes in rationalizing duplicate data within datasets. The ideal candidate will have experience in data quality, proficiency with data quality tools, and a strong understanding of automated profiling techniques. Retail industry experience is desired but not required.ResponsibilitiesIdentify and rationalize duplicate data within our datasets to ensure data accuracy and consistency.Utilize data quality tools to profile, cleanse, and standardize datasets.Develop and implement automated processes for identifying and resolving duplicate data.Collaborate with cross-functional teams to understand data requirements and address data quality issues.Create and maintain documentation related to data quality processes and procedures.Analyze data using SQL queries and generate insights to support business decisions.Develop interactive reports and dashboards using Power BI to visualize data quality metrics and trends.QualificationsProven experience as a Data Analyst, with a focus on data quality and duplicate data rationalization..Proficiency in SQL for data manipulation and analysis.Strong analytical and problem-solving skills with attention to detail.Experience with Power BI or similar data visualization tools.Knowledge of Python is a plus, but not required.Excellent communication and collaboration skills.Retail industry experience is desired.



        
            Show more
          

          



        
            Show less",Associate,Contract,Information Technology,IT Services and IT Consulting and Retail
Conexess Group,"Chattanooga, TN",23 hours ago,,Excel Data Analyst (Remote),"Our History:From our start in 2009, Conexess has established itself in 3 markets, employing nearly 200+ individuals nation-wide. Operating in over 15 states, our client base ranges from Fortune 500/1000 companies to mid-small range companies. For the majority of the mid-small range companies, we are exclusively used due to our outstanding staffing track record.Who We Are:Conexess is a full-service staffing firm offering contract, contract-to hire, and direct placements. We have a wide range of recruiting capabilities extending from help desk technicians to CIOs. We are also capable of offering project-based work.Conexess Group is aiding a large healthcare client in their search for an Excel Data Analyst in a remote capacity. This is a long-term opportunity with a competitive compensation package.Responsibilities:Delivers professional activities in the Data Analysis job family. Collects, validates, analyzes, and organizes data in to meaningful reports for management decision making. Create and run Tableau reports May process function-specific transactions and maintain function records/data. Applies advanced Excel skills and techniques to collect, aggregate, and analyze data. Provides standard and advanced output from Excel to present to leadership. Qualifications:Associate's Degree or above requiredSecondary education of some time - 2 year, 4 year Minimum of 5 years experience working in high paced, analytical environment crunching data and aggregating data in a cross-functional environment. Ability to merge large volumes of data quickly and translate into meaningful graphics for easy consumption and understandingAdvanced knowledge of Excel & Access requiredAdvanced Tableau Strong time management to accomplish large workloads of data collection, synthesis and analysis Strong financial background with numbers and analytical quality measures



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Genpact,New York City Metropolitan Area,2 days ago,,Data Analyst,"With a startup spirit and 115,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. We dream in digital, dare in reality, and reinvent the ways companies work to make an impact far bigger than just our bottom line. We’re harnessing the power of technology and humanity to create meaningful transformation that moves us forward in our pursuit of a world that works better for people. Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing., People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower.Welcome to the relentless pursuit of better.Inviting applications for the role of Principal Consultant, Data AnalystIn this role, you will be responsible for coding, testing and delivering high quality deliverables, and should be willing to learn new technologies.Responsibilities· Apply a data analytics approach to solve business problems.· Utilize data to improve processes and risk management strategies.· Create and design data visualization and analysis tools.· Get involved in the business automation initiatives.· Develop data driven insights.· Partner and collaborate with across departments with key stakeholders.Qualifications we seek in you!Minimum Qualifications· BE/B Tech/MCA· Excellent written and verbal communication skillsPreferred Qualifications/ Skills· Advanced knowledge of Microsoft Excel· Working knowledge of Databases/SQL· Experience using data visualization techniques and tools such as PowerBI, QlikView or Tableau· High attention to detail and able to notice patterns and trends in data.· Thrives on problem solving and able to suggest solutions.· Strong & effective communication with people at all levels across the firm· Distil a compel & problem into a workable solution and implement it.· Continuously learn and implement new skills and as well as understanding the latest technologies has context menu.The approximate annual base compensation range for this position is $60000 to $75000. The actual offer, reflecting the total compensation package plus benefits, will be determined by a number of factors which include but are not limited to the applicant’s experience, knowledge, skills, and abilities; geographic location; and internal equityGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com . Follow us on Twitter, Facebook, LinkedIn, and YouTube.Furthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Information Technology,Banking and Investment Banking
DivIHN Integration Inc,"Deerfield, IL",3 days ago,170 applicants,Data Analyst / Excel Analyst,"DivIHN (pronounced “divine”) is a CMMI ML3-certified Technology and Talent solutions firm. Driven by a unique Purpose, Culture, and Value Delivery Model, we enable meaningful connections between talented professionals and forward-thinking organizations. Since our formation in 2002, organizations across commercial and public sectors have been trusting us to help build their teams with exceptional temporary and permanent talent.Visit us at https://divihn.com/find-a-job/ to learn more and view our open positions.Please apply or call one of us to learn moreFor further inquiries regarding the following opportunity, please contact our Talent SpecialistsSivanesan at 224 369 0756Title: Data Analyst / Excel AnalystLocation: Deerfield ILDuration: 1 MonthDescriptionSupport US Commercial Operations Pricing team in creation of Customer sales data reports for distribution to the Sale Organization.Job Requirements & Responsibilities Strong analytical and problem-solving skills are a must with sharp attention to detail and accuracy Ability to act with a sense of urgency and prioritize and manage multiple requests and projects and meet deadlines Support Pricing team with quick and accurate sales reportingJob QualificationsIntermediate level skill in Microsoft Excel a must.EducationBachelor's Degree preferredAbout UsDivIHN, the 'IT Asset Performance Services' organization, provides Professional Consulting, Custom Projects, and Professional Resource Augmentation services to clients in the Mid-West and beyond. The strategic characteristics of the organization are Standardization, Specialization, and Collaboration.DivIHN is an equal opportunity employer. DivIHN does not and shall not discriminate against any employee or qualified applicant on the basis of race, color, religion (creed), gender, gender expression, age, national origin (ancestry), disability, marital status, sexual orientation, or military status.



        
            Show more
          

          



        
            Show less",Associate,Full-time,Information Technology,Software Development
