company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Zoopla (part of Houseful),"London, England, United Kingdom",3 days ago,91 applicants,Associate Data Analyst,"London based hybrid role, with at least 2 days working in the London officeAt Houseful, we’re here to help everyone make intelligent decisions about their home.Do the best work of your life!Houseful is home to trusted brands Zoopla, Alto, Hometrack, Calcasa, Mojo and Prime location. Together we’re creating the connections that power better property decisions, by unlocking the combined strength of software, data and insight.We make moves with head and heart to achieve our big ambitions, and to drive progress in the property market. There’s never been a better time to join us.HometrackHometrack is redefining the mortgage journey for lenders, brokers and consumers by delivering the market leading valuation and property data service to financial services, property and technology industries. Our key commercial and go to market segment is in financial services, primarily mortgage lenders including 9 of the top 10 mortgage providers.Position OverviewJoin the Hometrack Analytics team as an junior Data Analyst, where you'll assist in detailed analyses of property and mortgage data to provide essential insights and support to our team, the broader business and clients, including leading UK lenders. We're seeking a self-motivated individual with a numerical background, analytical curiosity and structured approach to task management to deliver value to our clients and contribute to innovation and growth in our products. As part of our collaborative team, you'll have the opportunity to grow your technical skills, build domain knowledge in financial services and work on product development.Key ResponsibilitiesProvide data analysis and insight generation for our customers and product teamsRun and process valuations of property portfolios using Hometrack's AVM engine and assist with the analysis and risk modelling of its applicationCompile high-quality reports, typically in a written format or slideware, of a quantitative nature, for mortgage lenders, housing associations and other Hometrack customers and partnersContribute to the development, assessment, and ongoing monitoring of the statistical performance of the Hometrack AVM and other models and servicesBuild and maintain business intelligence tools (e.g., visualisation reports) to support the commercial and product teamsProvide clear and accurate answers to client queries that require analytical input and/or supportProvide support to the rest of the analytics team and wider organisationQualificationsBachelors or Master’s degree related to Statistics, Mathematics, Computer Science, Economics etcExcellent analytical skills with the ability to collect, organise, analyse, and disseminate large sets of information with attention to detail and accuracyStrong logical problem-solving skillsExcellent written and verbal communication skillsHighly competent in using ExcelFamiliarity with computer coding languages such as SQL and/or Python is desiredFamiliarity with using data visualisation tools is desiredThere’s always room to grow and learn with our roles so please don’t be put off if you don’t have all of these skills and experiences. It’s more important that you’re passionate about our mission to improve the home moving and owning experience for everyone.What we think it takes to Excel as a Associate Data AnalystYou are passionate about analytics and have a keen interest in the UK property market and/or financial services. You take pride in what you do and enjoy taking full ownership and responsibility of your workYou enjoy face to face interactions and want to engage directly with clients and colleagues to present your own or the wider team’s analytical workYou are a creative problem solver, team player, keenly attentive to detail and customer and outcome focussedYou want to learn, be challenged, and challenge your teammates, having in mind the team’s and business’s objectivesYou want to proactively share your skills, knowledge, and energy to achieve shared ambitionsKey AttributesAbility to learn quickly, adjust to changes and think outside the boxExcellent time management and organisational skillsAbility to easily build relationships with both colleagues and clientsConfidence presenting data analysis to technical and non-technical audiencesConfidence interacting with clients and responding to their requirements/needsNaturally curious to find better and simpler ways to tackle different tasksWe want to make Houseful more welcoming, fair and representative every day. We’ll consider everyone who applies for this role in the same way, regardless of your ethnicity, colour, national origin, religion, sexual orientation, gender, gender identity, age, physical disability, neurodiversity status, family or parental status, or how long you’ve spent unemployed. We’re reimagining the property industry for everyone, so we want our team to represent people from all walks of life. We actively welcome your application if your demographics or background are underrepresented in the technology or property sectorsBenefitsEveryday Flex - greater flexibility over where and when you work25 days annual leave + extra days for years of serviceDay off for volunteering & Digital detox dayFestive Closure - business closed for period between Christmas and New YearCycle to work and electric car schemesFree Calm App membershipEnhanced Parental leaveFertility Treatment Financial SupportGroup Income Protection and private medical insuranceGym on-site in London – or membership in regional offices7.5% pension contribution by the companyDiscretionary annual bonus up to 10% of base salaryTalent referral bonus up to £5K



        
            Show more
          

          



        
            Show less",Associate,Full-time,Analyst,"Technology, Information and Internet"
Transport for London,"London, England, United Kingdom",5 days ago,,Data Analyst,"Job Title: Data AnalystSalary: £38,000 - £42,000 Location: London, North Greenwich / HybridHybrid working within this role enables a balance of 50 per cent of time split between the office and home over a 4-week period. Hybrid working arrangements can evolve subject to business requirements.Job PurposeAs a Data Analyst, you'll play a pivotal role in analysing patterns and trends from extensive customer data. Dive into large databases held in SAP ECC, extracting valuable insights to inform strategic operational and planning decisions.Your responsibilities extend beyond sheer analysis; you’ll bring a professional touch by adding thoughtful interpretation and explanation to the extracted data. Craft meaningful, high-quality analyses tailored for both internal and external stakeholders.Key Accountabilities Unleash the potential of SAP to analyse, interpret, and present insights using TfL and external data sets. Seamlessly integrate SAP Data Services or similar tools and ETL tools to cleanse and interpret master data, ensuring the integrity of our analytical foundation. Provide support to internal customers by answering analytic questions. Your SAP and analytical experience will inform business decisions and provide a detailed understanding of data held and its interdependencies across applications on TfL estate. Contribute to the development of ETL methodologies, ensuring business intelligence extraction from large TfL data sets aligns seamlessly with both SAP and non SAP applications. Drive the development of methodologies for better data management and alignment between SAP and other key applications based on industry best practice. Enhance TfL's understanding and management of Data across its core ERP systems leveraging knowledge of ETL , Data management and data cleanse processes.Skills, Knowledge & Experience Leverage your extensive experience in building Data architecture and strategies across multi-ERP systems, with a very good knowledge of SAP, Success Factors, S4, ETL methodologies and their interdependencies. Essential expertise in ETL Procedures, Data validation and load, mass upload tools with a focus on SAP Data Services or similar tools for master data cleansing. Ability to communicate Master Data findings effectively to diverse audiences. Experience working with large datasets for quantitative analyses, specifically within SAP and related eco system. Experience using SAP and BI to answer key business questions and impact business issues. Experience in advanced SAP and BI analytic methods, including data mining and statistical analyses. Experience in gathering, collating, analysing, and publishing SAP and BI-driven data in multimedia formats. Experience in a technical SAP and ETL analytic background.Closing date for applications: Tuesday 5th March 2024 @ 23:59Many of our staff work flexibly in many different ways. Please talk to us at interview about the flexibility you need. We'll see what we can do.We understand a confidence gap can get in the way of meeting spectacular candidates. So please don’t hesitate to apply if you think you have what it takes even if you feel you don’t meet all the criteria. We’d love to hear from you.Equality, diversity and inclusion We are committed to equality, diversity and inclusion. We want to represent the city we serve, which will help us become a more innovative and efficient organisation. Our goal is to make our recruitment as inclusive as possible. We are a disability confident employer who guarantee an interview to any disabled candidate who meets all of the essential criteria. We also use anonymising software that removes identifying information from CVs and cover letters to make the process fair.Additional InformationPlease note that you must apply by using your CV and a covering letter. Please think carefully about the skills, knowledge and experience outlined in the job description and ensure your CV reflects the requirements of the role.We will endeavour to give candidates as much notice as possible however some interviews/assessments will be organised at short notice and will require a degree of flexibility.BenefitsIn return for your dedication and expertise, you will enjoy excellent benefits and scope to grow. Rewards vary according to the business area and role, but may include: Final salary pension scheme TfL’s is committed to work-life balance operating a hybrid working approach where business and role requirements allow Free travel for you on the TfL network A 75% discount on National Rail Season Ticket and interest free loan 30 days annual leave plus public and bank holidays Private healthcare discounted scheme (optional) Tax-efficient childcare payments Tax-efficient cycle-to-work programme Retail, health, leisure and travel offers Discounted Eurostar travelOrganisationCustomers, Communication and TechnologyJobTechnology Service OperationsPosition TypeFull Time
        


        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,"Project Management, Information Technology, and Engineering","IT Services and IT Consulting, Software Development, and Truck Transportation"
Forbes Advisor,"London, England, United Kingdom",4 days ago,151 applicants,Data Research Analyst - SMB (Remote),"Company DescriptionAt Marketplace, our mission is to help readers turn their aspirations into reality. We arm people with trusted advice and guidance, so they can make informed decisions they feel confident in and get back to doing the things they care about most.We are an experienced team of industry experts dedicated to helping readers make smart decisions and choose the right products with ease.Marketplace boasts decades of experience across dozens of geographies and teams, including Content, SEO, Business Intelligence, Finance, HR, Marketing, Production, Technology and Sales. The team brings rich industry knowledge to Marketplace’s global coverage of consumer credit, debt, health, home improvement, banking, investing, credit cards, small business, education, insurance, loans, real estate and travel.Job DescriptionForbes Advisor is a new initiative under the Marketplace umbrella that provides consumers with journalist- and expert-written insights, news, and reviews on all things personal finance. Our goal is to help small and medium businesses (SMBs) make informed decisions by providing them with the knowledge and research they need.We are seeking an SMB Data Researcher to join our team and assist our editorial team in creating top-quality content. In this role, you will provide research on the market and ensure the quality and accuracy of data collection and analysis for products and services relevant to SMBs, with a focus on software. Your research will be a key component of making trustworthy, relevant assessments of products and services, and will help thousands of SMBs make informed decisions about the products and services they use. Example recent projects include research into the best-suited website hosting services, distribution management software, and CRM software across a range of use-cases.Responsibilities:Review editorial data requests for feasibility, usability, and scalabilityPerform primary research to fulfil data requests, visiting product and service websites to collect information Communicate estimated times of delivery to the data research analysts, keeping them appraised of any delays or issuesEnsure data collected is accurate and up-to-dateAct as a liaison between the research team and analyst team to communicate any issues regarding timelines and data collectionAbout You:Experience with or exposure to software and solutions used and sought by SMBs - this role would suit someone with 2+ years’ experience working in an SMB in an operational capacity or with a background in business solutions salesComfortable working in G-Suite, with an emphasis on Google Sheets or experience with Microsoft Excel and able to adaptComfortable implementing and supporting quality control measures and feeding back to teams when errors are identifiedUsed to working in an international team across different time zones Qualifications:Associate’s/Bachelor’s degree or certificate in a relevant field, such as business, management and administrative studies, or equivalent training and experienceProficiency in using Google Sheets or Microsoft Excel for data analysis and manipulationProficiency in SQL and Python for data manipulation are desirable Experience with or certification in Tableau is desirableAdditional InformationForbes Marketplace provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Analyst,Consumer Services
Royal Borough of Kensington and Chelsea,"London, England, United Kingdom",4 days ago,113 applicants,Data Analyst RBKC614893,"Job SummarySalary range: £41,967 - £50,088 per annumWork location: LondonHours per week: 36Contract type: PermanentClosing date: 10th March 2024Interview date: Week commencing 18th March 2024About UsHarnessing digital to drive change and improvement in housing services.In Kensington and Chelsea, we put local people and local businesses at the heart of decision-making, working in partnership with them to provide quality services that are responsive, effective, and efficient.Kensington and Chelsea understand the opportunity as well as the necessity for positive innovation and change. We are reviewing our property portfolio and management to ensure it delivers social value and aligns with our ambitions on equality, diversity and inclusion. Understanding the needs of our residents and the organisation that supports them is critical.The RoleYou’ll use your analytical data skills to help us deliver excellent services for residents and support housing initiatives for change. Specifically, you’ll discover, define and document reporting requirements for Housing IT Systems (principally MS Dynamics 365 Online and Capita One Housing). Provide insights, analysis, and recommendations based on system data by coordinating and constructing reports, communicating between IT resources and business teams.About YouPlease refer to the Job Description for more information.You’ll be a vital point of connection between business and digital technology to support reports and dashboards across Housing. We are looking for candidates with experience configuring and customizing reports (primarily SQL) and carrying out deep analysis to convert data into business narration, influencing development and performance improvement. Essentially, this job requires assessing the accuracy and effectiveness of system reports, and correcting issues if necessary.While some understanding of housing would be helpful, a background in local government is not essential. A successful candidate should be proficient in SQL, curious, quick to learn, and eager to progress at a steady pace.Please apply online explaining how you meet the requirements set out in the person specification and job description. CV’s will not be considered for this role.We reserve the right to extend or close this vacancy early without warning subject to the volume of suitable applicants. Application process Please do not upload any documents, including CVs/Covering Letters or supporting statements, as these documents will not be reviewed and could result in your application not being shortlisted.You should describe how you meet the person specification requirements for the position you are applying for in Section G of the application form.Additional InformationWe are committed to promoting equality and respecting diversity and welcome applications from all sections of the community.We are a Disability Confident Employer – committed to ensuring that our recruitment and selection process is inclusive and accessible.We engage our staff with a variety of learning types including face-to-face and virtual learning because we want to ensure our staff understand our values and behaviours, grow their skills and develop their careers.This post is covered by the Fluency Duty, as outlined in the Code of Practice on the English language requirements for public sector workers.We do not accept speculative CVs from any source.Please note, we will primarily contact candidates by e-mail throughout the recruitment process, please monitor your email junk / spam folder as our system generated emails may be allocated to these folders by your email settings.If you experience difficulties with the recruitment application process, please contact the recruitment team by email:  recruitment@rbkc.gov.uk



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Government Administration
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
