company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Ark Talent Ltd,"St Gallen, Switzerland",21 hours ago,80 applicants,Data Analyst,"We are looking for an experienced BI & Data Analytics Specialist to join a leading manufacturing company near St Gallen.Your primary duty will be to utilize build data base structure, data analytics and business intelligence to create and manage KPI sets essential for business operations. The role also includes spearheading the development and optimization of BI dashboards, aiming to provide insightful analysis that drives decision-making processes across various teams.Please get in contact for full details.


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,Industrial Machinery Manufacturing
Meanquest,"Geneva, Geneva, Switzerland",1 hour ago,,Data analyst (H/F),"Vous êtes un spécialiste Data ? Vous avez savez comment analyser les données pour assurer l'évolution des procédés ? Postulez sans attendre ! Meanquest est une entreprise IT à taille humaine avec plusieurs domaines d'expertise : l'infrastructure, le support, les solutions Cloud et le recrutement, mais notre métier c'est avant tout de donner du sens à l'IT de nos clients et au travail quotidien de nos équipes. Nous sommes implantés sur 3 sites (Ecublens, Meyrin et Givisiez) et nous recrutons régulièrement des personnes qui souhaitent prendre des responsabilités et travailler dans un contexte jeune et dynamique.  Pour l'un de nos clients basé à Genève, nous sommes à la recherche d'un(e)    Data Analyst (H/F)  Missions: Développer des tableaux de bord sur Power BI Effectuer les analyses statistiques en assurant la cohérence des indicateurs et présenter les résultats au travers de tableaux de bord ou des rapports visuels Identifier et formaliser les besoins en information et en analyse Décrire les procédures requises de collecte et de nettoyage des données Documenter les méthodes statistiques et spécifier les règles de gestion Gérer les données manquantes ou inconsistantes Spécifier les besoins d'automatisation pour l'extraction, l'intégration ou la mise à jour des données Tenir à jour le catalogue de données et suivre la qualité des informations restituées et l'utilisation des analyses en service Identifier les tendances, les modèles et les anomalies dans les données  Profil:Expérience d'au moins 5 ans en tant que Data AnalystMaîtrise de la solution Microsoft Power BI Desktop et Report Server Excellentes connaissances dans les capacités de visualisation des outils et les techniques de présentation des données Excellentes connaissances des bases de données et des plateformes de virtualisation de données Excellentes connaissances des processus ITIL et du ""métier d'une DSI"" Bonnes connaissances dans la manipulation de données SQL Bonnes connaissances des concepts statistiques de base (distributions, tests d'hypothèses, régression...) et savoir identifier des tendances, des modèles et des corrélations dans les données Bonnes connaissances dans l'ingénierie des tests Capacité à spécifier des exigences et élaborer des concepts techniques de traitements des donnéesBonnes compétences en matière de communication et de relations interpersonnelles.  Pourquoi postuler:De nombreux avantages internesSitué en plein centre de Genève et facilement accessible en transportPerspectives d'évolution Cette opportunité vous intéresse ? N'hésitez pas à postuler et venez nous rejoindre !  Seules les candidatures répondant à l'ensemble des critères requis seront prises en considération.


        Show more

        


        Show less",Associate,Full-time,Information Technology,Government Administration
Nicoll Curtin,"St Gallen, Switzerland",6 days ago,,IT Business Data Analyst,"We have a great opportunity for German speakers IT Business Data Analysts with one of our clients in the banking industry in St. Gallen.This is a contracting role, with the contract initially until the end of July this year, with an option for extension.Way of working: Hybrid (4 days remote, 1 day on-site).Fluency in German is mandatory.As an IT Business Data Analyst in Wealth Advisory, your role involves analysing business needs and ideas to identify necessary data. You're tasked with mapping functional data from the main banking system to the wealth advisory system. This includes creating detailed specifications for developers using Confluence and JIRA. You work independently to integrate object models from various systems, such as Avaloq and aixigo. Acting as a bridge between business stakeholders and technical teams, you communicate requirements, progress, and technical issues. Additionally, you're responsible for identifying and addressing risks associated with technical solutions.If you have banking expertise in the area of investment consulting, know-how of API tooling such as Postman, experience with the object model of the Avaloq core banking system, object model of the wealth advisory system aixigo and SQL - apply here or reach out to me directly at: irina.maric@nicollcurtin.com!


        Show more

        


        Show less",Mid-Senior level,Contract,Analyst,Financial Services
ofi,"Geneva, Geneva, Switzerland",3 hours ago,,Global Data Analyst - Sustainability ofi Coffee,"Olam Food IngredientsJob DescriptionAs global data analyst for the Coffee division, you will have close interaction with our teams of agronomists and sustainability experts across our business. This implies working with a multicultural team in 18 origins (countries). Besides a proven expertise and passion for numbers (and coffee) we are looking for a proactive person willing to take on a big challenge in a dynamic company with plenty of growth opportunities.What will you work on?To analyze data related to agricultural practices and sustainability in coffee supply chains in ofi – coffee operationsTo coordinate with ofi digital on system upgrades or developments of our data collection platform OFISTo assist and guide origins teams on the correct use of the OFIS data collection platformTo provide guidance to origins for data collection (design surveys, training material, outlier identification, sample methodologies and monitoring)To improve data management systems, focusing on data qualityTo support data integration between different platformsTo provide periodic analysis reports to the origin teams, focusing on data intelligence and data performance (quality)To communicate the value of data through dashboards (for central and origin decision making and reporting, and for external stakeholders)To work on what if scenarios or simulations to forecast outcomes and impacts from sustainability interventions.To assess GHG emission reduction from the implementation of different practices.To highlight insights, trends and other findings that help central decision-making processes.To cover Sustainability Programs data requirements (baselines, impact measurement, using external and internal tools)To continuously update and communicate global metrics.RequirementsBachelor's in engineering, Agroforestry, Business/Economic or similarAdvanced English and Spanish (min. B2)Minimum 6 months experience in data management and analysisKnowledge of agriculture and/or sustainability (like yield, seasonal effects)Technical KnowledgeStatistical and analytical tools (R, Python, or Stata)Data visualization tools (Power BI)MS Office tools, advanced Excel Knowledge in GIS is a plusExpectationsGood at data managementMeticulous & thorough in transversal analyzing multiple data pointsBeing ProactiveHigh motivation to work independently in a multicultural environmentGood social skills, getting the origins on board and equipped.Availability to travel to coffee operations, if requiredWhat ofi has to offerA position in one of the fastest growing and most sustainable companies in the food ingredient sector;An empowering and supportive management;Competitive salary + variable bonus;Pension scheme;High responsibility and working in a very hands-on, entrepreneurial, open and informal organization;Supportive, ambitious, and thriving team;Hybrid working.ofi is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, nationality, disability, protected veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law.Applicants are requested to complete all required steps in the application process including providing a resume/CV in order to be considered for open roles
      

        Show more

        


        Show less",Entry level,Full-time,"Analyst, General Business, and Information Technology",Motor Vehicle Manufacturing
Die Mobiliar,"Bern, Berne, Switzerland",23 hours ago,,Data Analyst (w/m/d),"Data Science & Analytics / Bern / Berufserfahrene / Unbefristet / 80 - 100%Als Wirtschaftsinformatiker:in bist du verantwortlich für die Aufbereitung von Kunden- und Versicherungsdaten und unterstützt damit unsere Generalagenturen und internen Stakeholder durch individuellen Support.Das bewirkst du bei unsDu bist Teil eines kleinen Teams und nimmst täglich per E-Mail und Telefon Aufträge zur Datenaufbereitung entgegen, um datenbasierte Entscheidungen zu ermöglichen und Marktbearbeitungsmassnahmen durchzuführen. Diese Aufträge umfassen sowohl wiederkehrende Arbeiten als auch Neuentwicklungen. Zu deinen Aufgaben gehört zudem die schriftliche und mündliche Beratung der Stakeholder.Du bist verantwortlich für den Betrieb, die Wartung und die Erweiterung des Data Warehouses (DWH), welches eine 360°-Kundensicht mit internen und teilweise externen Kundendaten enthält. Hierbei gehört auch die Analyse von Daten in den Quellsystemen zur Anbindung an das DWH dazu.In Zukunft bietet sich für dich die Möglichkeit in den Technologien Azure Cloud, Databricks, Power BI, Kafka und Java zu arbeiten. Mit deinem Fachwissen, deinem Engagement und deiner Serviceorientierung lieferst du deinen Stakeholdern tagtäglich individuelle Informationen aus Daten in hoher Qualität aus.Das bringst du mitAbschluss Hochschule oder Fachhochschule in Informatik oder gleichwertige Ausbildung und vorzugsweise drei bis vier Jahre praktische Erfahrung im Bereich Wirtschaftsinformatik oder Data EngineeringPraktische Erfahrung im Umgang mit Datenbanken (Oracle / IBM DB2)Sehr gute Kenntnisse in strukturierter Programmierung (3. / 4. GL-Sprache) sowie SQL und PythonAusgeprägte analytische Fähigkeiten, Selbstständigkeit, teamorientierte Persönlichkeit und zuvorkommende UmgangsformenGrosse Begeisterung für Daten und Analysen und Freude daran, Know-How zu teilenOffenheit, Aufträge für Datenservices auch telefonisch entgegenzunehmenFliessende Deutsch- und gute FranzösischkenntnisseBei uns arbeiten Auf dich wartet der moderne Bereich Daten & Analytik, der die Entwicklung der Datenwertschöpfung für die Mobiliar vorantreibt. Zusammen wirken wir als Schnittstelle zwischen IT und Business und generieren täglich Mehrwert aus Daten.Dein Arbeitspensum ist ab 80% verhandelbar. Flexible Arbeitszeitmodelle und Home Office sind bei uns selbstverständlich. Zu deinen mind. 25 Ferientagen, ermöglichen wir dir den Kauf von bis zu vier zusätzlichen Ferienwochen. Du erhältst von uns ein kostenloses Abonnement für dein Smartphone, ein Halbtax sowie bis zu 25% Rabatt auf unsere Versicherungs- und Vorsorgeprodukte. Profitiere zudem von einem grossen internen Ausbildungsangebot und Vergünstigungen an vielfältigen Events.Neugierig?Bewirb dich rasch und unkompliziert. Wir freuen uns auf dich!Bei Fragen zur Stelle melde dich ungeniert bei Mara (Leiterin Customer und Digital Analytics), Mail: mara.truebner@mobiliar.ch oder bei Fragen zum Bewerbungsprozess bei mir.Wir besetzen diese Stelle ohne Unterstützung von externen Personaldienstleistern.Ihr KontaktNatascha Wolf 0041 31 389 60 24Recruiting / Sourcingnatascha.wolf@mobi.chUnsere ArbeitskulturMit hoher Kompetenz schaffen wir Mehrwert für unsere Kunden. Dank unseren engagierten und kompetenten Mitarbeitenden sind wir erfolgreich und die persönlichste Versicherung der Schweiz.Unser BewerbungsprozessWas passiert wenn ich meine Bewerbung eingereicht habe? Das sind unsere Prozessschritte und der dafür notwendige Zeitaufwand.die MobiliarUnsere AnstellungsbedingungenUnsere engagierten Mitarbeitenden sind der Schlüssel zu unserem Erfolg. Deshalb investieren wir in eine marktgerechte Vergütung, attraktive Arbeitsbedingungen und ein inspirierendes Arbeitsumfeld.Beruf und EntwicklungWir investieren gezielt in die Kompetenzen unserer Mitarbeitenden, treiben die Entwicklung der Versicherungsberufe voran und gelten als Vorbild im Schweizer Arbeitsmarkt.«Mobiliar Jobs»: Der Karriere-Podcast der MobiliarIm Podcast «Mobiliar Jobs« erzählen unsere Mitarbeitenden, was sie in ihrer Arbeit bei der Mobiliar überrascht oder was für sie «typisch Mobiliar« ist. Jetzt reinhören.
      

        Show more

        


        Show less",Mid-Senior level,Full-time,General Business,Insurance
HUG - Hopitaux Universitaires de Genève,"Geneva, Geneva, Switzerland",4 hours ago,,Supply Chain Data Analyst - 80% à 100%,"Description De L'entrepriseAvec plus de 12'000 collaborateurs et collaboratrices représentant 160 métiers, les Hôpitaux Universitaires de Genève sont un établissement de référence au niveau national et international. Pour en savoir plus sur notre institution, prenez quelques minutes pour consulter notre rétrospective 2023 en cliquant ici.Dans le cadre du projet OptiMat (Optimisation des processus d’acquisition, de gestion et de la traçabilité du matériel médical de l’activité opératoire, nous sommes à la recherche d’un Supply Chain Data Analyst pour une mission d'un an. En fonction de l’atteinte des objectifs dans le cadre du projet et des plus-values apportées et potentielles, le poste pourrait devenir pérenne.Description Du PosteDans ce rôle transversal, vous collaborerez avec la direction des blocs opératoires intégrée à la Direction des soins, la logistique du Département d’exploitation, mais aussi la Centrale d’achat, la Direction des finances et la Direction des systèmes d’information. Votre mission consiste à recueillir, formaliser et analyser des données relatives à la chaine d’approvisionnement de l’activité opératoire dans le but d’en optimiser la performance et d’en réduire les coûts. Vous serez l’un des piliers de l’amélioration continue dans la chaine d’approvisionnement de l’activité opératoire.Plus précisément, votre rôle consiste à collecter et analyser des données relatives à la chaine d’approvisionnement de l’activité opératoire.Pour ce faire, vous créez et maintenez des tableaux de bord pour piloter l’efficience de la chaine d’approvisionnement et exprimez les besoins métiers approvisionnements à la DSI.De plus, vous soutenez la démarche de mise en place du suivi de la performance des fournisseurs et animez le processus d’amélioration continue de la chaine d’approvisionnement de l’activité opératoire et des processus connexes (gestion de stock, inventaire).Par ailleurs, vous définissez les bonnes pratiques de gestion des stocks et coordonnez le référencement des articles et suivez la qualité des données en collaboration avec la Centrale d’achatEnfin, vous conduisez ou contribuez à des projets en optimisation d’approvisionnements, en logistique et en automatisation.QualificationsVous êtes titulaire d’un diplôme d’ingénieur, niveau bachelor ou master, en logistique/achat/supply chain idéalement couplé à une formation supérieur diplômante en informatique et plus particulièrement en data management.Vous maitriser les outils de BI (BO, QlikView, Tableaux), des bases de données (type SQL). Vous avez une expertise module achat approvisionnement d’un ERP, idéalement Cegid XRP.Vous disposez d’une expérience de 5 année en supply chain et/ou gestion de données. Une expérience dans le domaine de la santé et/ou de l’ingénierie biomédicale est un atout.Vous faite preuve d’une aisance relationnelle, d’écoute et d’une capacité de synthèse et communication efficace. Vous avez la capacité à vulgariser avec facilité des thématiques complexes.Vous démontrez de fortes compétences organisationnelles et faites preuve d’une grande autonomie.Votre résilience face au stress vous permet de faire face sereinement aux imprévus. En cas de situations exceptionnelles ou lors de périodes d’activité chargée, vous savez vous rendre disponible.Informations supplémentairesEntrée en fonction : dès que possibleNombre de postes : 1Taux d’activité : entre 80% et 100%Classe de fonction : 20Contrat : CDD 12 mois, éventuellement renouvelable, voire transformable en CDIDélai de candidature : 01.03.2024Demande de renseignements : M. Thierry Ernault, chef du service transports, distribution et magasin, tél. 079 553 06 47Votre dossier de candidature doit comporter une lettre démontrant votre motivation, votre curriculum vitae, les copies des diplômes et attestations requis pour le poste et les 2 derniers certificats de travail.Cette annonce s'adresse indistinctement aux femmes et aux hommes.Souhaitant s’engager dans la lutte contre le chômage, les HUG encouragent les candidatures qui proviennent de l’Office cantonal de l’emploi.
      

        Show more

        


        Show less",Not Applicable,Contract,Other,Hospitals and Health Care
AXA,"Winterthur, Zurich, Switzerland",4 days ago,,Marketing Data Analyst:in,"Komm zur AXA, der führenden Versicherung der Schweiz - alsMarketing Data Analyst:in 80-100 %Winterthur / Smart WorkingAls führendes Versicherungsunternehmen setzt AXA Schweiz auf innovative Lösungen und erstklassigen Service. Im Ressort «Customer Experience & Strategy» arbeiten wir täglich daran, das Kundenerlebnis zu verbessern.Willst du bei uns, als proaktive & teamorientierte Persönlichkeit mit einer Hands-on-Mentalität, einen signifikanten Beitrag zur Steigerung der Kundenerfahrung leisten?Mit deiner Fähigkeit, in interdisziplinärer Zusammenarbeit, komplexe Daten & Sachverhalte in klare Einblicke und Handlungsempfehlungen zu übersetzen, bist du bei uns im Team «Marketing Strategy & Insights» genau richtig.Dein BeitragDu bewertest die Wirksamkeit von Vermarktungsstrategien und -kampagnen durch die Messung von Leistungen und der Analyse von KPIs. Du bist Themen-Owner für den AXA Advertising Stack (GMP).Du entwickelst und realisierst Datenanalysen, -modelle und Prognosen als Grundlage von strategischen Marketingentscheidungen. Du hast die Verantwortung für das AdROI-Programm (MMM) und optimierst dieses zusammen mit der AXA-Gruppe; deine «Actionable Insights» steigern dabei die Marketingeffizienz.Du treibst die kontinuierliche Weiterentwicklung des Web-Trackings voran, um den neuesten Standards und Datenschutzanforderungen zu entsprechen.Du stellst die Datenqualität unserer Marketing-Massnahmen für Monitoring und Analyse sicher.Du entwickelst und verwaltest komplexe Dashboards und Tracking-Systeme. Du unterstützt und berätst aktiv Business-Stakeholder & Teams in der Übersetzung von Analysen in kontextuelle Lösungsansätze und datengetriebenen Entscheiden.Deine Fähigkeiten und TalenteMindestens 5 Jahre Erfahrung in Data Analytics im Marketing.Umfassende Kenntnisse in Web-Analyse-Technologien, insbesondere GA4 & Adobe Analytics, weitere Systeme von Vorteil.Erfahrung in der Entwicklung von komplexen Dashboards, Customer Journey Tracking und Sales Funnel-Analysen. Kenntnisse in Tag-Management-Systemen z.B. Google Tag Manager (server- und client-side).Versiert im Umgang mit Google Looker Studio, Google Spreadsheets, MS Excel, MS PowerBI. Erfahrung in der Nutzung von Atlassian Produkte (JIRA, Confluence).Vertieftes Know-how in der Rohdaten-Analyse mit SQL/ BigQuery, Python von Vorteil.Kenntnisse im Google Ad Stack & Marketing Platform (DV360, Campaign Manager, Google Ads) und Data Privacy Know-How im Zusammenhang mit Tracking (Consent Mode, Cookie Consent Management).Fliessend in Deutsch und Englisch, sowohl mündlich als auch schriftlich.Im Bereich Customer Experience & Strategy engagieren wir uns tagtäglich mit viel Herzblut dafür, dass unsere Kundinnen und Kunden genauso begeistert von der AXA sind wie wir selbst. Um dieses Ziel zu erreichen, entwickeln wir unsere Produkte und Strategien ständig weiter. Wir erarbeiten innovative, inspirierende Lösungen – und präsentieren diese einfach und verständlich unseren Kundinnen und Kunden, unseren Mitarbeitenden und unseren Partnern sowie Medienschaffenden.Dein zukünftiger ArbeitsortBewirb dich jetzt!Motivationsschreiben? Darauf verzichten wir. Wir freuen uns stattdessen über deine Antworten auf unsere kurzen Fragen zur Stelle im Online-Bewerbungs-Tool.Hast du Fragen?Bei Fragen rund um diese Stelle ist Bernhard Müller, People Relationship Partner, gerne für dich da, perFür diese Stelle können wir keine Bewerbungen über Personalvermittlungen berücksichtigen.VorteileGesundheitEigenes AXA GesundheitsmanagementMassageangeboteDiverse Sport- EntspannungskurseHealthmanagement SeminareRuheräumeMobilitätErstattung von Halbtax-Abo, GA (anteilig)Vergünstigter Bezug von Reka ChecksRabatte bei Autokauf, -Leasing oder –MieteJob & FamilieMutterschaftsurlaub bis zu 5 Monate bei vollem LohnVaterschaftsurlaub bis zu 6 Wochen bei vollem LohnBetriebliche FamilienzulageFamilienfreundliche MeetingzeitenWeitere VorteileJährlich 5000 Swipoints (Wert CHF 500.-) zum Einsatz auf swibeco.chAXA ShareplanVergünstigte Verpflegung durch Lunchcard oder PersonalrestaurantsRabatte für Shopping, Events, FreizeitangeboteVersicherungRabatt von bis zu 30% auf Produkte der AXAPrivatversicherung bei Berufs- und NichtberufsunfällenFlexibilität und FreiräumeDiverse flexible Arbeitsmodelle (Smart Working und Flexwork)Mindestens 5 Wochen Ferien2 Wochen Feriengeschenk alle 5 JahreFlexibler Ferienkauf von bis zu 10 Tagen3 Tage persönliche LernzeitPensionskasseLeistungen der Pensionskasse und Arbeitgeberbeiträge weit über dem gesetzlichen MinimumFreie Wahl des SparplansFlexibilität bei der PensionierungÜber AXAJede Erfolgsgeschichte beginnt mit dem Glauben an sich selbst.Als AXA sehen wir uns als Partnerin, die an deiner Seite steht und an dich glaubt. Deshalb fordern und fördern wir dich und zeigen dir proaktiv Möglichkeiten für deine Zukunft auf. Wir ermutigen dich und bieten dir Freiräume, damit du die Dinge, die dir wichtig sind, miteinander verbinden kannst. Gemeinsam mit deinem Engagement und deinem individuellen Beitrag wird daraus eine zukunftsweisende Partnerschaft. Für dich, für uns und für unsere Kundinnen und Kunden. Und das nicht nur für den Moment. Sondern auf lange Sicht.Schreibe jetzt mit uns deine eigene Erfolgsgeschichte. Know You Can.Smart WorkingBei der AXA setzen wir auf Vertrauen, Flexibilität und Teamarbeit. Im Zentrum unseres neuen Arbeitsmodells ""Smart Working"" steht dein Beitrag zu den Unternehmenszielen und nicht der Ort, an dem du arbeitest.Darauf sind wir stolzWir möchten unseren Mitarbeitenden ein bestmögliches Arbeitsumfeld bieten. Diese und andere Siegel bestärken uns darin.
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Insurance
lastminute.com,"Chiasso, Ticino, Switzerland",6 days ago,28 applicants,Product Data Analyst - e-commerce,"Company Descriptionlastminute.com is the European Travel Tech leader in Dynamic Holiday Packages. It operates a portfolio of well-known brands such as lastminute.com, Volagratis, Rumbo, weg.de, Bravofly, Jetcost and Hotelscan.Our mission is to lead the travel industry by leveraging technology to simplify, personalise, and enhance our customers’ travel experience. Experts in brightening up online travel, we help our customers find and do ""whatever makes them pink"".We continuously invest in talented people who ensure our offering is closer to the needs of the customers and keep us at the cutting edge of technology evolution. We run our business in 17 languages and 40 countries, with more than 1,500 employees spread across our offices worldwide, developing our own products and services to power the entire traveller journey for millions of people.At the heart of our culture is a commitment to inclusion across race, gender, age, sexual orientation, religion, gender identity or expression and accessibility. We strongly believe in an equal opportunity space, which is welcoming and celebrates the uniqueness of everyone who works here. We value different lived experiences and respect viewpoints, as we know unicity drives innovation. We want to make sure our people reflect the communities across the world we help travel.lastminute.com N.V. is a publicly-traded company listed under the ticker symbol LMN on the SIX Swiss Exchange.Job Descriptionlastminute.com is looking for an ambitious and highly motivated mobile Data Analyst - E - commerce to join the team.The candidate will have the opportunity to become a key member of the team leveraging the analytical skills to produce actionable insights and improve business performance.Specifically, the person will have the chance to work on different optimization processes for our mobile app, interpret app's data and use it to provide recommendations to development team.Additionally, the candidate will have the chance to span across the entire data ecosystem to research, study and highlight untapped business opportunities.Key ResponsibilitiesData extraction, analysis and reporting, in order to drive performance insights and support business decisionsIdentify, analyse, and interpret trends or patterns with the goal of optimising business performanceWorks closely with internal stakeholders in order to identify and prioritise business needs and opportunitiesExplores and proactively propose new business opportunitiesCommunicates and presents results, insights and recommendations to all levels of the company, clearly and conciselyCooperate with other Data Analysts across the company on joint projects, to identify and exploit synergies and to preserve/improve governance on data and on business knowledgeClosely partner with Data Engineers to re-/design, implement and monitoring the quality of new/existing data models and data pipelinesQualificationsAbilities/qualitiesAnalytical and quantitative approachProblem solving and decision making skills and innovative thinkingPassionate about digital world and motivated with a can-do attitudeHigh attention to detail and ability to effectively manage multiple projects at a time, successfully able to meet deadlinesProactivity and strategic approachStrong team player with excellent communication skills with willingness to challenge existing processes and applicationsAdditional InformationBy joining our company, you will have the chance to:Join a dynamic team in an inclusive-international environmentGrow thanks to the career journey and our internal mobility perspectiveManage your own schedule thanks to the flexible start and end of the working dayWork a shorter working week (36h), of which 4 hours on Friday morningGet focus time for learning, development and deep work on Friday morningsWork partially or fully remote according to local lawsBenefit from employee discounts on travelReceive 2 days off per year for the purpose of volunteeringReceive a bonus after 5 and one after 10 years in the companyParticipate in amazing winter and summer corporate eventsBenefit from extended parental or marriage leaveWelfare platform (Corporate Benefits) where you will found dedicated discounts with more than 1500 partners


        Show more

        


        Show less",Mid-Senior level,Full-time,Analyst,"Technology, Information and Internet"
Allianz Suisse,"Wallisellen, Zurich, Switzerland",3 days ago,,Business Data Analyst Einzelleben 80-100% (m/w/d),"Als Business Data Analyst im Einzelleben wirst du einen wichtigen Beitrag beim Aufbau des neuen Team Quality and Steering beitragen. Dabei engagierst du dich für die digitale Transformation, Aufbau neuer Analysen, Unterstützung des Business mit mehr datengetriebenen Insights und Vereinfachung sowie Automatisation von Prozessen in der Abteilung Einzelleben. Du wirst ein wichtiges Bindemitglied zwischen den Bedürfnissen des Business und der IT. Bist du bereit, dich immer wieder neuen Herausforderungen zu stellen, hohe Eigenverantwortung zu übernehmen und eine digitale Transformation anzugehen? Dann ist diese Position bei uns genau richtig - Wir freuen uns auf deine Bewerbung! Das kannst du bewirken  Du wirst in enger Zusammenarbeit mit dem Business und dem Team überarbeiten wie wir das Einzellebengeschäft Steuern  Du fungierst als zentrale Schnittstelle zwischen Stakeholdern und dem IT-Projektteam  Du führst Analysen von Prozesse durch und überarbeitest, verbesserst und automatisierst sie wo möglich  Du wirst einen wichtigen Input geben in die zukünftige Gestaltung und Ausrichtung der Datenlandschaft Einzelleben  Du bist Mitverantwortlich für die Umsetzung der Vision einer Reportinglandschaft Einzelleben  Das bringst du mit  Mehrjährige Berufserfahrung als Business Analyst oder vergleichbare Rolle, idealerweise in einer Versicherungsgesellschaft  Abgeschlossenes Studium in Informatik, Wirtschaftsinformatik oder Wirtschaftswissenschaften  Kenntnisse in Programmier- und Scriptsprachen (SQL, Python etc.) sowie PowerBI  Analytische, selbstständige, pragmatische und dynamische Arbeitsweise  Freude an der Teamarbeit sowie der Kommunikation mit Stakeholdern  Erfahrungen im Controlling und/oder Erstellen von Reports  Stilsicheres Deutsch sowie gute Englischkenntnisse   Darum startest du mit uns  «Let’s care for tomorrow» heisst für uns auch, ein flexibles Arbeitsumfeld zu schaffen, das die Individualität unserer Mitarbeitenden berücksichtigt: Mit 8 Wochen Vater- und 16 Wochen Mutterschaftsurlaub, der Option, 10 zusätzliche Ferientage pro Jahr zu kaufen, Weiterbildungen und weiteren Benefits. Lies hier mehr Allianz Careers .40847 | Strategy | Berufserfahren | Non-Executive | Allianz Schweiz | Vollzeit oder Teilzeit | DauerhaftÜber die AllianzAls eines der grössten Versicherungs- und Finanzunternehmen weltweit liegt uns die Zukunft unserer Mitarbeitenden am Herzen. Gemeinsam schaffen wir ein Umfeld, in dem sich jede und jeder dazu befähigt fühlt, Neues zu entdecken, persönlich wie beruflich zu wachsen und die Zukunft für unsere Kundinnen und Kunden zu gestalten. Unsere Vielfalt macht uns einzigartig und stark. Sie erlaubt uns, innovativ zu sein und Probleme aus verschiedenen Perspektiven zu betrachten. Deshalb setzen wir uns besonders für Chancengleichheit, Diversity und Inklusion ein. Wir freuen uns auf neue Kolleginnen und Kollegen, die unsere Werte leben und offen für neue Herausforderungen sind.    Hast du Fragen zur Stelle?    Yasmin Samadian, Talent Sourcing & Recruiting Manager, Telefon 058 358 75 59, steht dir gerne zur Verfügung.Wir freuen uns über deine Online-Bewerbung mit aussagekräftigen Bewerbungsunterlagen (Lebenslauf, Motivationsschreiben, Arbeitszeugnissen und Diplomen) ausschliesslich über unser Recruiting-Tool.
      

        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,Insurance and Financial Services
Swiss International Air Lines,"Kloten, Zurich, Switzerland",22 hours ago,71 applicants,"Data Analyst OTA (80-90%, all genders)","Are you eager to push data-driven actions together with our OTA Account Managers? Do you want to ensure efficient steering towards target achievement of both revenue and cost? We are looking for an analytical expert with collaborative mindset and strong commercial skills.Starting date: April 01, 2024 or upon agreementYou may apply in English or German.TasksYou are accountable for the steering of the OTA's in terms of volume/revenue and distribution. Expertise in handling data and combining qualitative expert insights with quantitative analysis is key.Investigate and actively steer OTA's based on existing and to-be established KPIs on account, market and customer level(Co-)Lead of a OTA Performance Meeting where you present performance analysisActive steering and forecasting of OTA budgets (LPP, Ancillary & NDC)Proactive, close interaction with relevant stakeholders (mainly OTA Account Managers)Support OTA Account Manager in creating push actions (e.g. O&D steering)BenfitsSubsidized parking or public transportCompany health managementRemote working (e.g. from home)Paid maternity and paternity leaveFlight benefitsFlexible workhours and part-time working modelsDiversity programmesAttractive company pension schemeRequirementsHigher educational degree (Master or equivalent) in business or relevant experienceProfound knowledge of and experience in commercial airline function or similar field (5+ years)Proven track-record in analytical capability as well as fast analysis of potential valueStrongly developed sense of responsibility and high level of commitmentTeam-player with aim for close collaboration & ability to work across functional linesVery good spoken and written English skillsFor any further questions, please contact our Recruiting Services Center at +41 44 564 22 66.CompanyIt’s the little differences that make working at SWISS so appealing. The fact, for example, that we treat every detail with care, see quality in terms of hospitality and view nationality through an international lens. In a similar way, we see variety as richness, a job as an experience and SWISS as a world of inspiration. You, too, will be stimulated in our special working environment – one in which, wherever you are, you’ll always feel: Truly SWISS .... where people matter.ContactMike Netzhammerrecruiting.services@swiss.com


        Show more

        


        Show less",Associate,Part-time,Sales,Airlines and Aviation
