company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
TUYÚ Technology,"Madrid, Community of Madrid, Spain",6 days ago,,Junior Data Engineer,"¿Quieres crecer profesionalmente? ¿Buscas nuevos retos a nivel profesional? ¡Te estamos buscando! En TUYÚ Technology buscamos perfiles Data Engineer / Analyst para importante cliente especializado en el sector de la industria.¿Qué ofrecemos?Trabajar en proyectos de larga duración con una alta carga tecnológica de equipos multidisciplinares que entregan soluciones en mano.Este proyecto ofrece un contrato de modalidad hibrida ( Presencial 1 día en cliente )Contrato indefinido.Requisitos imprescindibles Aportar experiencia como Data Enginer con el siguiente stack tecnologico Experiencia con Snowflake o DBT. Entorno Cloud AWS ( Amazon web service). Modelado con Data Warehouse. Buen nivel de SQL.¿Qué podríamos valorar?Inglés medio.Somos una empresa que tenemos como objetivo integrar a todas las personas. Si tienes un certificado de discapacidad o algún tipo de diversidad funcional cognitiva podemos encontrar un proyecto que se ajuste a tus habilidades.Si cumples con los requisitos y crees que encajas con el perfil que buscamos mándanos tu CV.¡En Tuyú Technology te estamos esperando!SQL, datawarehouse , snowflake , DBT ,AWS
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,IT Services and IT Consulting
OmniAccess,"Palma, Balearic Islands, Spain",1 week ago,,Junior Data Engineer,"DescriptionOmniAccess is a world-leading enterprise in high-end VSAT airtime services and cutting edge onboard IT networks. With a customer-centered philosophy, OmniAccess has thrived from being an innovator in marinenetworks and mobile VSAT communications. As a company, we have grown following our strong principles of truly end-to-end control. We have continued to grow our own IT infrastructure and we are now present in fivecountries, offering global services over 27 different satellite networks.The company relies on the innovation processes of the different teams to turn a sketch on the drawing board into a great product. The scope of expertise is as wide as the depth of their knowledge; ranging from programming code, RF engineering, networking and satellite technologies, AV system designs to cutting-edge Internet technologies. We are not enclosed within any pre-defined solution nor technology; we are always opento technological innovation with the focus on providing added-value to our customers.We are looking for a JR DATA ENGINEER to join our awesome development team and champion a healthy data culture spread all over the company. The candidate will participate in the design, development, and testing of the company’s data warehouse solution, including data replication, distribution, high-availability, and data querying mechanisms – both for customer-facing services and internal tools. Being part of the development team, technology research and innovation will be a fundamental pillar in your activities.The Jr Data Engineer must have strong skills on data warehouse and data lakes components, including large scale data streaming platforms, data modelling structures, raw data processing and querying mechanisms, data access optimization, and/or distributed data storage amongst others. Time series databases are a must within our systems.What You Will DoLead and participate in the design, development, and validation of the technical data warehousing solution for our internal systems – providing expert advice, making architectural considerations and employing best practicesDesign and implement the full data lifecycle, including data flows, and integrations between the different systemsWrite, optimize, and maintain scripts, API calls, and SQL-like queries (or similar querying languages) to gather and process raw data at scaleSpecify, design, and implement tailor-made ORMs, directly integrated into the company software platformPrepare, and maintain the data platform to feed into other systems, and automated reporting tools – generate automated reportsCollaborate with the back-end team, and other departments to meet their data needsWrite both technical and user documentation, and guarantee with the QA that data processes meet the quality standardsMinimum RequirementsWHAT WE REQUIRE FROM YOUExperience in a similar position is a plusExperience in data warehousing platforms and/or data lakesExperience in micro-service based architectures, large-scale distributed systems and data streaming architecturesKnowledge of relational databases (PostgreSQL, MySQL, etc.) and non-relational databases, specifically time-series data bases (InfluxDB, or TimeScaleDB) and documentoriented databasesMaster in the art of writing SQL (or similar querying languages) queries, optimizing data operations’ response times and scalabilityExperience in any of the following programming languages: Python, Go, or Ruby-on-RailsExperience with Cloud-native technologies (docker, Kubernetes, etc.) and knowledge of CloudComputing platforms (AWS, Private Cloud)Self-driven problem solverCapacity and willingness to learn new technologiesTechnology passionate and excellence seeker


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Experfy,"Barcelona, Catalonia, Spain",3 months ago,74 applicants,Data Engineer,"Opportunity DescriptionOur client is looking for a Data Engineer to join our digital data team in the dataarchitecture operation and governance team to build and operationalize datapipelines necessary for the enterprise data and analytics and insights initiatives,following industry standard practices and tools. The bulk of the work would be inbuilding, managing, and optimizing data pipelines and then moving them effectively into production for key data and analytics consumers like business/data analysts, data scientists or any persona that needs curated data for data and analytics use cases across the enterprise. In addition, guarantee compliance with data governance and data security requirements while creating, improving, andoperationalizing these integrated and reusable data pipelines.The data engineer will be the key interface in operationalizing data and analytics on behalf of the business unit(s) and organizational outcomes.Tech SkillsKnowledge of AWSKnowledge of Azure or GCP is a plusOrchestration: AirflowProject management & support: JIRA projects & service desk, Confluence, TeamsExpert in ELT and ETL such as Informatica IICS, Databricks, Delta, Glue, ..Expert in Relational database technologies and concepts:Perform SQL queriesCreate database modelsMaintain and improve queries performanceSnowflake is a plusWorking knowledge of Python and familiar with other scripting languagesGood knowledge of cloud computing Soft SkillsPragmatic and capable of solving complex issues Ability to understand business needsGood communicationPush innovative solutionsService-oriented, flexible & team playerSelf-motivated, take initiativeAttention to detail & technical intuitionExperienceAt least 5 years experiences in a data team as Data EngineerExperience in a healthcare industry is a strong plusPreferred QualificationsBS or MS in Computer ScienceRequirementsResponsibilitiesMust work with business team to understand requirements, and translate them into technical needsGather and organize large and complex data assets, perform relevant analysis Ensure the quality of the data in coordination with Data Analysts and Data Scientists (peer validation)Propose and implement relevant data models for each business casesOptimize data models and workflowsCommunicate results and findings in a structured wayPartner with Product Owner and Data Analysts to prioritize the pipeline implementation planPartner with Data Analysts and Data scientists to design pipelines relevant for business requirementsLeverage existing or create new ""standard pipelines"" within to bring value through business use casesEnsure best practices in data manipulation are enforced end-to-endActively contribute to Data governance community


        Show more

        


        Show less",Mid-Senior level,Contract,Information Technology,"Technology, Information and Internet"
HEMAV,Spain,1 week ago,,Data Engineer,"🌱 At HEMAV we are an AgriTech StartUp founded in 2012 working passionately on Data Science in the agrifood industry with the purpose of generating more food with less environmental impact.🌾🛰️ We use a unique approach, for yield forecasting based on Artificial Intelligence using satellite technology and other data sources (drone, meteo, soil, etc.).Users of our technology leverage their decision-making systems oninformation and knowledge generated on a field-by-field basis, withcustomized per-user models.💚 The HEMAV family is currently composed by a team of around 50 persons with offices in Spain, Brazil, Peru and the USA. We have around 50 regional partners distributed between more than 17 countries in Europe, America and Africa. More than 7.000 users have access to the platform with service in 5 million Hectares.❤️ HEMAV values are:Teamwork: We are a familiy and 'fly and process' together 🫂Passion: We wake up every morning to change the world 💚🌍💧Simplicity: Less is more. Technology should simplifies our lives, not complicates itExcellence: We pursue our best version and learn from our valuesIntegrity: What you see is what we areInnovation: We have a creative attitude against challenges📊 LAYERS, our software, generates key yield forecasting data. In addition, it offers analytics to the agricultural sector with a large direct impact. For example, clients can improve the efficiency intreatments (sowing, fertilization, irrigation, etc.) and generateestimations in yield (tonnes per hectare), as well as quality estimates(e.g. soybeans protein quantity) for different crops. We know thatproducers, the agroindustry itself, or even insurance companies andtraders in the agronomical sector are facing three main challenges, witha large impact in their gross margin: Crop Management Production yield and logistics Economical yield Climate change risk assessment💧 💚 LAYERS helps minimize these risks through a high-quality continuous monitoring and predictions. We want to make LAYERS the core of all the yield-related decisions in the agribusiness value-chain using data and statistics. Our slogan is“Reshaping the future increasing land efficiency”👾 The LAYERS Product Team isthe main area of the company, where 15 persons are distributed in foursquads: Data Engineering, Agronomy-Data Science, BackEnd and UX/UI. Three-four weeks sprints are combined with sprint demos where all the company is updated with the news in the product by all the members of the product team.Some of the things you should consider when joining our team are: Young and friendly environment Flexible work-hours 100% remote work Flexible remuneration system that adapts the salary to your needs Extra holidays🌎🌏🌍LAYERS, is composed of a web-app, mobile-app and API. Our software constitutes the heart of the customer ecosystem where data analysis and prognosis are presented in analytical and insightful web dashboard formats. Thanks to this, our customers can monitor their crops and perform better business decisions in their agro-industrial companies.Tasks🖥️ Position🎯 What is your mission in HEMAV?Main goal of this position is to have a key role in the development of software, models, repositories, and continuously work in improving the Data Infrastructure, models and LAYERS products development. Exchanging information and knowledge with data scientists, agronomists, analysts and other experts in the company to identify, design and implement the most suitable infrastructure and operational tools to our models that will make the change in present and future LAYERS users.This mission is deeply linked with the design, technology and thus, the team involved in the application of software development, spatio-temporal statistics, agronomical knowledge and AI in Layers’ solution. Statistics, maths, geographical information, software development, computer vision and other disciplines converge in the work of the whole team.Global improvements in the robustness and scalability of LAYERS will as well be part of the tasks this person will face.✍🏽 TasksSpecifically, this person will: Lead the design, planning and implementation of the Data-related developments so LAYERS can increase the value added to our clients, the scalability, and the robustness of the system. Produce, evolve and maintain the toolset and functional processes in the framework of the data handling and modeling, following the coding standards and methodologies established. Technical support to clients facing defects detected internally or reported by clients. General continuous improvement of LAYERS Punctual support to stakeholders in business and operations.⚙️ Responsibilities and functions: Work on tasks related to LAYERS core development and Data Engineering, together with other experts on different fields and technologies, to develop and deploy tools and techniques that allow HEMAV to extract the maximum value for the users. Join agile liturgies such as user stories refinement, sprint planning, daily meetings, product reviews and retrospectives. Contact point with internal stakeholders in punctual cases related with developments carried out.🏅 How will this role be evaluated? Team goals following OKR philosophy established with the Team Lead and Product Owner Company goals📍 Location: +- 3h from BCN (Spain) time zone We are very happy with asynchronous work, however we belief in teamwork and peer programming. Anyway, if you are in the BCN area you will always be welcomed at the office :-).Requirements🏅 Technical SkillsProfessional software development in Data environment – 4 years -Experience in MLOpsCloud technologies (AWS). Specially AWS Glue, Athena, S3 and step-functionsTerraform (Infra as Code)PythonGitDockerGraphQL/ PostgreSQLnoSQL (DynamoDB)Nice to have: MLFlow, DVC GoogleCloud/Azure, Serverless, Kubernetes DevOps mindset, CI/CD Unit testing, TDD GIS technologies Remote Sensing Earth Observation – Spatio-temporal data Time Series💚Soft Skill Team player Agile methodologies: comfortable working with user stories, and liturgies. Result-oriented Quality-oriented Autonomous Benchmarking of new techniques and technologies related to the position Challenge loverBenefitsSome of the things you should consider when joining our team are: Young and friendly environment Flexible work-hours 100% remote work Flexible remuneration system that adapts the salary to your needs Extra holidaysOur hiring process has been refined along the time and includes the following steps: Conversation with Product Owner to present the company and the position. Tech-Talk with the team. Basic exercise. Onboarding.Join HEMAV Technology, a dynamic company with a talented team. As a Data Engineer, you'll have the opportunity to shape innovative solutions and make an impact. Apply now!
      

        Show more

        


        Show less",Mid-Senior level,Contract,Information Technology,Farming
Align Technology,"Madrid, Community of Madrid, Spain",1 week ago,,Data Engineer,"Join a team that is changing millions of lives.Transforming smiles, changing livesAt Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.Ready to join us? In this role, you will…Deliver expert Data & Analytics support to drive business strategy and execution across the whole Americas/EMEA organization to meet patients and customers needs.Responsible for designing, developing, and maintaining the infrastructure, tools, and frameworks needed to facilitate the collection, analysis, and visualization of data. To collaborate closely with cross-functional teams to understand their data requirements and create solutions that enable them to extract actionable insights.Maintain and monitor D&As team pipeline in Power BI. Change management, Data refresh, Power BI service configuration (when applies) and maintenance, Semantic models, Dataflows.Assemble data sets that meet business requirements and data engineering best practices i.e.: Performance, Formatting, Naming Conventions, DAX expressions, etc.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, refresh orchestration, re-designing infrastructure for greater scalability, etc. i.e.: Automation tools (PowerShell, API, Azure DevOps, MS Power Automate, Python, etc.)Power BI Semantic Model creation, optimization and maintenance, by using tools including but not limited to: SQL, Power BI Desktop, Tabular Editor, Dax Studio, Bravo, Azure Data Studio, Python, etc. (at least 3).Broaden scope geographically, becoming manager for the teamIn this role, you’ll need …Bachelor’s or Masters’ degree in Computer Science, Information Systems, or related field.Proficiency in SQL and database technologies (e.g., MySQL, PostgreSQL, SQL Server).Experience with ETL processes, data modeling, and data warehousing concepts.3+ years of experience in a BI EngineerProficiency in BI tools such as Tableau, Power BI, or similar platforms.Programming skills (Python, R, etc.) for data manipulation and automation.Excellent communication skills to collaborate with diverse teams and convey complex technical information clearly.Strong analytical and problem-solving skills with the ability to work with complex datasets.Sound like a good fit? Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network. About Align Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials. By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work. We respect your privacy. Please review our Applicant Privacy Policies for additional information. Global Diversity StatementAt Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time.Equal Opportunity StatementIt is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Medical Equipment Manufacturing, and Hospitals and Health Care"
Profile Software Services,Greater Madrid Metropolitan Area,3 days ago,86 applicants,Junior Data Engineer Spark (Híbrido),"¿Buscando nuevos retos? ¿Quieres formar parte de nuestro equipo? 🚀Desde Profile nos encontramos en búsqueda de un perfil Junior de Data Engineer con Spark para unirse a nuestro equipo y colaborar en un proyecto que tenemos para uno de nuestros clientes más importantes del sector.Con ilusión es como se cambian las cosas, y queremos contribuir a un futuro mejor gracias a la tecnología. Para conseguirlo no necesitamos héroes ni súper talentos, sino personas implicadas, motivadas, con muchas ganas de trabajar en equipo y de crecer dentro de este proyecto común que formamos todos/as.¿Qué esperamos de ti?🔎Mínimo 2 años de experiencia previa trabajando con Spark.Conocimientos en Scala y Python.Lenguaje SQL para consultar bases de datos (Impala).Herramientas del entorno de desarrollo: Visual Studio Code, repositorio de código fuente SVN, integración continua con Jenkins, planificación con Control-M.Tareas principalesRealización de pruebas y documentación de todo el proceso.Control de versiones de los componentes, peticiones y soporte a subidas entre entornos.Monitorización de los procesos en producción y resolución de incidencias asociadas.Comprender los requisitos de negocio, elaborar especificaciones, análisis y comprensión de la información y datos disponibles y desarrollar los algoritmos basados en cruces de datos y tratamientos de datos.Te damos buenas razones para unirte a nuestro equipo 🤼Modelo Híbrido, 2 días a la semana (Madrid). 📍 Ubicación: (c/ Santa Maria Magdalena , 16 (Metro Pío XII)Garantizamos el equilibrio trabajo-vida. Disponemos de flexibilidad horaria, jornada intensiva los viernes y meses de verano y mejoramos tus vacaciones por cada año que pases con nosotros/as.Tendrás acceso a formación continua y planes de carrera personalizados. También, fomentamos tu aprendizaje continuo con formaciones internas y ayudas para certificarte.Disponemos de retribución flexible. Puedes optimizar fiscalmente tu salario a través de cheques gourmet, seguro médico privado, tarjeta transporte, cheques guardería, formación, etc. Podrás beneficiarte de tantas ventajas como elijas y adaptarlas a tus necesidades.Te daremos la mejor acogida con un proceso de onboarding en el que te sentirás como en casa desde el minuto uno y también recibirás tu welcome pack.Reconocemos la aportación, implicación y compromiso de todos aquellos que ayudamos a crear un entorno de trabajo más agradable y profesional a través de nuestra plataforma de gamificación.Celebramos tu cumpleaños regalándote un cheque regalo de Amazon y te acompañamos en los momentos más especiales de tu vida con muchas otras sorpresas.Fomentamos un ambiente de trabajo en el que todos/as seamos felices. Nuestro equipo multidisciplinar de People & Culture trabaja día a día para aumentar el bienestar y la motivación de todas las personas que componemos Profile.Trabajamos para que todos/as tengamos las mismas oportunidades, combatir discriminaciones y fomentar la conciliación de la vida personal, familiar y laboral.¡Conócenos!💛Si tienes ganas de crecer y trabajar en un buen ambiente de trabajo, de manera cómoda y productiva, y ¿por qué no?, divertida. Te ofrecemos un gran número de ventajas para facilitarte esta decisión. Contáctanos y ¡te lo contamos!Conócenos más sobre Profile en nuestra web www.profile.es


        Show more

        


        Show less",Associate,Full-time,Information Technology,IT Services and IT Consulting
Ryanair - Europe's Favourite Airline,"Madrid, Community of Madrid, Spain",3 weeks ago,83 applicants,Data Engineer,"Ryanair Labs - Ryanair's Technology HubRyanair Labs is the technology brand of Ryanair. Labs is a state of-the-art digital & IT innovation hub creating Europe's Leading Travel Experience for our customers. The Ryanair platform has over 1 billion visits per year. By joining Ryanair, you will develop cutting edge tech solutions inside Ryanair, transforming aviation for Pilots, Cabin Crew & Ground Ops, as well as driving the tech experience for our customers on Europe's largest travel website!Ryanair Labs has more than 550 employees across our offices in Dublin, Madrid, Poland, and Portugal. Our plan is to continue to grow our IT Labs Team so we are always on the lookout for the best talent. Apply today for more information.The RoleWe are looking for a Data Engineer with experience in Microsoft BI stack to work in a multi-disciplined team, working alongside Designers and Product Owners, who will own their work from the initial idea to the final implementation.The role will allow for opportunities to work in a variety of areas such as marketing, logistics, predictive maintenance and anything else that you may think of, or that will come your way.RequirementsExperience Required:Strong SQL skillsCloud experience, preferably in MS Azure (Storage, Data Factory, Functions, Synapse, SQL Managed Instance, DevOps, Pipelines)Experience with Spark and Databricks platformKnowledge of data modelling & data warehousingExperience in designing ETL's with a variety of data sources (other DB engines, data lakes, API, json, etc.)Practical knowledge of Microsoft BI stack: SSIS,SSRS, Power BIValuable: knowledge in programming languages such as Python. A primary degree in Computer Science/Mathematics or equivalentProven problem solver - the ability to come up with unique solutions to unique problemsMinimum 5-6 years of relevant work experienceWorking with ticketsExcellent written and verbal communication skillsStrong ability to multi-task / balance conflicting priorities and work to tight deadlinesFluent EnglishBenefitsTop class squad: In your day to day you will work closely with top talentWe promote innovation, all our teams are Agile and several PoCs of new technologies or innovative ideas are launched every weekA competitive but flexible technical career planWe believe in an hybrid working model, you can work up to three days per week remote, but you are also going to enjoy the excellent work environment at our modern offices in the heart of MadridWe offer a relocation package to people who are coming from another countryTravel discounts (of course!)


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Between Technology,"Sant Cugat del Vallès, Catalonia, Spain",4 months ago,171 applicants,Data Engineer - SQL  (Remote),"¿Te interesa trabajar en I+D dentro de un entorno internacional?En BETWEEN apostamos por ofrecerte las mejores oportunidades dentro del área tecnológica. Contamos con un equipo de más de 800 profesionales. Ser parte de nuestro equipo significa formar parte de una comunidad multicultural, con acceso a oportunidades de crecimiento y desarrollo profesional, generando impacto.Si quieres desarrollar tus capacidades en un entorno internacional, apostando por trabajar en soluciones de I+D tanto en Ingeniería como en IT, ¡este es tu próximo destino!Damos soporte en una gran variedad de áreas como Operaciones, Desarrollo de producto, Compras, Firmware, Software, Business Intelligence, Gestión, Transformación digital, ¡y muchas más! Además, desarrollamos soluciones tecnológicas a medida desde nuestros Hubs Tecnológicos.La persona seleccionada desarrollará el back end de las bases de datos para un equipo de Bussiness Inteligence, estableciendo las bases de datos y su configuración.¿Qué haré? Estas serán tus funciones principales:Integrarás datos de diferentes bases de datos medianto SSIS.Crearás bases de datos y usarás diferentes servidores para obtener información.Participarás en el modelado y la calidad de los datos.Realizarás ETLs en las bases de datos.¿Cómo lo haré? Tendrás horario flexibleTe integrarás en un equipo de alto rendimiento y con un alto grado de especialización.Podrás trabajar en modelo híbrido.Tendrás un PC y los periféricos necesarios para el desarrollo de tu trabajo.Podrás trabajar desde casa de cliente, nuestras oficinas de Barcelona en el 22@, los Hubs Tecnológicos o en el resto de las oficinas.Trabajarás en un entorno internacional.Si eres BETWEENER obtendrás estos beneficios:Seguro médico con Sanitas.Dispondrás de oportunidades de formación y desarrollo profesional: Idiomas, cursos en Udemy, Certificaciones, Programa The Power Business School y Bootcamps especializados (Agile, DevOps, IA & Big Data, Ciberseguridad, etc.).Contarás con un equipo de Talento que te acompañará durante toda tu experiencia con nosotros. ¡Haremos un café una vez al mes! Así, mantendremos el contacto.Pondremos a tu disposición un amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales.Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible (Ticket restaurant, Ticket transporte, Ticket guardería).Descuentos para acceder a centros de Fitness con Gympass.Acceso a nuestro Club de Descuentos: Inspiring Benefits.En BETWEEN nos gusta mucho hacer networking, por lo que te invitaremos a participar en todos estos eventos ¡y más!: las BETWEEN Nights, torneos deportivos, Black Mamba Race, viernes de vermut, juegos de mesa, etc.Podrás disfrutar de nuestras fantásticas oficinas del 22@ las cuales disponen de Rooftop, tirador de cerveza, mesa de ping-pong y futbolín.Programa de recomendación remunerado de Talento.En BETWEEN, la igualdad de oportunidades es uno de nuestros valores. Nuestro compromiso es contratar al mejor talento independientemente de su raza, religión, sexo, edad y personas con otras capacidades y promover su desarrollo profesional y personal.Requisitos:Mínimo 4 años de experiencia en ingeniería de datos.Experiencia en SQL.Experiencia en SQL Server y Python.Experiencia en DataBricks y Microsoft Azure.Se valora muy positivamente el poder asistir presencialmente una vez al mes.Inglés avanzado.


        Show more

        


        Show less",Not Applicable,Full-time,Research,Industrial Machinery Manufacturing
Boycor ,Greater Madrid Metropolitan Area,8 hours ago,,Data Engineer,"¿Eres Data Engineer podría interesarte un cambio profesional para liderar equipos? Desde Boycor buscamos un Ingeniero de Datos para trabajar de la mano de una de las principales multinacionales españolas del sector, en un proyecto de compañía bancaria en plena expansión internacional y transformación tecnológica. ¡Queremos conocerte! Como Data Engineer, te incorporarás a un equipo dedicado a la innovación en el desarrollo de productos core bancarios orientados a Big Data, utilizando tecnologías modernas en un entorno dinámico y ágil. Colaborarás con Científicos y Analistas de Datos para ofrecer nuevos enfoques que promuevan la transformación digital de la compañía. ¿Cómo será tu DÍA A DÍA?Liderazgo de un equipo de desarrolladores BigData: gestión del equipo y proyectos, facilitando la integración de todos los procesos.Desarrollo de ETLs con Python y Pyspark en entorno big data, integrando y gestionando grandes volúmenes de datos.Creación y optimización de data pipelines.Procesamiento de clústeres con herramientas cloud como Azure Databricks.Desarrollo de Azure Functions (serverless computing).Integración continua y despliegue continuo con herramientas como Git, Jenkins, Jira y Splunk.Uso de diferentes estructuras de bases de datos SQL. ¿Cuál es la CLAVE de este puesto? Tener experiencia y/o conocimientos en:Pyspark.SQL.Valorable Databricks y Azure Functions¿Qué te podemos OFRECER?Contrato indefinido para proyecto estable.Modalidad de trabajo: híbrida.Ubicación: MadridHorario flexible: L-J 09:00-18:30, V 09:00-15:00, jornada intensiva en verano. Condiciones económicas: 42.000-52.000 euros brutos/año. (Cifra orientativa abierta a negociación). ¿Te sientes identificado/a? ¡No dudes en inscribirte!


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,Banking
GRUPO NS,"Madrid, Community of Madrid, Spain",4 days ago,,Data Engineer-Big Data. Teletrabajo,"Desde Grupo NS precisimas incorporar un Data Engineer con experiencia en Big Data para un proyecto de larga duración en modalidad de teletrabajo.Entorno TecnológicoSpark,PythonScala.SQL,Shell scripting.Debe tener conocimientos de Java.Se trabaja con AWS.Valorable conocimientos de Jenkins, Git Scrum, JIRARequisitos mínimosExperiencia como Data Engineer en Spark, python, Scala...
      

        Show more

        


        Show less",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting
