company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Experfy,"Barcelona, Catalonia, Spain",3 months ago,74 applicants,Data Engineer,"Opportunity DescriptionOur client is looking for a Data Engineer to join our digital data team in the dataarchitecture operation and governance team to build and operationalize datapipelines necessary for the enterprise data and analytics and insights initiatives,following industry standard practices and tools. The bulk of the work would be inbuilding, managing, and optimizing data pipelines and then moving them effectively into production for key data and analytics consumers like business/data analysts, data scientists or any persona that needs curated data for data and analytics use cases across the enterprise. In addition, guarantee compliance with data governance and data security requirements while creating, improving, andoperationalizing these integrated and reusable data pipelines.The data engineer will be the key interface in operationalizing data and analytics on behalf of the business unit(s) and organizational outcomes.Tech SkillsKnowledge of AWSKnowledge of Azure or GCP is a plusOrchestration: AirflowProject management & support: JIRA projects & service desk, Confluence, TeamsExpert in ELT and ETL such as Informatica IICS, Databricks, Delta, Glue, ..Expert in Relational database technologies and concepts:Perform SQL queriesCreate database modelsMaintain and improve queries performanceSnowflake is a plusWorking knowledge of Python and familiar with other scripting languagesGood knowledge of cloud computing Soft SkillsPragmatic and capable of solving complex issues Ability to understand business needsGood communicationPush innovative solutionsService-oriented, flexible & team playerSelf-motivated, take initiativeAttention to detail & technical intuitionExperienceAt least 5 years experiences in a data team as Data EngineerExperience in a healthcare industry is a strong plusPreferred QualificationsBS or MS in Computer ScienceRequirementsResponsibilitiesMust work with business team to understand requirements, and translate them into technical needsGather and organize large and complex data assets, perform relevant analysis Ensure the quality of the data in coordination with Data Analysts and Data Scientists (peer validation)Propose and implement relevant data models for each business casesOptimize data models and workflowsCommunicate results and findings in a structured wayPartner with Product Owner and Data Analysts to prioritize the pipeline implementation planPartner with Data Analysts and Data scientists to design pipelines relevant for business requirementsLeverage existing or create new ""standard pipelines"" within to bring value through business use casesEnsure best practices in data manipulation are enforced end-to-endActively contribute to Data governance community


        Show more

        


        Show less",Mid-Senior level,Contract,Information Technology,"Technology, Information and Internet"
Lever Middleware Test Company 2,"Barcelona, Catalonia, Spain",1 month ago,,Data Engineer,"We are currently looking for an experienced software engineer to join our team of data engineers in Oslo. As a member of the Pulse Data team, you will join our journey as we discover how to build state of the art data processing solutions for Schibsted, with emphasis on both volume, velocity and privacy. The event data we collect from all Schibsted sites around the world is essential to our business – including feeding customized newsrooms with low-latency (“realtime”) updates, visitor insights analysis and targeted advertisement. We are solving exiting problems at scale, from gathering up to 900 million events per day worldwide while keeping users privacy and data security in mind.You will be part of developing a modern data processing pipeline at scale for Schibsted sites around the world, for a variety of purposes, such as classification, insights and understanding and modelling user behavior. As part of the global Schibsted organization you will also have the opportunity to learn from and share knowledge with data scientists and engineers across Schibsted. We encourage a diverse, collaborative and creative work environment, where you will develop and push for the state-of-the-art in big data processing at the same time as building reliable and highly scalable services.ResponsibilitiesEngineer and implement highly scalable systems and data pipelines for the Schibsted Data Platform, both for real-time and batch processing.Enable teams and local sites across the Schibsted organization to develop data-driven products and services through cross-team initiatives and collaboration.Design and implement best-in-class privacy compliant storage and access to personal data.Help define our development environment, and communicate the best development practices within the organization (i.e. code reviews, testing, etc). Participate in continuous improvement of the quality of our systems by establishing performance baselines and metrics and SLAs based on theseREQUIREMENTSAt least Bachelor’s degree in Computer Science, Informatics, Applied Mathematics, Statistics or any quantitative field.Knowledge and and hands on experience with some of the state of the art big data technologies, s.a. Kafka, Spark, Hadoop, Storm, Cassandra. We would like to contribute back, and the ideal candidate have contributed to one or some of these technologies and/or have an interest in continuing doing so.Programming languages such Scala, Java, Python but also shell scripting.Knowledge and hands on experience of developing services and application on cloud solutions such as AWS, Azure, Kubernetes or similarFamiliarity of ETL-processes and how analysts work when extracting and wrangling data from a variety of sources, e.g. csv, SQL, json, services etc.Interest in having a broad impact in our organisation by keeping cross-team dependencies and relationships in mind while engineering solutions.Familiarity with devops, concurrent/multi-threaded programming, or distributed systems are all advantageous.Experience with Spark, Kafka, Cloudformation etc and familiarity is a plus.Graduates with a keen interest in one or more of these topics will also be considered.We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.
      

        Show more

        


        Show less",Entry levele,Full-time,Information Technology,"Technology, Information and Internet"
Between Technology,"Sant Cugat del Vallès, Catalonia, Spain",4 months ago,170 applicants,Data Engineer - SQL  (Remote),"¿Te interesa trabajar en I+D dentro de un entorno internacional?En BETWEEN apostamos por ofrecerte las mejores oportunidades dentro del área tecnológica. Contamos con un equipo de más de 800 profesionales. Ser parte de nuestro equipo significa formar parte de una comunidad multicultural, con acceso a oportunidades de crecimiento y desarrollo profesional, generando impacto.Si quieres desarrollar tus capacidades en un entorno internacional, apostando por trabajar en soluciones de I+D tanto en Ingeniería como en IT, ¡este es tu próximo destino!Damos soporte en una gran variedad de áreas como Operaciones, Desarrollo de producto, Compras, Firmware, Software, Business Intelligence, Gestión, Transformación digital, ¡y muchas más! Además, desarrollamos soluciones tecnológicas a medida desde nuestros Hubs Tecnológicos.La persona seleccionada desarrollará el back end de las bases de datos para un equipo de Bussiness Inteligence, estableciendo las bases de datos y su configuración.¿Qué haré? Estas serán tus funciones principales:Integrarás datos de diferentes bases de datos medianto SSIS.Crearás bases de datos y usarás diferentes servidores para obtener información.Participarás en el modelado y la calidad de los datos.Realizarás ETLs en las bases de datos.¿Cómo lo haré? Tendrás horario flexibleTe integrarás en un equipo de alto rendimiento y con un alto grado de especialización.Podrás trabajar en modelo híbrido.Tendrás un PC y los periféricos necesarios para el desarrollo de tu trabajo.Podrás trabajar desde casa de cliente, nuestras oficinas de Barcelona en el 22@, los Hubs Tecnológicos o en el resto de las oficinas.Trabajarás en un entorno internacional.Si eres BETWEENER obtendrás estos beneficios:Seguro médico con Sanitas.Dispondrás de oportunidades de formación y desarrollo profesional: Idiomas, cursos en Udemy, Certificaciones, Programa The Power Business School y Bootcamps especializados (Agile, DevOps, IA & Big Data, Ciberseguridad, etc.).Contarás con un equipo de Talento que te acompañará durante toda tu experiencia con nosotros. ¡Haremos un café una vez al mes! Así, mantendremos el contacto.Pondremos a tu disposición un amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales.Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible (Ticket restaurant, Ticket transporte, Ticket guardería).Descuentos para acceder a centros de Fitness con Gympass.Acceso a nuestro Club de Descuentos: Inspiring Benefits.En BETWEEN nos gusta mucho hacer networking, por lo que te invitaremos a participar en todos estos eventos ¡y más!: las BETWEEN Nights, torneos deportivos, Black Mamba Race, viernes de vermut, juegos de mesa, etc.Podrás disfrutar de nuestras fantásticas oficinas del 22@ las cuales disponen de Rooftop, tirador de cerveza, mesa de ping-pong y futbolín.Programa de recomendación remunerado de Talento.En BETWEEN, la igualdad de oportunidades es uno de nuestros valores. Nuestro compromiso es contratar al mejor talento independientemente de su raza, religión, sexo, edad y personas con otras capacidades y promover su desarrollo profesional y personal.Requisitos:Mínimo 4 años de experiencia en ingeniería de datos.Experiencia en SQL.Experiencia en SQL Server y Python.Experiencia en DataBricks y Microsoft Azure.Se valora muy positivamente el poder asistir presencialmente una vez al mes.Inglés avanzado.


        Show more

        


        Show less",Not Applicable,Full-time,Research,Industrial Machinery Manufacturing
Allianz España,"Barcelona, Catalonia, Spain",2 weeks ago,,Data Engineer,"¿Te apasiona el poder de los datos para impulsar la excelencia?Si eres un apasionado/a Data Engineer con visión de futuro, esta es tu oportunidad. Únete a nosotros y sé el arquitecto/o de la innovación en nuestra compañía de seguros. Estamos en busca de mentes creativas y habilidades técnicas excepcionales para liderar la revolución de datos que define el futuro de la protección financiera. ¡Convierte tus habilidades en impacto y forma parte de un equipo que transforma la manera en que entendemos y aseguramos el mañana!¿Qué es lo que harás en Allianz?Diseñar, implementar y mantener pipelines de datos para proyectos de process mining.Realizar análisis y extracción de datos de diversas fuentes para su posterior procesamiento.Desarrollar y mantener modelos de datos que cumplan con los requisitos de los proyectos de process mining, traduciendo los requisitos funcionales en soluciones técnicasOptimizar y mejorar el rendimiento de los procesos de extracción, transformación y carga de datos.Investigar y evaluar nuevas tecnologías y herramientas para mejorar la eficiencia y la calidad de los procesos de data engineering. ¿Qué necesita Allianz de ti? Título universitario en Ciencias de la Computación, Ingeniería de Sistemas o una disciplina relacionada.  Nivel alto de inglés, mínimo B2.  Deseable la experiencia previa en proyectos de process mining o minería de procesos y en herramientas como Celonis.  Conocimiento sólido de técnicas y herramientas de extracción, transformación y carga de datos.  Experiencia en el diseño y desarrollo de pipelines de datos utilizando tecnologías como Apache Kafka, Apache Spark, o similares.  Conocimientos avanzados de SQL y bases de datos relacionales, así como en modelización de datos.  Deseable la familiaridad con entornos de Azure, incluyendo Azure Data Factory, Azure Synapse y Azure Blob Storage.  Conocimientos de inteligencia de negocio y familiaridad con herramientas como Power BI o Tableau.  Capacidad para trabajar en equipo y comunicarse efectivamente con diferentes áreas, incluyendo el equipo de inteligencia de negocio y el equipo de desarrollo. ¿Qué te ofrece Allianz? Un modelo de trabajo híbrido; Oficinas que se adaptan a tus necesidades, con modelo smartworking y espacios colaborativos; Horarios flexibles para que tengas una buena conciliación entre tu vida personal y laboral; Formación específica en tu ámbito de actuación y programa You Learn We Pay; Múltiples descuentos de empleado/a;Compensación económica para los gastos de comida y teletrabajo; Precios especiales en la contratación de productos de seguros para ti y los tuyos; Muchos beneficios más... ¿Sabías que tenemos beneficios adicionales para empleados con discapacidad y/o que tengan algún familiar directo con alguna discapacidad? Sólo debes mostrar tu certificado y ya podrás acceder a los mismos (por sólo mostrar tu certificado tendrás una bonificación en tu primera nómina de 1.500€).39225 | Data & Analytics | Profesional / Senior | Non-Executive | Allianz Spain | Jornada completa | IndefinidoEl Grupo Allianz es una de las compañías asesguradoras y de gestión de activos de mayor confianza en el mundo. Cuidar a nuestros empleados, sus ambiciones, sueños y desafíos, es lo que nos convierte en un empleador único. Juntos podemos construir un entorno en el que todos se sientan empoderados y con la confianza para explorar, crecer y dar forma a un futuro mejor para nuestros clientes y el mundo que nos rodea.En Allianz creemos en una plantilla diversa e inclusiva y estamos orgullosos de ser un empleador que ofrece igualdad de oportunidades. Te animamos a dar lo mejor de ti en el trabajo, sin importar de dónde eres, tu aspecto, a quién amas o en qué crees.Por lo tanto, consideramos solicitudes de empleo independientemente de su origen étnico o cultural, edad, género, nacionalidad, religión, capacidad diferente u orientación sexual.Únete a nosotros. Let´s care for tomorrow.Nota: La diversidad de mentes es una parte integral de la cultura empresarial de Allianz. Una forma de lograr equipos diversos es a través de la rotación regular de los empleados Executive de Allianz entre funciones, entidades de Allianz y geografías . Por lo tanto, la compañía espera de sus empleados una apertura general y una alta motivación para cambiar de puesto con regularidad y recopilar experiencias en todo el Grupo Allianz "".
      

        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,Insurance and Financial Services
Methinks AI,"Barcelona, Catalonia, Spain",2 weeks ago,,Data Engineer,"You're one step closer to being part of the team. Methinks vision is to provide universal and timely diagnosis for life-saving treatments worldwide. Our first focus is on stroke, the second cause of death and a major cause of disability in the world. Our product is an artificial intelligence medical imaging software capable of performing stroke triage and unlock stroke treatments potential from non-contrast CTs.Methinks is a VC backed digital health start-up that recently won the prestigious EIC Accelerator of the European Commission and has obtained two gold medals in the RSNA Kaggle competitions. The recent funding of the company will allow us to grow rapidly and we are looking for exceptional and passionate individuals to help us face these challenges and build together a unique company.Join our innovative startup as a Data Engineer and play a vital role in shaping our data operations. As a Data Engineer, you'll be responsible for building and optimizing data pipelines and gaining expertise in all aspects of our data processes. Your contributions will directly impact our data-driven decision-making and growth trajectory. If you're seeking a role with the potential to become a key player in our startup's data strategy, this opportunity is for you.We proudly pursue a diverse workforce and we do not make any hiring or employment decisions that could be discriminatory in any way. We have implemented a gender balance and diversity policy.Duties and Responsibilities Collaborate with the Tech and R&D teams to design, develop, and maintain data pipelines. Execution of data pipelines to select, process and store clinical data received from installations and clinical studies. Data analysis and reporting. Assist in optimizing data infrastructure for performance and scalability. Support data integration and ETL processes. Real time monitoring of stats to proactively detect problems. Contribute to data documentation and best practices. Skills and Qualifications Bachelor's degree in Computer Science, Engineering, or a related field. Strong analytical and problem-solving skills. Experience working with unstructured data of different types: images, text, tabular, video. Experience with SQL and data modeling concepts. Willingness to learn and get involved in ETL processes and data warehousing. Experience in these fields is a plus. Expertise in Python. Keen eye for details, willingness and curiosity to dive deep in medical data and its clinical implications. Excellent communication and teamwork skills. Eagerness to learn and adapt in a fast-paced environment. What can we offer Opportunity to manage and drive the clinical strategy of an award winning Digital Health Start-Up. Be part of a solid experienced team, passionate about their work and capable to bring cutting-edge technology to market. Chance to grow alongside extraordinary individuals at the company growth pace. Combine remote work with working together in our great offices in front of the Port Vell, at Pier01 Barcelona Tech City. Competitive compensation package. NameEmail AddressPhone Number Other Websites Attach your CVUpload File Max file size 10MB. Additional Information Add a cover letter or anything you want to share with us! Upload File Max file size 10MB. Controller / METHINKS SOFTWARE S.L. (METHINKS)Purpose / Get back to the userLegal Bases / Express consentStorage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligationsRights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ****** Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy Policy Where to find us Controller / METHINKS SOFTWARE S.L. (METHINKS)Purpose / Subscribing to the Newsletter.Legal Bases / Express consent.Storage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligations.Rights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ******. Additional Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy Policy. #J-18808-Ljbffr


        Show more

        


        Show less",Entry level,Full-time,Information Technology,Law Practice
Methinks AI,"Barcelona, Catalonia, Spain",2 weeks ago,,Data Engineer,"You're one step closer to being part of the team.Methinks vision is to provide universal and timely diagnosis for life-saving treatments worldwide. Our first focus is on stroke, the second cause of death and a major cause of disability in the world. Our product is an artificial intelligence medical imaging software capable of performing stroke triage and unlock stroke treatments potential from non-contrast CTs.Methinks is a VC backed digital health start-up that recently won the prestigious EIC Accelerator of the European Commission and has obtained two gold medals in the RSNA Kaggle competitions. The recent funding of the company will allow us to grow rapidly and we are looking for exceptional and passionate individuals to help us face these challenges and build together a unique company.Join our innovative startup as a Data Engineer and play a vital role in shaping our data operations. As a Data Engineer, you'll be responsible for building and optimizing data pipelines and gaining expertise in all aspects of our data processes. Your contributions will directly impact our data-driven decision-making and growth trajectory. If you're seeking a role with the potential to become a key player in our startup's data strategy, this opportunity is for you.We proudly pursue a diverse workforce and we do not make any hiring or employment decisions that could be discriminatory in any way. We have implemented a gender balance and diversity policy.Duties and ResponsibilitiesCollaborate with the Tech and R&D teams to design, develop, and maintain data pipelines.Execution of data pipelines to select, process and store clinical data received from installations and clinical studies.Data analysis and reporting.Assist in optimizing data infrastructure for performance and scalability.Support data integration and ETL processes.Real time monitoring of stats to proactively detect problems.Contribute to data documentation and best practices.Skills And QualificationsBachelor's degree in Computer Science, Engineering, or a related field.Strong analytical and problem-solving skills.Experience working with unstructured data of different types: images, text, tabular, video.Experience with SQL and data modeling concepts.Willingness to learn and get involved in ETL processes and data warehousing. Experience in these fields is a plus.Expertise in Python.Keen eye for details, willingness and curiosity to dive deep in medical data and its clinical implications. Excellent communication and teamwork skills.Eagerness to learn and adapt in a fast-paced environment.What can we offerOpportunity to manage and drive the clinical strategy of an award winning Digital Health Start-Up.Be part of a solid experienced team, passionate about their work and capable to bring cutting-edge technology to market.Chance to grow alongside extraordinary individuals at the company growth pace.Combine remote work with working together in our great offices in front of the Port Vell, at Pier01 Barcelona Tech City.Competitive compensation package.Name *Email Address *Phone NumberOther WebsitesAttach your CV * Upload File Max file size 10MB.Additional InformationAdd a cover letter or anything you want to share with us!Upload FileMax file size 10MB.Controller / METHINKS SOFTWARE S.L. (METHINKS)Purpose / Get back to the userLegal Bases / Express consentStorage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligationsRights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ******Additional Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy PolicyWhere to find usController / METHINKS SOFTWARE S.L. (METHINKS)Purpose / Subscribing to the Newsletter.Legal Bases / Express consent.Storage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligations.Rights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ******.Additional Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy Policy.#J-18808-Ljbffr
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Sporting Goods Manufacturing
Methinks AI,"Barcelona, Catalonia, Spain",2 weeks ago,,Data Engineer,"You're one step closer to being part of the team. Methinks vision is to provide universal and timely diagnosis for life-saving treatments worldwide. Our first focus is on stroke, the second cause of death and a major cause of disability in the world. Our product is an artificial intelligence medical imaging software capable of performing stroke triage and unlock stroke treatments potential from non-contrast CTs. Methinks is a VC backed digital health start-up that recently won the prestigious EIC Accelerator of the European Commission and has obtained two gold medals in the RSNA Kaggle competitions. The recent funding of the company will allow us to grow rapidly and we are looking for exceptional and passionate individuals to help us face these challenges and build together a unique company. Join our innovative startup as a Data Engineer and play a vital role in shaping our data operations. As a Data Engineer, you'll be responsible for building and optimizing data pipelines and gaining expertise in all aspects of our data processes. Your contributions will directly impact our data-driven decision-making and growth trajectory. If you're seeking a role with the potential to become a key player in our startup's data strategy, this opportunity is for you. We proudly pursue a diverse workforce and we do not make any hiring or employment decisions that could be discriminatory in any way. We have implemented a gender balance and diversity policy. Duties and Responsibilities Collaborate with the Tech and R&D teams to design, develop, and maintain data pipelines. Execution of data pipelines to select, process and store clinical data received from installations and clinical studies. Data analysis and reporting. Assist in optimizing data infrastructure for performance and scalability. Support data integration and ETL processes. Real time monitoring of stats to proactively detect problems. Contribute to data documentation and best practices. Skills and Qualifications Bachelor's degree in Computer Science, Engineering, or a related field. Strong analytical and problem-solving skills. Experience working with unstructured data of different types: images, text, tabular, video. Experience with SQL and data modeling concepts. Willingness to learn and get involved in ETL processes and data warehousing. Experience in these fields is a plus. Expertise in Python. Keen eye for details, willingness and curiosity to dive deep in medical data and its clinical implications. Excellent communication and teamwork skills. Eagerness to learn and adapt in a fast-paced environment. What can we offer Opportunity to manage and drive the clinical strategy of an award winning Digital Health Start-Up. Be part of a solid experienced team, passionate about their work and capable to bring cutting-edge technology to market. Chance to grow alongside extraordinary individuals at the company growth pace. Combine remote work with working together in our great offices in front of the Port Vell, at Pier01 Barcelona Tech City. Competitive compensation package. NameEmail AddressPhone Number Other Websites Attach your CVUpload File Max file size 10MB. Additional Information Add a cover letter or anything you want to share with us! Upload File Max file size 10MB. Controller / METHINKS SOFTWARE S.L. (METHINKS) Purpose / Get back to the user Legal Bases / Express consent Storage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligations Rights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ****** Additional Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy Policy Where to find us Controller / METHINKS SOFTWARE S.L. (METHINKS) Purpose / Subscribing to the Newsletter. Legal Bases / Express consent. Storage Period / The data will be kept for the time necessary to fulfill the purposes collected, as well as for the fulfillment of legal obligations. Rights / You have the right to request from us access, rectification or erasure of your personal data, the right to restrict processing and object to processing at ******. Additional Information / Additional and detailed information on Data Protection can be found in the attached clauses in Privacy Policy. #J-18808-Ljbffr


        Show more

        


        Show less",Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Manychat,"Barcelona, Catalonia, Spain",1 month ago,,Data Engineer (ML),"WHO WE AREManychat is a leading Chat Marketing platform. We help businesses engage with their customers on Instagram, Facebook Messenger, WhatsApp, and Telegram. Manychat is a Meta Official Business Partner, backed by top investors, including Bessemer Venture Partners.With 140+ teammates across three global offices — Barcelona, Yerevan, and Austin — Manychat helps more than one million businesses worldwide interact with billions of customers in real-time at scale. No matter the use case — generating leads, increasing engagement, providing 24/7 customer support, accepting payments, and beyond — Manychat helps businesses improve their ROI and grow faster.WHAT WE'RE LOOKING FORWe are seeking a Machine Learning Data Engineer to join our Data Engineering team.The ideal candidate is enthusiastic about creating valuable and sought-after products not just for internal departments but for a broader audience.This role offers a unique opportunity to become a part of a startup-like initiative within the Manychat umbrella, where you can continuously learn, grow, and contribute to groundbreaking projects.WHAT YOU'LL DOAt Manychat's Data Engineering team, we strive for excellence in everything we do. While our day-to-day tasks are essential, we go beyond them to identify profitable opportunities and experiences.As part of the team, you will:Develop, implement, and support our Data Platform and all Machine Learning (ML) services, based on it.Adopt new ML models for antifraud, classification, and forecasting.Design new data marts to feed the new ML models, and support existing ones, in terms of quality, efficiency, and correctness.WHAT YOU'LL BRING Technical Knowledge:Proficiency in Python is essential (Python 3, data processing and analytics).Strong skills in SQL for data analysis and investigation.Knowledge of basics of machine learning (classification, learning, metrics, overfitting).Familiarity with ML libraries in Python (NumPy, SciPy, Scikit-learn, Pandas).Familiarity with the BI Reporting tools.Data-centric Experimentations: Understanding of data-driven hypothesis testing, the skill of proving arguments with data in a proper scientific way.Communication:English B1/B2 to participate in complex technical and mathematical discussions with colleagues.Ability to communicate with clients and colleagues in a supportive and polite manner.Knowledge of the Russian language will be a plus.Innovative Spirit: A drive to think out of the box, identify new opportunities, and contribute to the team's goal of being a profitable unit.Team Player: While individual contributions are valued, it's essential to collaborate and share knowledge within the team and the broader organization.WHAT WE OFFERWe care about your growth, well-being, and comfortProfessional development budget for relevant conference tickets, training programs, or courses.Flexible benefits plan to choose the perks that fit your needs.Health insurance including dentistry, psychology sessions, nutrition consultations, surgery, and travel assistance.Hybrid work format.Manychat is an Equal Opportunity Employer. We're committed to building a diverse and inclusive team. We do not discriminate against qualified employees or applicants because of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by local law or ordinance.This commitment is also reflected through our candidate experience. If you have individual needs that may require an accommodation during the interview process, please indicate this in your application. We will do our best to provide assistance throughout your interview process to ensure you're set up for success.


        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Allianz Technology,"Barcelona, Catalonia, Spain",1 week ago,,Data Engineer Developer Python,"The IT Developer/Engineer is responsible for the technical implementation and further development of current streaming platform and software solutions, ensuring optimisation of streaming, improve resilience and high availability and maintaining/developing infra as code. As a Data Engineer Tech Lead Python, you will be part of our Datahub team and play a key transversal role to ensure consistency across the whole group while performing the following main tasks:You will: Build and enhance current streaming platform, new objects streaming, KPIs REST APIsEnsure optimization of streaming to enhance velocity and lower lags in the busImprove resilience and high availability model of the streamingMaintain and develop infra as code toward enterprise’s standard and generic modulesSupport and lead HelpDesk when production incident occurs for efficient and following the process resolutionLiaise and coordinate with Cloud Foundation for global infrastructure topicsEnsures application fulfills its commitment in SLA, performance, resilience, DRBe on duty/on call according to planning to support the application with other team membersYour skills:The candidate should have experience as a Data Engineer or Python Developer and have ideally the following skills:Skilled in some technologies within Python, SQL for data transformationPassionate about data engineering (transformation, streaming, event driven)Knowledge of Python > 2 yearsKnowledge in Rest API integration, data pipeline, streaming (Kinesis, Kafka, ...)CI/CD Tools: GIT, GITLAB, SonarQube, TerraformREST APIs through NodeJSTests frameworksKnowledge of serverless (lambdas, containerization through Docker, ...) is a plus. First experience in AWS Services (EC2, ALB, ECS, Lambda, API Gateway, WAF, Kinesis, VPC, S3, Firehose, step functions, DynamoDB, PostgreSQL) is a plus. Knowledge of monitoring tools (Sentry, Prometheus, Grafana)Passionate about data engineering (transformation, streaming, event driven)Your benefits:We offer a hybrid work model which recognizes the value of striking a balance between in-person collaboration and remote working incl. up to 25 days per year working from abroadWe believe in rewarding performance and our compensation and benefits package includes a company bonus scheme, pension, employee shares program and multiple employee discounts (details vary by location)From career development and digital learning programs to international career mobility, we offer lifelong learning for our employees worldwide and an environment where innovation, delivery and empowerment are fosteredFlexible working, health and wellbeing offers (including healthcare and parental leave benefits) support to balance family and career and help our people return from career breaks with experience that nothing else can teachAbout Allianz TechnologyAllianz Technology is the global IT service provider for Allianz and delivers IT solutions that drive the digitalization of the Group. With more than 13,000 employees located in 22 countries around the globe, Allianz Technology works together with other Allianz entities in pioneering the digitalization of the financial services industry.We oversee the full digitalization spectrum – from one of the industry’s largest IT infrastructure projects that includes data centers, networking and security, to application platforms that span from workplace services to digital interaction. In short, we deliver full-scale, end-to-end IT solutions for Allianz in the digital age.D&I statementAllianz Technology is proud to be an equal opportunity employer encouraging diversity in the working environment. We are interested in your strengths and experience. We welcome all applications from all people regardless of gender identity and/or expression, sexual orientation, race or ethnicity, age, nationality, religion, disability, or philosophy of life.Join us. Let´s care for tomorrow.You. IT35595 | Ingeniería informática y tecnológica | Junior | Non-Executive | Allianz Technology | Jornada completa | Indefinido
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Insurance and Financial Services
Hays,Greater Barcelona Metropolitan Area,2 weeks ago,,Data Engineer,"Multinational pharma company is looking for a Data Engineer to join to their BCN offices.RequirementsAWS services: detailed knowledge, AWS Glue ecosystem, ContainersDataLake formation experiencedatabricksDevOps: plan/build/deploy chain, buisinessContinuous integration toolsNice to have:AWS Cloud formation, AWS Service CatalogData Mesh principlesExperience in CI/CD on AWSBenefitsContract: Permanent full-time positionStarting date: as soon as possible2/week telework


        Show more

        


        Show less",Associate,Full-time,Information Technology,Pharmaceutical Manufacturing
