scrape_date,company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
2024-02-26 01:53,Trustpilot,"Copenhagen, Capital Region, Denmark",3 days ago,163 applicants,Data Engineer I,"We’re a leading online reviews platform, free and open to all. Our mission is to be a universal symbol of trust. We are well on our way — but there’s still an exciting journey ahead of us. Do you want to join us at the heart of trust?We're on the lookout for a creative and eager Junior Software Engineer to join our Data Engineering team at Trustpilot. As a crucial member of this team, you'll be at the forefront of crafting scalable solutions that empower Trustpilot's data delivery to our dedicated Trusties. Your contributions will directly impact our software developers, data analysts, analytics developers, and ML engineers, facilitating the realization of Trustpilot's data democratisation strategy.What You’ll Be DoingAs a Junior Software Engineer in our Data Engineering team, your role will be both innovative and rewarding. Your responsibilities will include:Implementing modern, cloud-based architectures to create robust and scalable solutions.Participating in the scaling and maintenance of our services to meet the evolving needs of our rapidly expanding user base.Contributing to impactful initiatives that enhance the overall efficiency of the organization.Collaborating closely with a team of highly skilled and supportive engineers, offering you exposure to some of the industry's finest expertise within a collaborative and innovative environment.Embracing a culture of continuous learning and growth, staying abreast of the latest trends in software engineering and cloud technologies.Who You AreThis role is tailored for an aspiring Software Engineer eager to develop in this dynamic space. While prior knowledge of all technologies used by the Data Engineering team (Cloud Composer, Kafka, Apache Beam, BigQuery, MongoDB, DynamoDB) is not expected, we encourage you to apply if you possess:A good foundation in software engineering principles and an enthusiasm for delivering high-quality code.Some hands-on experience with Python or Java.Familiarity with both relational and NoSQL databases.Exposure to AWS or GCP environments.Effective communication skills and experience in a collaborative work environment.A responsive and determined nature when faced with challenges, showcasing high problem-solving skills and an ability to devise creative solutions to complex problems.What's in it for you?A range of flexible working options to dedicate time to what matters to youCompetitive compensation package + bonus25 days holiday per year, with an extra 5 days holiday allocated after your 1 year anniversary (prorated) Two (paid) volunteering days a year to spend your time giving back to the causes that matter to you and your communityRich learning and development opportunities supported through the Trustpilot Academy, LinkedIn Learning and BlinkistComprehensive health package, pension and full access to Headspace, a popular mindfulness app to promote positive mental healthPaid parental leaveNewly renovated central office with a laid back vibe and constant buzz of different languages being spoken everywhere you go It’s complete with a coffee bar, canteen and table tennis and has a wide variety of refreshments available - you can opt in for breakfast and lunch at an affordable priceRegular opportunities to connect and get to know your fellow Trusties, including company-wide celebrations and events, ERG activities and team socialsOpportunity to join the Trustpilot Social Club for a small monthly fee and attend regular social and leisure activities like go karting, cooking classes and escape rooms Employee discounts to restaurants and shops Tax Free Travel (DSB) Still not sure?We are Open to All, which means we want everyone to feel like they can see themselves at Trustpilot. We're keen to hear about your experiences as well as how you can help to create a fantastic culture for our amazing Trusties. So, don't worry if you're looking at this job description and feel like you don't meet all the requirements, we'd still really like to hear from you!About TrustpilotAt Trustpilot, we’re passionate about our mission to offer a free and open to all review platform, built on collaboration. For consumers, we’re a place to connect with and influence businesses. For companies, we’re a platform for progress; a way to improve and innovate by engaging and collaborating with consumers.We’re driven by connection. It’s at the heart of what we do. Our culture keeps things fresh –– it’s built on the relationships we create. We talk, we laugh, we collaborate and we respect each other. We work across borders and cultures to be a tangible symbol of trust in an ever-changing world. With vibrant office locations all around the world and over 50 nationalities, we’re proud to be an equal opportunity workplace with diverse perspectives and ideas.Our purpose is a tall order, but we keep it real. We’re a great bunch of humans, doing awesome stuff, without fuss or pretense.A successful Trustpilot future is driven by you –– we give you the autonomy to shape a career you can be proud of. If you’re ready to grow, let’s go.Join us at the heart of trust.Trustpilot is committed to creating an inclusive environment where people from all backgrounds can thrive and where different viewpoints and experiences are valued and respected. Trustpilot will consider all applications for employment without regard to race, ethnicity, national origin, religion, gender identity or expression, sexual orientation, neurodiversity, disability, age, parental or veteran status. Together, we are the heart of trust.Trustpilot is a global company and our data practices are designed to ensure that your personally identifiable information is appropriately protected. Please note that your personal information will be transferred, accessed and stored globally as necessary for the uses and disclosures stated in our Privacy Policy.



        
            Show more
          

          



        
            Show less",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
,,,,,,,,,,
2024-02-26 01:53,HCLTech,"Malmö, Skåne County, Sweden",4 days ago,51 applicants,Data Engineer,"When you are part of a $10 Bn company that’s been voted as the Top Employer by Forbes, you know you can take a few things granted. Like a work life balance, for example. Like having a bouquet of benefits not just for you but for your family too. Like working on some of the most rewarding projects that change our world for better. At HCL we believe, at the end of the day, who we are and how happy we are is because of the people we surround ourselves with.Started in 1999, HCL in Europe has provided an integrated suite of services — IT services, infrastructure management, engineering and R&D, and business services, to customers throughout Europe. HCL has developed world-class innovations and works closely with customers through Relationships that go Beyond the Contract. Through the years, HCL has won many vital European contracts, putting it at the highest of the ECU Service providers list.Here is an opportunity is to be part of HCL TechnologiesTitle of role – Data EngineerLocation - (Malmo or Helsingborg), SwedenPermanent roleHybrid mode - Twice/Thrice in a weekExperience : 7+ yearsRole Description: A data engineer to work in Business Support, helping build batch and streaming data pipelines from various different sources on google cloud using Python. Curate, Validate and transform the data as per defined business logic, Support Data/Business Analysts in creating and maintaining dashboards.The scope of the consultant services : Data curation, validation, transformation (ETL/ELT), pipeline monitoring, working with different sources, building batch and streaming pipelines on google cloud and support Data/Business Analysts in creating and maintaining dashboards. Desired knowledge, experience, competence, skills etc Advanced Python programming for Data Engineering, Strong SQL, Ability to build and maintain batch and steaming pipelines on GCP using Bigquery, Cloud SQL, Dataflow, Pubsub, Cloud functions, Airflow and other services, Agile WoW, Worked part of a Product team, Softskills and Communication, Github, Data Modelling.BenefitsA supportive, diverse and global team with a brilliant culture.A flexible (remote) working environmentCompetitive compensation and benefits that includes vacation per year , various insurances like Term life, AD &D and Business Travel insurance. These are apart from the statutory benefits applicable in the country.Great opportunities to make the role your own, upskill yourself and get involved with exciting projectsTotal Wellbeing is our focus. Alongside your professional excellence, you join the likeminded colleagues to create a larger impact within the company and society at large in your chosen area of passion - CSR Council, Diversity Council, Sparks – Engagement Champion to name a few



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Consulting,IT Services and IT Consulting
2024-02-26 01:53,StaffHost digital,"Copenhagen, Capital Region, Denmark",2 days ago,,Data Engineer,"Data Engineer | Leading Analytics Partner | Attractive Working Environment Copenhagen, DenmarkCompanyOur client is a leading Nordic player when it comes to Data and Analytics. They have years of market experience, a highly talented team, and an agile working environment. They pride themselves on having a healthy working culture whilst offering the opportunity to work on Denmark’s most interesting projects.Although they are a leader in the Business Intelligence and Advanced Analytics market, they are a smaller company with a healthy working culture, flat hierarchy, and they treat all their employees as individuals. These factors combined with the fact they still compete with the ‘big players’ for projects, makes them an incredibly exciting company to work for.ResponsibilitiesDesigning and implementing data pipelines for ingestion, processing, and storage.Developing and maintaining data warehouses and data lakes on Snowflake or within the Azure ecosystem.Optimizing performance and scalability of data infrastructure.Monitoring and troubleshooting data pipelines for efficiency and reliability.Automating data workflows and processes for streamlined operations.Implementing best practices for data governance, including data lineage and metadata management.RequirementsStrong experience within building data pipelines in either a Snowflake or Azure environmentSkills in ETL processes with the likes of Azure Data Factory, Snowflake Data PipelineKnowledgeable in cloud computing, data warehousing, data modeling, data visualization etc.Experience with SQLFluent Danish and English language skills – written and verbalLocated in the Copenhagen regionIf this opportunity sounds like it could be interesting for you, please don’t hesitate to apply, or reach out to me directly!Thank you for your interest in this opportunity. If your application is successful, we will contact you to discuss the position in more detail within 48 hours of receiving your CV. Please assume your application has been unsuccessful if you do not hear back from us within 48 hours.



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,"Information Technology, Engineering, and Consulting","Data Infrastructure and Analytics, IT System Data Services, and Business Consulting and Services"
2024-02-26 01:53,StaffHost digital,"Copenhagen, Capital Region, Denmark",2 days ago,,Data Engineer,"Role: Data EngineerLocation: Copenhagen, DenmarkJob Type: Full-timeAbout:Our Client is a leading technology consultancy firm dedicated to delivering innovative solutions that empower businesses to thrive in the digital era. Our team is committed to providing cutting-edge technology services and fostering a culture of continuous learning and growth.Position Overview:Our client are seeking a skilled and motivated Data Engineer to join our dynamic team in Copenhagen. As a Data Engineer, you will play a key role in designing, implementing, and maintaining data solutions using the Microsoft Azure tech stack. This is an exciting opportunity for a passionate individual with expertise in data engineering and a focus on leveraging Azure technologies.Responsibilities:Design, develop, and maintain scalable and efficient data pipelines using Microsoft Azure services.Collaborate with cross-functional teams to understand data requirements and implement solutions that align with business objectives.Implement data processing, transformation, and storage solutions to support analytics and reporting needs.Optimize data infrastructure for performance, reliability, and cost-effectiveness.Work closely with data scientists and analysts to ensure data quality, accuracy, and accessibility.Stay current with industry trends and emerging technologies related to data engineering and the Azure ecosystem.Troubleshoot and resolve issues related to data pipelines and infrastructure.Qualifications:Bachelor's degree in Computer Science, Information Technology, or a related field.Proven experience as a Data Engineer, with a focus on Microsoft Azure technologies.Strong proficiency in SQL, T-SQL, and experience with relational databases.Hands-on experience with Azure services such as Azure Data Factory, Azure Databricks, Azure Synapse Analytics, and Azure Blob Storage.Knowledge of data modeling and database design principles.Familiarity with data integration patterns, ETL processes, and data warehousing concepts.Excellent problem-solving and communication skills.Ability to work effectively in a collaborative team environment.Preferred Skills:Certifications in Microsoft Azure (e.g., Microsoft Certified: Azure Data Engineer Associate).Experience with Big Data technologies such as Apache Spark.Knowledge of data governance and security best practices in Azure.Thank you for your interest in this opportunity. If your application is successful, we will contact you to discuss the position in more detail within 48 hours of receiving your CV. Please assume your application has been unsuccessful if you do not hear back from us within 48 hours



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,"Analyst, Information Technology, and Consulting",IT Services and IT Consulting
,,,,,,,,,,
2024-02-26 01:53,Novo Nordisk,"Gentofte, Capital Region, Denmark",2 days ago,44 applicants,Data Engineer,"Are you motivated by challenges and thrive in a dynamic work environment? Do you excel in collaborative working environments where strategic alignment with key stakeholders is essential? Is continuous improvement one of your career objectives, and do you have a can-do attitude?If so, we may have the perfect position for you. Join our growing team and apply now!The Position As Data Engineer, your responsibility is to enable data from various sources of existing data-lake (SQL server) to a cloud-based environment and transforming existing ETL using latest AWS technologies. You will be entrusted with below major responsibilities: Perform data engineering tasks when needed – i.e. ingest data sets, help automate manual processes, optimize data delivery, etc. You are responsible to take vague requirements and transform them into solid solutions. You will help our team members ingest data faster into/from the company’s data lake You will be responsible to building micro-services, architecting, designing, and enabling self-serve capabilities at scale with AWS/Azure/AlteryxQualifications You hold a Masters/Bachelors Degree with have 1-3 years of experience in Data engineering and modeling and overseen end-to-end implementation of data pipelines on cloud-based data platforms. Strong programming skills in one of the following: Python, PySpark, SQL and Spark SQL. You have project experience writing SQL queries transforming and structuring data, and data storage practices. Experience working on Amazon Web Services and with Aveva PI or similar. Knowledge of business intelligence tool packs such (Alteryx, Tableau, SAP BI) is preferred.As our new colleague, we expect you to be skillful in what you do. Besides taking responsibility for your tasks, you are curious and take the initiative to get the job done. You have an eye for detail and an open mind, including willingness to learn and to improve.About The DepartmentProduct Supply (PS) Biotech & Rare Disease (BRD) is the organizational unit in Product Supply that make all our NN Rare Disease products and are establishing Cell Therapy production facilities. You will be joining Digitalization & Manufacturing Intelligence in BRD Gentofte, which is a department within Operational Excellence in Aseptic Production. We are responsible for supporting the site’s strategic aspirations with systems and digitalization initiatives and tools that move the organization forward.We appreciate a good and social working environment and believe that it must be fun and rewarding to meet at work. Our ambition is to provide the best support to line of business, with a high level of engagement.Working at BRD, Novo NordiskBRD is part of Novo Nordisk Product Supply, which is a global production network at the forefront of technology and quality production of pharmaceutical products. In BRD we are not only supplying all Novo Nordisk products for Rare Diseases, but also using our competences in Biotech to support the growing efforts into completely new production platforms and therapy areas for Novo Nordisk.We are app. 2500 colleagues committed to drive change for people with serious chronic diseases. We produce our life-saving medicines out of five state-of-the-art production sites in Denmark and United States - covering the entire production value chain where raw materials are cultivated, purified, formulated, filled, assembled in devices, packed, and distributed across the globe. Not only are we making a difference for patients – we also strive to make a difference for our employees by promoting a learning culture with high level of trust, innovation, and development for everyone. Are you ready for a life-changing career?ContactIf you want to know more about the position, please contact Katalin Giczi, Associate Manager +45 30 79 60 49 (weekdays 09.00 – 15.00).Deadline8 March, 2024.We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world. We need to aspire to be the best company for the world and we know that this is only possible with talented employees with diverse perspectives, backgrounds and cultures. We are therefore committed to creating an inclusive culture that celebrates the diversity of our employees, the patients we serve and communities we operate in. Together, we’re life changing.
        


        
            Show more
          

          



        
            Show less",Not Applicable,Full-time,Information Technology,Pharmaceutical Manufacturing
2024-02-26 01:53,ooono A/S,"Copenhagen, Capital Region, Denmark",3 days ago,47 applicants,Data Engineer,"Just setting the scene: You’re an experienced Data Engineer looking for a new challenge. You’d love to (basically) design and lead the implementation of data infrastructure. And you definitely wouldn’t mind doing so in one of Denmark’s fastest-growing tech scaleups. Well, good news. We offer you the chance to set the scene in our newly established Data Department, currently consisting of 2 Data Scientists. They happen to be just as good company as they’re talented. Lucky you, huh? Setting the scene includes defining the data setup going forward, ensuring data quality and data security. It also includes modeling big data for both business intelligence and algorithm purposes. You’ll also get to decide on what data warehousing we’ll be using. Oh, and naturally make sure that we’re working efficiently across departments. Sounds pretty sweet, no? Hopefully you’ll find it even more sweet after reading the mandatory bulleted lists for any job description:  What you’ll be doing. Design, develop, and maintain scalable and efficient data pipelines for processing, transforming, and storing large volumes of dataLead the development and management of our business intelligence architecture, focusing on advanced data warehousing, ETL strategies, and data modelling techniques Collaborate with data scientists, analysts, and other stakeholders to understand data requirements and ensure data availability for analytical purposeOptimize and troubleshoot existing data infrastructure to enhance performance, reliability, and scalabilityImplement data security and privacy measures to safeguard sensitive informationStay up-to-date with industry trends and emerging technologies to recommend and implement best practices for data engineering.We imagine you’re someone who has: Proven experience as a Data Engineer or similar role, with a focus on designing and implementing data solutionsStrong proficiency in programming languages such as Python and TypescriptDeep understanding of data modeling principles, database architecture, and data warehousing, with hands-on experience in cloud-based platforms like AWS and modern data warehouses (e.g., Amazon Redshift, Snowflake, Google BigQuery)Excellent problem-solving and communication skillsAnd we’d love it if you have: Experience with document based databases (mongoDB), graph databasesExperience with real-time data processing and streaming technologiesYou’ll be referring directly to our CTO. How is it working at OOONO?We’re glad we asked. It’s a nice working place. As in nice-nice. We have a relaxed, informal atmosphere and a flat hierarchy. Whenever you need a break from your important work stuff, you can get beat in table tennis, foosball, airhockey, Fifa (we have a dedicated PlayStation room), or just smalltalk about the weather by the coffee machine. We have monthly social events where we do anything from go-karting to going to festivals. Oh, and an annually skiing trip. Just because we like spending time together.How to applyIf this sparked something in you, and you believe you'd be a good fit please reach out and send your resume, portfolio, and a brief cover letter explaining a bit about who you are and why you're the perfect fit for this position. If you have any questions, don't be afraid to contact HR-Coordinator Anne Byskov +45 31713531 or by mail: aby@ooono.dk Official starting date: As soon as possible Weekly hours: 37 (Full-time)



        
            Show more
          

          



        
            Show less","Employment type
        

          Full-time",,,
,,,,,,,,,,
2024-02-26 01:53,Nigel Frank International,Copenhagen Metropolitan Area,5 days ago,35 applicants,Analytics Engineer,"Analytics Engineer - Internal, Copenhagen:Over the past 18 months there has been a huge push for becoming ""data centric"". Using data as a currency to help evolve business and make better decisions.That leaves us with the question - how do we know which business has got it right?Let me introduce my client. Over the past 18 months, we have collaborated in building a tailored team to build, implement and leverage a bespoke data platform built on snowflake.Today, the team stands with 13 data professionals all with different backgrounds and perspectives.We are looking to strengthen that team once again with a new Analytics engineer, someone who can provide insight that is hidden within the data.The bespoke platform is designed to ingest huge amounts of data on a daily basis, anywhere up to 100tb per day.What we want you to achieve:Gather analysis and requirements from team members and stakeholdersDesign, build and implement new data ingestion solutionsTranslate the technical insight into business actionsBuild and automate data pipelines to improve system efficiency Cross collaborate with Data scientists, analysts and engineers to roadmap future development What skills do you need? Previous, practical experience building and implementing data pipelinesSkilled with SQL or Python programmingConfident with ETL and CI/CD solutionsPrevious experience supporting Machine learning initiatives Previous experience with snowflake or dbt is a huge benefitMost importantly, for anyone to succeed in this role, we need a open mind towards how the modern data platform can continue to grow and evolve. Being ready to spar and share experience with your new team mates.Internal roles like this don't hang around, if you think this is your next opportunity then please reach out!+45 88 74 11 48 d.nichol@nigelfrank.com



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Media"
