company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
idealista,"Madrid, Community of Madrid, Spain",3 weeks ago,,Ingeniero de Datos Junior,"¡Hola! ¡Buscamos ingenier@s de datos jr. para incorporarse en nuestro equipo de idealista!¿Qué harás?Automatizaciones de flujos de trabajo.Sistemas de reporting para optimizar la toma de decisión.Integración con IAs.Mantenimiento y evolución de los sistemas que desarrollamos.¿Qué buscamos?Experiencia en Programación con Python y conocimiento de SQL.Sólido manejo de la terminal en sistemas operativos basados en Unix.Experiencia en sistemas de control versiones distribuidos (Git).Te encuentras cómodo trabajando en equipo pero también eres capaz de asumir responsabilidades de manera autónoma.Te comunicas de manera clara y estructurada.Documentas tus desarrollos de manera entendible para otros personas.También es un plus tener:Conocimiento de herramientas como Airflow para la planificación de tareas o PowerBI para la visualización de datosConocimiento de frameworks como Spark o Pandas para la transformación y limpieza de datos o Flask, Django o FastAPI para creación de APIs. Manejo de bases de datos de analítica como ClickhouseExperiencia en desarrollo de ETL y modelado de datos.Experiencia en sistemas Cloud, especialmente Amazon (Glue, S3...)Ofrecemos:Impacto directo en una plataforma líder en España, Italia y Portugal.Ambiente de trabajo colaborativo y remote-friendly.Oportunidades constantes de aprendizaje y desarrollo.Beneficios flexibles y clases de idiomas.Fruta fresca, café, fisioterapia y clases de yoga.Celebraciones mensuales y eventos de teambuilding.¿Eres el candidato ideal? ¡Únete a nuestro equipo y acepta el reto!


        Show more

        


        Show less",Associate,Full-time,Information Technology,Software Development
HEMAV,Spain,1 week ago,,Data Engineer,"🌱 At HEMAV we are an AgriTech StartUp founded in 2012 working passionately on Data Science in the agrifood industry with the purpose of generating more food with less environmental impact.🌾🛰️ We use a unique approach, for yield forecasting based on Artificial Intelligence using satellite technology and other data sources (drone, meteo, soil, etc.).Users of our technology leverage their decision-making systems oninformation and knowledge generated on a field-by-field basis, withcustomized per-user models.💚 The HEMAV family is currently composed by a team of around 50 persons with offices in Spain, Brazil, Peru and the USA. We have around 50 regional partners distributed between more than 17 countries in Europe, America and Africa. More than 7.000 users have access to the platform with service in 5 million Hectares.❤️ HEMAV values are:Teamwork: We are a familiy and 'fly and process' together 🫂Passion: We wake up every morning to change the world 💚🌍💧Simplicity: Less is more. Technology should simplifies our lives, not complicates itExcellence: We pursue our best version and learn from our valuesIntegrity: What you see is what we areInnovation: We have a creative attitude against challenges📊 LAYERS, our software, generates key yield forecasting data. In addition, it offers analytics to the agricultural sector with a large direct impact. For example, clients can improve the efficiency intreatments (sowing, fertilization, irrigation, etc.) and generateestimations in yield (tonnes per hectare), as well as quality estimates(e.g. soybeans protein quantity) for different crops. We know thatproducers, the agroindustry itself, or even insurance companies andtraders in the agronomical sector are facing three main challenges, witha large impact in their gross margin: Crop Management Production yield and logistics Economical yield Climate change risk assessment💧 💚 LAYERS helps minimize these risks through a high-quality continuous monitoring and predictions. We want to make LAYERS the core of all the yield-related decisions in the agribusiness value-chain using data and statistics. Our slogan is“Reshaping the future increasing land efficiency”👾 The LAYERS Product Team isthe main area of the company, where 15 persons are distributed in foursquads: Data Engineering, Agronomy-Data Science, BackEnd and UX/UI. Three-four weeks sprints are combined with sprint demos where all the company is updated with the news in the product by all the members of the product team.Some of the things you should consider when joining our team are: Young and friendly environment Flexible work-hours 100% remote work Flexible remuneration system that adapts the salary to your needs Extra holidays🌎🌏🌍LAYERS, is composed of a web-app, mobile-app and API. Our software constitutes the heart of the customer ecosystem where data analysis and prognosis are presented in analytical and insightful web dashboard formats. Thanks to this, our customers can monitor their crops and perform better business decisions in their agro-industrial companies.Tasks🖥️ Position🎯 What is your mission in HEMAV?Main goal of this position is to have a key role in the development of software, models, repositories, and continuously work in improving the Data Infrastructure, models and LAYERS products development. Exchanging information and knowledge with data scientists, agronomists, analysts and other experts in the company to identify, design and implement the most suitable infrastructure and operational tools to our models that will make the change in present and future LAYERS users.This mission is deeply linked with the design, technology and thus, the team involved in the application of software development, spatio-temporal statistics, agronomical knowledge and AI in Layers’ solution. Statistics, maths, geographical information, software development, computer vision and other disciplines converge in the work of the whole team.Global improvements in the robustness and scalability of LAYERS will as well be part of the tasks this person will face.✍🏽 TasksSpecifically, this person will: Lead the design, planning and implementation of the Data-related developments so LAYERS can increase the value added to our clients, the scalability, and the robustness of the system. Produce, evolve and maintain the toolset and functional processes in the framework of the data handling and modeling, following the coding standards and methodologies established. Technical support to clients facing defects detected internally or reported by clients. General continuous improvement of LAYERS Punctual support to stakeholders in business and operations.⚙️ Responsibilities and functions: Work on tasks related to LAYERS core development and Data Engineering, together with other experts on different fields and technologies, to develop and deploy tools and techniques that allow HEMAV to extract the maximum value for the users. Join agile liturgies such as user stories refinement, sprint planning, daily meetings, product reviews and retrospectives. Contact point with internal stakeholders in punctual cases related with developments carried out.🏅 How will this role be evaluated? Team goals following OKR philosophy established with the Team Lead and Product Owner Company goals📍 Location: +- 3h from BCN (Spain) time zone We are very happy with asynchronous work, however we belief in teamwork and peer programming. Anyway, if you are in the BCN area you will always be welcomed at the office :-).Requirements🏅 Technical SkillsProfessional software development in Data environment – 4 years -Experience in MLOpsCloud technologies (AWS). Specially AWS Glue, Athena, S3 and step-functionsTerraform (Infra as Code)PythonGitDockerGraphQL/ PostgreSQLnoSQL (DynamoDB)Nice to have: MLFlow, DVC GoogleCloud/Azure, Serverless, Kubernetes DevOps mindset, CI/CD Unit testing, TDD GIS technologies Remote Sensing Earth Observation – Spatio-temporal data Time Series💚Soft Skill Team player Agile methodologies: comfortable working with user stories, and liturgies. Result-oriented Quality-oriented Autonomous Benchmarking of new techniques and technologies related to the position Challenge loverBenefitsSome of the things you should consider when joining our team are: Young and friendly environment Flexible work-hours 100% remote work Flexible remuneration system that adapts the salary to your needs Extra holidaysOur hiring process has been refined along the time and includes the following steps: Conversation with Product Owner to present the company and the position. Tech-Talk with the team. Basic exercise. Onboarding.Join HEMAV Technology, a dynamic company with a talented team. As a Data Engineer, you'll have the opportunity to shape innovative solutions and make an impact. Apply now!
      

        Show more

        


        Show less",Mid-Senior level,Contract,Information Technology,Farming
ING España&Portugal,"Madrid, Community of Madrid, Spain",1 week ago,,Data Engineer,"At ING we are looking for a Data Engineer  Your role and work environment: We are looking for a talented and enthusiastic Data Engineer to join our Datawarehouse Team of Data Management Tribe  The Data Management Tribe is focused on being Data Best-in-class, by ensuring the right data is in the right place at the right time for the right people to ignite the Data Spark. In order to achieve that mission, we are currently looking for a Data Engineer that would be part of a multidisciplinary and high performance team, developing in a Cloud & DevOps environment. You would be focused on maintaining and evolving our informational platforms, which aims to be used for Data Management, as well as Regulatory & Analytical Reporting at ING. We work in an Agile & DevOps environment, where Scrum & Kanban are part of our One Agile Way of Working. You would be part of a Scrum Team, working on two-weeks sprints and using Azure as a key-tool for our Software Development Life Cycle and keeping our IT Risk under control. Your key responsibilities:  As a Data Engineer, your main goals would be: Ensure best practices within technical design, development of ETL processes and modelling informational solutions.Monitor end-to-end processes, ensuring their operation, detection of technical issues and search for solutions based on Data.Care of platforms sustainability, within Minimum Standards from IT and Risk perspective.Guarantee that ETL delivered and promoted through Azure pipelines and modelling informational solutions are aligned with our best practices.Analysis of business needs for implementation and propose IT solutionsCollaborate with different areas contributing to Spain ING Data Strategy   What are we looking for? Want to know if this job is made for you? These are some of the qualities that we value the most for this role. And if the shoe fits… don’t hesitate to apply!  A person who works and acts rapidly based on intuition, instead of reasoning step-by-step; Knows the difference between important and less important details.  A person flexible and adaptable, capable of facing uncertainty, acquiring knowledge in various disciplines and updating it as often as necessary.An assertive person, able to communicate clearly and directly, but adequately. The Data Engineer we are currently looking for is someone who:  Has more than 3 years’ experience within Datawarehouse and other Informational platforms. Has technical knowledge in Databases (SQL and NO SQL), ETL Processes & BI Reporting. Is an expert in Data Modelling & Data Architecture for Informational platforms. Has knowledge & experience in Azure, AWS or other cloud environments. Has good analytical skills, with proven domain experience in data warehousing, data lakes, and data virtualization within Bank and Finance Industry. Has working experience in Agile environments. Has clear communications skills as well as a high English level (written and oral). Is able to work without instructions and to take initiative. Makes things happen thanks to his/her ‘can do’ attitude. Has a problem solving mindset. Is a team player (daily connection with other departments is expected) Has the ability to work on an international level. Takes the initiative for improving processes, ensuring creative ideas are implemented. Is a leader of our Orange Code culture, displaying a positive attitude, commitment towards our goals, accountable, eager to learn and is not afraid of change.  Considering the software you may use as a Data Software Engineer, specific experience would be desirable for the following:  Oracle (19c)Denodo Data VirtualizationIBM Cloud Pack for data & IBM WatsonIBM Cognos, Power BI and/or MicroStrategy or similar BI toolsAzure Devops or other devops cloud service What do we offer? The time you spend at work, the challenges you face or the lessons you get are very important, but… What about your personal life? At ING we want your work to fulfill you in every way, and that is why we take care of even the smallest details. Check out what is waiting for you! Flexible schedule and 100% flexible e-working.Work or e-work? We have a totally flexible model: keeping both our customers and your colleagues in mind, you can choose the one that best suits you all. Restaurant card.So that thinking about what to have for lunch doesn’t take up your time or your cravings.  Our house will be your home.In our offices you can find electric mobility solutions, doctor, hairdresser, gym, urban orchard, The Good Service (to help you with your errands) and much more! Life insurance. We hope you don't need to use it! Health insurance.For you and all your family (spouse/partner and children). Flexible remuneration.In addition, you will enjoy our flexible remuneration model, through which you can access other services such as nursery, transport card, training aids… Free company shuttle. It doesn't matter where you live. We have 6 routes (North, Central, South, A5, A42 and A6) to get you to our ING office in Madrid comfortably. Banking benefits.Special loan or mortgage terms after 6 months working at the bank.And you can benefit from our pension plan after 2 years with us. More health, more sports.Runners club with your own trainer.Clinics with professional, world-class athletes.Physiotherapy service on site.Gympass service.  Get to know Us We are a team of more than 1000 people sharing one idea: doing our bit in helping our clients create a better future for themselves, by providing them with the tools they need to get where they want to go. A fully online bank where technology, innovation, simplicity and transparency are the main ingredients, and the first one to work with agile methodologies.  And although we are based in Spain, we are lucky to work with international and diverse teams every day across 44 countries.  Making things happen, helping others be successful, always being one step ahead—that’s our DNA. If you look at yourself in the mirror and your reflection matches our way of being and working…we are looking forward to meeting you!


        Show more

        


        Show less",Associate,Full-time,Engineering,"Banking, Technology, Information and Media, and Financial Services"
Fever,"Madrid, Community of Madrid, Spain",3 months ago,,Data Engineer,"Hi, we're FeverWe're excited you are checking out this job offer.We are the leading global live-entertainment discovery tech platform with a clear mission: to democratize access to culture and entertainment. How do we achieve our mission? Fever has developed a proprietary technology that inspires a global community of over 125M people through personalized and curated experiences in their local city whilst empowering entertainment and event creators to reach new audiences and enhance their experience.Sounds amazing, right?Behind the user-friendly iOS and Android apps and webpage that work across the world is the engineering team. We are in charge of creating, developing, improving, and maintaining all Fever services so that more people can have an amazing experience.About The RoleYou'll be part of the Data organization, building and operating the core technologies that enable data scientists, analysts and the different business units to leverage rich data in efficient and innovative ways to generate impact and connect people to the most relevant real-world experiences.You'll own critical data pipelines for our Data Warehouse and the resulting data products that are used daily across the company to inform all sorts of decisions and models.You'll ideate and implement tools and processes that increase our ability to exploit our diverse sources of data to solve business problems, understand behaviors, …You'll work with the latest Big Data and Machine Learning technologies to enable new use cases and continuous innovation.On your first month in Fever:You will be fully integrated into the team. During this month you will have already participated in onboarding, pair programming, one to one, Scrum sessions, and you will have met the different departments at FeverYou will get familiar with Fever's tech stack and frameworks used to develop our data strategyYou will attend some of the Fever Original's experiences like CandlelightAfter 3 months in Fever:You'll be able to come up with solutions to new difficult problems and you'll be generating impact and creating new business opportunities.You'll have responsibilities and ownership over parts of our Data Warehouse or other critical tools.You will participate in some of the hackdays or hackathons we organise with other teams, and you will mostly know everybody from the data and engineering communities.On your 6th month in Fever:You'll contribute to the overall health of our data ecosystem, improving performance, scalability, robustness, …You'll be able to identify gaps in our platforms and processes and be a champion for continuous improvementYou'll be mentoring other new joiners to the teamYou will participate in some of the team buildings we organise for your team or the whole engineering teamKey responsibilities Build trusted data assets that power Fever's decision makingHave a business-oriented mindset and create data automatization to create huge business opportunitiesDesign, build and support modern and scalable data infrastructure, e.g.:Write robust, maintainable code to orchestrate our ETL workflows.Build data quality monitoring processesBuild data tools to make our analysts and scientists more efficientCollaborate with other engineers, and stakeholders to understand what data is required and how best to make it available in our Data Platform.Understand the technical trade offs of different solutions, implement them and make them scalableAbout YouYou are smart, get stuff done, have great energy, and thrive in a fast paced environmentYou are an expert working with large volumes of data from multiple sources, both internal and external (e.g. APIs)You are comfortable with software engineering best practices and you are proud to write robust, readable and maintainable code.You are an expert in Python3 and its data ecosystem (e.g. Pandas, Pyspark)Strong knowledge of SQL (PostgreSQL, Snowflake, …)Experience with AWS (S3, EC2, RDS, …)You are proficient in business EnglishIt would be a plus if you...You have worked with Airflow or similar tools.You have worked in a multidisciplinary team working with roles such as data analysts, data scientists, marketing or product managers.You are familiar with tools and processes for reproducible, production-ready ML applications (e.g. data logging, ML workflows, model serving).You have worked with the API of the most popular marketing tools (Facebook, Google, Instagram, etc.)You have built data-powered tools either in a professional setting or as passion projects.Benefits & PerksAttractive compensation package consisting of base salary and the potential to earn a significant bonus for top performance.Stock options.Opportunity to have a real impact in a high-growth global category leader40% discount on all Fever events and experiencesHome office friendlyResponsibility from day one and professional and personal growthGreat work environment with a young, international team of talented people to work with!Health insurance and other benefits such as Flexible remuneration with a 100% tax exemption through Cobee.English LessonsGympass MembershipPossibility to receive in advance part of your salary by Payflow.Thank you for considering joining Fever. We cannot wait to learn more about you!If you want to learn more about us: Fever's Blog | Tech.Eu |TechCrunchFever is committed to creating an inclusive and diverse workspace where everyone's background and ideas count. Our main goal is to find the best possible talent regardless of place of birth, racial or ethnic origin, gender, gender identity, religion, opinion, sexual orientation, disability, pregnancy, marital status, age or caring responsibilities. We encourage everyone to apply!If you require any kind of accommodation during the selection process please contact our Talent team so we can help you by providing a welcoming and seamless journey.If you want to know more about how Fever processes your personal data, click here Fever - Candidate Privacy Notice
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Optiva Media - an EPAM Company,Spain,1 week ago,29 applicants,Data Engineer en remoto desde España,"ABOUT US:¿Te apasiona la tecnología? ¿Te atrae el mundo digital? ¿Te gustaría formar parte de un equipo que comparte tus ganas de aprender y crecer? ¿Te gustaría participar en distintos proyectos para compañías como Digidentity, Liberty Global, Nike, HBO, La liga, Sky, Fox, Filmin, Movistar+ o National Geographic?¡Entonces no pierdas la oportunidad de formar parte de nuestro equipo!En Optiva Media estamos buscando un Senior Data Engineer para formar parte de un equipo donde crecer profesionalmente.Responsabilidades del candidato:Diseño, construcción y mantenimiento de eficientes canalizaciones de datos para extraer, transformar y cargar información en nuestro almacén de datos.Creación y gestión de modelos de datos robustos, implementación de procesos de transformación y flujos ETL, administración de bases de datos, establecimiento de estándares de calidad y gobernanza de datos, garantía de seguridad y cumplimiento, optimización del rendimiento, monitoreo proactivo y resolución de problemas, junto con la creación de documentación completa para facilitar la colaboración y la integración de nuevos miembros.Requisitos indispensables:Experiencia práctica en ETL y técnicas de transformación de datos para procesar y limpiar los datos de manera eficaz.Conocimientos prácticos de AWSConocimiento práctico de herramientas de ingeniería de datos: Dataflow, BigQuery, Databricks, Airflow...Conocimientos prácticos de lenguajes de programación: Python, pyspark, scalaConocimiento de bases de datos de origen.Conocimientos en CI/CDResidir en EspañaBuen nivel de inglés hablado.Y NOSOTROS ¿QUÉ TENEMOS PARA TI?😊Y como no todo es pedir, nosotros ofrecemos, entre otras cosas:-Formación con acceso a más de 7.000 cursos y certificaciones-Plan de carrera-Seguro médico-Gympass-Retribución flexible y ayuda al teletrabajo-y muchos más.Si te parece interesante y quieres conocernos para que te expliquemos lo que hacemos y todo lo que podemos ofrecer, no lo dudes, ¡inscríbete!


        Show more

        


        Show less",Associate,Full-time,Engineering,Telecommunications
Grupo Digital,"Madrid, Community of Madrid, Spain",2 months ago,,"Data Engineer (Remoto) (Madrid) - Madrid, Madrid, Comunidad de Madrid, España","DescriptionDesde Grupo Digital, buscamos perfiles de Data Engineer para importante proyecto estable.Localización y modalidad: Preferente con ubicación en Madrid para trabajar en esquema híbrido (se admiten candidatos en remoto pero se valora positivamente la posibilidad de ir algún día presencial a la oficina zona La Vaguada).RolData Engineer (Remoto) (Madrid)FuncionesAnalizar los requerimientos identificando las fuentes de información para después crear o adecuar las tablas y campos requeridos destino en las distintas capas del Data Lake.Implementar todos los data pipelines y su orquestación necesarios para disponibilidad dicha información para su posterior uso.Minimum RequirementsPerfil Data Engineer con al menos tres (3) años de experiencia en el diseño, desarrollo e implementación de data pipelines bajo el entorno Azure de Microsoft y Databricks.Requisitos IndispensablesExperiencia en Azure, tales como Data Factory, Azure Blob Storage, Azure Data Lake, Azure SQL Server y DevOps.Experiencia en PySpark, SQL, Stored-Procedures de SQL Server y FTP. Requisitos DeseablesExperiencia en Azure Functions, Synapse, DataFlow, Power BI.Experiencia en Databricks sobre entorno Azure.Conocimientos en Virtual Machines, Azure Kubernetes Services, Azure Logic Apps, Azure PowerAutomate, Azure Event Grid, Azure CosmosDB.Conocimientos y/o experiencia en FinOps.Conocimientos y/o experiencia en Data Observability y/o Data Quality.Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,IT Services and IT Consulting
The Cocktail,"Madrid, Community of Madrid, Spain",2 weeks ago,53 applicants,Beca Data Engineer,"Así somos.The Cocktail es una consultora tecnológica multinacional cuya misión es acelerar el crecimiento sostenible de nuestros clientes. Movilizamos grandes organizaciones para mejorar la relación entre las marcas y personas mediante el Diseño, los Datos y la Tecnología. Entendemos lo que nuestros clientes necesitan y orquestamos capacidades para lograr esos objetivos a una velocidad de vértigo. Nuestra cultura se basa en la diversidad, creatividad y en la mezcla de especialistas (estrategia, diseño, tecnología, data, investigación…) Nuestras carreras se caracterizan por un crecimiento profesional exponencial, y por la participación en proyectos con impacto real en grandes clientes. Formar parte de The Cocktail implica rodearse de un equipo inspirador del que aprender y que te ayudará a crecer. Trabajamos bajo la máxima de que es mejor pedir perdón que permiso, por eso, esperamos de ti una visión disruptiva y challenger, inconformismo y pasión por la excelencia y los desafíos.Si quieres moverte en un entorno retador, crear proyectos innovadores y hacer que las cosas pasen, The Cocktail es para ti.The Cocktail University es nuestra apuesta por los jóvenes talentos: te acompañamos en tu viaje de búsqueda de nuevos retos, en tu crecimiento profesional y personal, y en la construcción de tu futuro. Participarás en proyectos con cliente, recibirás píldoras formativas sobre aptitudes de trabajo en equipo y propias de una empresa con vocación de servicio al cliente, te daremos espacios para compartir aprendizajes con la comunidad TCKU, te daremos la oportunidad de desarrollarte en lo que tú quieras según tus objetivos, y todo con la flexibilidad que necesites ya que entendemos que tu prioridad son tus estudios.Este es el reto.Buscamos estudiantes de grados de Ingeniería Informática, másteres relacionados con Big Data o similares, para ser parte de nuestro equipo de CDP Tech o Data Engineer. Lideramos proyectos con clientes nacionales e internacionales, es imprescindible la capacidad de trabajar en inglés. Si te encanta la programación, te motiva la utilización de los datos para soportar la toma de decisiones de negocio y quieres iniciarte en el mundo de la consultoría, este reto es para ti ;)Entre otras cosas, esto es lo que harás.Participarás en proyectos de transformación digital, ayudando a grandes empresas a mejorar su negocio a través de la recolección y el análisis de datos.Trabajarás en entorno cloud (GCP, AWS, Azure) y aprenderás a utilizar las herramientas adecuadas para cada problema en concreto.Aprenderás programación orientada a objetos y buenas prácticas principalmente en Python.Trabajarás con bibliotecas de tratamiento de datos y machine learning.Conocerás las bases de los procesos ETLs y SQL.Aprenderás procesos complejos de puesta en producción en cloud de modelos Machine Learning.Aprenderás a trabajar con Git cómo versionado de código.Aprenderás muy rápido en un entorno de cambio constante.Aportarás valor a tu equipo desde el principio.¿Cómo es la experiencia en The Cocktail?Nuestras becas son un espacio donde hay lugar para el debate, la innovación y la transformación.Las prácticas son remuneradas, y tendrás un horario que se adapta a tus necesidades de estudio.Formarás parte de equipos multidisciplinares y podrás trabajar de forma conjunta con especialistas de otras áreas.No tenemos dress code. Ven como quieras a trabajar.Podrás disfrutar de un día de vacaciones por cada mes de beca.Multinacional y multicultural. Somos una compañía internacional presente en más de 90 mercados. Tenemos oficinas en Madrid, Oviedo, Londres, Colombia, México y una red internacional proporcionada por Wunderman Thompson.En The Cocktail pretendemos ser un referente en talento y calidad humana, y sólo lo conseguiremos siendo una compañía abierta y diversa, por eso tenemos un Código de Conducta que refleja nuestras expectativas de las personas que participan en la empresa. Ofrecemos un entorno acogedor para todos, independientemente de su identidad o expresión de género, orientación sexual, capacidad, origen, religión, estatus socioeconómico…Próximos pasos: Si has llegado hasta aquí es porque hemos conseguido llamar tu atención ;)Apúntate a la oferta y el equipo de People echará un vistazo a tu CV. Si coincide con lo que buscamos, recibirás una llamada para conocernos mejor, que podamos contarte más sobre The Cocktail y sobre el rol.Nuestros procesos de selección suelen tener alrededor de dos o tres entrevistas, y es posible que en algún momento queramos verte en acción y te propongamos un reto técnico.Si necesitas un tip para el proceso: simplemente queremos que seas tú.¿Te vienes?


        Show more

        


        Show less",Internship,Full-time,Consulting and Information Technology,Business Consulting and Services
Adyen,"Madrid, Community of Madrid, Spain",4 days ago,,Data Engineer,"This is AdyenAdyen provides payments, data, and financial products in a single solution for customers like Meta, Uber, H&M, and Microsoft - making us the financial technology platform of choice. At Adyen, everything we do is engineered for ambition.For our teams, we create an environment with opportunities for our people to succeed, backed by the culture and support to ensure they are enabled to truly own their careers. We are motivated individuals who tackle unique technical challenges at scale and solve them as a team. Together, we deliver innovative and ethical solutions that help businesses achieve their ambitions faster.Data EngineerResponsibilitiesAt Adyen, we treat data and data artifacts as first-class citizens. They form our backbone and drive the business and product insights we generate. To this end, Adyen is looking for a Data Engineer to join our development team in Madrid, a person that understands the business context and the data needs behind it, and knows how to implement quality data pipelines on our Big Data Platform. Your pipelines will fuel stunning visuals, reports, and raw or refined datasets for internal or external use. You will be responsible for creating performant and high-quality ETL/ELTs and ensuring users have access to correct, accurate and performant data and insights. In this role, you will-Work with product teams, product specialists and data analysts, analyzing their data and transcribing their data needs that render into data pipelines.Design, develop, deploy and operate production ETL/ELT pipelines in PySpark.Build data products and tooling according to quality principles such as performance, code quality, data validation, data governance and discoverability.Establish and spread data analytics best practices across the organization.Organize data analytics related training sessions.Develop linters and other tooling bespoke to Adyen to help ensure a high-quality pipeline codebaseWho You AreYou have experience building ETLs/ELTs, ideally in PySpark and Airflow.You have interest in data engineering practices and product knowledge, specifically in how to leverage the power of analytics into business.You have a good understanding of Software Engineering practices and Data Engineering principles.You are able to communicate complex outcomes with clarity over a wide range of audiences.Technology- Python and SQL are a must.Mentality- An experimental mindset with a launch fast and iterate mentality. A strong statistics/mathematics background is a plusOur Diversity, Equity and Inclusion commitments Our unique approach is a product of our diverse perspectives. This diversity of backgrounds and cultures is essential in helping us maintain our momentum. Our business and technical challenges are unique, and we need as many different voices as possible to join us in solving them - voices like yours. No matter who you are or where you’re from, we welcome you to be your true self at Adyen.Studies show that women and members of underrepresented communities apply for jobs only if they meet 100% of the qualifications. Does this sound like you? If so, Adyen encourages you to reconsider and apply. We look forward to your application!What’s next?Ensuring a smooth and enjoyable candidate experience is critical for us. We aim to get back to you regarding your application within 5 business days. Our interview process tends to take about 4 weeks to complete, but may fluctuate depending on the role. Learn more about our hiring process here. Don’t be afraid to let us know if you need more flexibility.
      

        Show more

        


        Show less",Mid-Senior level,Full-time,Information Technology,Financial Services
Logicalis Spain,Spain,3 weeks ago,,Data Engineer (100% REMOTO),"En Logicalis Spain estamos buscando un perfil de Data Engineer para nuestra Business Unit de Data & Analytics.FUNCIONESAprovisionar datos de diversas fuentes y llevarlos al data lakehouse corporativo para su explotación mediante BI, Machine Learning e Inteligencia Artificial.Gestionar y orquestar complejas pipelines de carga de datos (en streaming y batch).Proponer y realizar las integraciones óptimas para cada propósito específico.REQUISITOS TÉCNICOSFormación técnica en Informática, Ingeniería, Matemáticas o campo relacionado.Experiencia con Spark (pyspark, sparksql) y clusters sparkExperiencia en programación (Preferiblemente Python, alternativamente Scala o Java)Familiaridad con técnicas y herramientas de procesado Big DataExperiencia SQL (preferiblemente sobre Oracle)Experiencia con Linux Scripting (shell) y CrontabExperiencia en integraciones con datos desestructurados y semiestructurados Experiencia en la gestión y orquestación de pipelines de carga de datos complejas.Experiencia con integraciones REST API.REQUISITOS> Incorporación inmediata a compañía líder del sector IT certificada como empresa Great Place to Work.> Estabilidad laboral con contrato indefinido.> Modalidad de trabajo 100% remoto.> Paquete retributivo muy competitivo acorde a la valía del candidato.> Posibilidad de acogerse a planes de retribución flexible (tarjeta restaurante, tarjeta transporte y tarjeta guardería).> Seguro médico y GYMPASS.> Desarrollo personal y profesional (cursos técnicos, certificaciones oficiales, de idiomas...).> Portal de descuentos especiales para empleados.> Entorno y ambiente de trabajo altamente colaborativos.


        Show more

        


        Show less",Associate,Full-time,Information Technology,IT Services and IT Consulting
FRG Technology Consulting,"Madrid, Community of Madrid, Spain",2 months ago,,Data Engineer - Madrid/Barcelona,"Data Engineer¿Buscas un cambio profesional? Estamos colaborando con una de las consultoras Data más grandes en Europa.¿Cuáles serán tun funciones?Participarás en los proyectos de Data mas potentes de la compañía, colaborando con numerosas empresas del Ibex 35 e internacionales. Funciones propias de un Data Enginner, trabajarás con las nubes de AWS, Azure o GCP. ¿Qué te hará triunfar en la posición?Data Engineer con AWS o con Azure.Experiencia: de 3 a 5 años.Inglés alto.Modelado de datos, ETL, BBDD SQL.AWS: Glue, S3, Redsis, Lambda o Azure.Snowflake o alguna otra Cloud también es valorable. CondicionesSalario: 45.000€ b/a, dependiendo de experiencia.Estructura salarial: Fijos + Plan de retribución flexible (seguros de salud, tickets restaurant, guarderia, etc.)Modelo de trabajo: híbrido en Madrid o Barcelona. ¿Hablamos? p.hernando@frgconsulting.com
      

        Show more

        


        Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
