scrape_date,company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
2024-02-26 01:58,Leya,"Stockholm, Stockholm County, Sweden",2 days ago,,Data Engineer,"ResponsibilitiesLeya runs on data. As a Data Engineer at Leya, you'll be the backbone of our data operations, playing a pivotal role in making legal insights more accessible. Your responsibilities will include:Data Pipeline Development: Design and build robust, scalable data pipelines to support our AI models. You'll ensure the smooth flow of data from various sources, making it ready for analysis and deployment in our AI tools.Database Management and Optimization: Oversee our databases. You'll focus on optimizing data storage and retrieval, ensuring speed and efficiency while maintaining data integrity and security.Who you areStrong track record in data engineeringExperience with data modeling, warehousing, and building ETL pipelinesPreferably experience with vector databasesExcited to join a start-up and to contribute where you see opportunitiesEager to be part of the LLM revolution



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Software Development
2024-02-26 01:58,Avanza Bank,"Stockholm, Stockholm County, Sweden",14 hours ago,,Data Engineer – Data/Analysplattform,"Med 1,8 miljoner kunder och störst andel av alla avslut på Stockholmsbörsen har vi en hel del data som måste hanteras. I rollen som plattformsutvecklare i dataplattformen med fokus på Google Cloud Platform, BigQuery och dbt blir du en viktig del i att utveckla tekniken för att möjliggöra vår vision att skapa en bättre framtid för miljoner människor!Om Teamet Och RollenHos oss har teamen stark autonomi i att välja teknik för plattformen och dess utveckling. Vi jobbar tillsammans för att ständigt förbättra arkitekturen, funktionaliteten och teamets effektivitet och välmående, allt för att på bästa möjliga sätt kunna skapa värde från stora mängder data.En data engineer i vårt team förstår värdet i att ta in utvecklartänket i dataområdet. Det innebär versionshantering, testning och att se data som en produkt. Det gäller även att, med DevOps-tänk i ryggraden, kunna utveckla modern infrastruktur i molnet och hur den kan knytas till befintliga strukturer på ett säkert sätt.I dataplattformsteamet är det väsentligt att ha djup förståelse för både den centrala tekniken som användarupplevelsen på plattformen. Vi arbetar ständigt för att förstå hur vi kan minska utvecklare och andra kollegors kognitiva last, för att på så sätt förbättra användarupplevelsen. Det ska vara enkelt att bygga kundvärde på Avanza!Vi utvecklar kontinuerligt plattformen så att den blir mer strömlinjeformad, säker och automatiserad. Det är hög innovationstakt inom datavärlden och detta ger oss möjligheten att bygga bättre och häftigare lösningar kontinuerligt. Vi hoppas du vill följa med oss på denna roliga resa framåt!Hos Oss Kommer DuSätta ramarna för dataprodukter i dbt, BigQuery, Python och andra verktygJobba med verktyg så som Terraform på GCPTa fram verktyg för effektiva förädlingsflöden och datapipelinesArbeta med säkerhet och behörigheter för dataUtbilda kollegor i tekniker och arkitekturJavautveckling för integrering med Avanzas backend-apparDin ProfilEn data engineer i vårt team förstår vikten av samarbete och värdet i att vara service minded då våra kunder är Avanzas egna utvecklingsteam, det betyder coachning och support runt dataförädling inom kundteamens egna domäner. Teamets snabbrörliga vardag innebär att flexibilitet och kontext-switching är vanligt och du behöver känna dig bekväm med detta. Teamet driver även autonomt många av sina projekt och för att trivas i rollen behöver du våga att testa och trivas i att driva dina initiativ framåt.Vi Tror DuErfarenhet av AWS, GCP eller liknande molnmiljöÄr väl förtrogen med en data engineers verktygslåda (t ex Python, SQL, dbt, Airflow, Prefect, Terraform, Docker eller Great Expectations)Har kunskap inom modern infrastruktur och DevOps (CI/CD, Testautomatisering)Har goda kunskaper i svenska, både i tal och skriftDet Är Meriterande Om DuÄr kunnig inom systemutveckling i JavaDeltagit i ML- eller ML-Ops-projektHar erfarenhet inom IT-säkerhetAnsökanSkicka din ansökan genom att klicka på knappen ”Ansök nu” under annonsen. Skicka gärna din ansökan snarast då urvalet sker löpande, dock senast den 25 Februari. Vi tar inte emot ansökningar via mejl p.g.a. GDPR. Välkommen med din ansökan!Erbjudanden från rekryteringsföretag/annonssäljare undanbedes./



        
            Show more
          

          



        
            Show less",Associate,Full-time,Information Technology,Financial Services
,,,,,,,,,,
2024-02-26 01:58,Nordnet Bank AB,"Stockholm, Stockholm County, Sweden",2 days ago,,Data Engineer,"Nordnet redefined the financial world as the first digital bank in Europe. Now we are about to do it again and the aim is to create the next generation bank, in the cloud. We know that this requires great people, great teams, and great technology. Do you want to join us and build the new Nordnet?In briefWe believe that our future success will be based on our ability to leverage the large amounts of data generated on our platform every day. We need the ability to gain fast insights from usage of our services to enable short cycles of product refinement and be able to develop new data-driven services based on all of our data.During 2020 we began migrating our backend services to GCP with the ambition of being one of the few banks with cloud-based services in a highly regulated industry.During 2021 we started to rewrite our Data & Analytics Environment from the bottom up on GCP. In 2023, we embarked on a journey of implementing a Data Mesh. We currently have many of the basic building blocks in place but we still have a long way to go before we reach our vision.About The RoleAs a Data Engineer in the Data Platform team your focus will be to support Nordnet’s journey towards a Data Mesh, and building the best platform for it. The team is responsible for the designing and building of our Self-Serve Data Platform on GCP, and we are also driving the vision towards the rest of the organisation, changing how we all work with and leverage data.On a day to day basis, you will work on such things as:Build tools and standardise how to create and share data products at NordnetEducating engineers and analysts about working with data and the platformWorking with standards around accessibility, discoverability, security, monitoring etcDesign and improve platform architecture using modern IaC-principlesThe team is part of the Data & Insights department at Nordnet, and consists of Data Engineers and BI Engineers. We collaborate closely with Analysts, Data Scientists and development teams.This Is YouYou are passionate about data, infrastructure, and the opportunities it provides. You want to contribute with your experience and knowledge. Collaboration and discussing ideas and concepts with your colleagues are things you enjoy and believe are important in order to build great products.As a Data Engineer youHave a minimum 3 years of experience working as a Data EngineerHave experience from working in a cloud environment, preferably GCPAre comfortable working with Infrastructure as Code (Terraform), DevOps and CI/CDHave good knowledge of SQL and PythonAre a problem solver – if you need an answer you will find itEnjoy pair/mob programmingHold a Bachelor’s degree or higher in Engineering, Computer Science, Mathematics or related technological fields.Other than the above, the following would be a plus if you have:Knowledge of Data MeshExperience with productionalize ML modelsExperience with tech like dbt, BigQuery and LookerBank and Finance experienceWhat We OfferA nice atmosphere where everyone is eager to learn from each other, your expertise will be appreciated from day oneEmployee benefits on mortgage, private loan and 5000 SEK friskvårdsbidragNordnet started from a passionate belief that changing the hierarchical financial world was possible. We became part of redefining the industry when we gave the customers power over their own savings. You will become part of a journey that has only yet started towards the vision of making our customers the best investors they can be.We offer you the opportunity to work in a Nordic environment with a strong focus on delivery, product development and technology. Our ambitions are high and you will embark on a fast and challenging journey together with a skillful team of sharp and committed colleagues. At Nordnet we have a flexible way of working and combine working from home with working from the office at Kungsholmen.We believe in a culture where every effort counts and where everyone is being recognized. A culture embracing our core values – passion, simplicity and transparency on all levels, no matter who you are or what you do.We are over 800 employees in Stockholm, Oslo, Helsinki and Copenhagen.Visit us on www.nordnetab.com,www.nordnet.se,www.nordnet.no, www.nordnet.dk and www.nordnet.fi.ApplicationPlease apply today. We will start interviewing immediately. Please note that we do only accept applications through our recruitment system, hence no email applications will be considered.If you have questions, please contact Talent Acquisition Partner, Joachim Öberg, joachim.oberg@nordnet.se.We want to inform you that Nordnet conduct credit and background checks and drug test on the final candidate.We look forward to receiving your application!



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Banking
2024-02-26 01:58,ICA Gruppen,"Solna, Stockholm County, Sweden",6 days ago,62 applicants,Data Engineer,"We are hiring a Data Engineer to improve our data modelling in our efficient platform for data driven analytics at ICA. Our digital transformation journey started a few years back with migrating BI/DW platform to Google Cloud Platform and we are creating an infrastructure to be more data driven and to run the machine learning use cases on the cloud. The team has grown into a data engineering function with multi skilled teams. We now are hiring Data Engineers ready for senior positions taking lead in different specific areas. Are you one?Team work – and skill development As our Data Engineer, you will work in a team with 3-6 Engineers, some more juniors and some Senior and Lead Engineers. You will be more focused on data modelling. But also work with Warehousing / data pipelines, building technical frameworks or AI and Machine Learning. You will also be a part of establishing frameworks, guidelines and routines for the best ways of working – we are the experts designing our way of working. Some in our DE team are working more with data modelling and analytics with data science skills. Our ambition with our work is to embed advanced analytics, AI and Machine Learning naturally into our business processes. You will be using open source and Google products in cloud environment in an agile way of working.You build it – You run it.Our missionOur performance is enabling the ICA Business. Great efficient data quality and advanced analysis are needed for better prices, understanding changing markets and decisions in the fast-moving consumer goods e-commerce and insights for all our ICA retailers.We are looking for youWe are now scouting for a strong Data Engineer with great data modelling skills. You are qualified with experiences in GCP, DBT, Azure or AWS. You need to be skilled in Python and SQL.Skills and experience in Data Science Data Analysis are also merits. You need to have a valid work permit for Sweden or an EU citizenship.Apply nowAny kind of questions about the position contact hiring manager Madeleine Sidmar  +46722200038, questions about the selection process or terms & conditions at ICA please contact Markus Koppari, +4672 220 28 31. Apply as soon as possible, but no later than 2024-03-31.During this recruitment process we will use online tools for interviews and getting to know your skills. We also apply drug testing before all new hires.
        


        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Information Technology,"Civil Engineering, Software Development, and Financial Services"
2024-02-26 01:58,Dabster,"Stockholm, Stockholm County, Sweden",3 days ago,,Data Engineer,"10+ Years of experience with Proficient in Python programming for data manipulation and automation.Experience in working with SQL, and NoSQL databases for data extraction, transformation, and loading (ETL).Expertise with Power BI for data visualization and reporting.Experience in Jenkins pipeline orchestration for automated data workflows and deployments.Familiarity with issue tracking and project management tools like Jira.Ability to work with large datasets, perform data analysis, and create insightful reports.Good communication and Collaboration skills with cross-functional teams to gather and define data requirements.Docker, Kubernetes and Cloud knowledge is a plus.



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,IT Services and IT Consulting
,,,,,,,,,,
,,,,,,,,,,
2024-02-26 01:58,Netcompany-Intrasoft,"Solna, Stockholm County, Sweden",3 days ago,25 applicants,ETL Developer,"Company DescriptionWe are Netcompany-Intrasoft, a leading European IT Solutions and Services Group with strong international presence and expertise, offering innovative and added-value solutions of the highest quality to a wide range of international and national public and private organizations. More than 500 organizations in over 70 countries worldwide have chosen the company's services and solutions to fulfill their business needs.For more information regarding our company, current projects, and openings around Europe, please consult our website: www.netcompany-intrasoft.com.Job DescriptionA day in the life of a ETL Developer Intelligence (BI) for Large European Institutions ProjectsAs a ETL Developer for Large European Institutions Projects, you will be part of highly skilled agile teams that design, develop, deploy, customize, and support break-through applications for EU institutions.Your main duties will be to:Data modellingData warehouse architectureDesign and develop new and optimize existing ETL flows for system integration, automated dataflows, data validation and storageContribute to the design of the overall solution architecture, interfaces, services, infrastructure configuration, security and access policiesOptimize performance of new and exisiting ETL flows.Testing ETL solutions and integration testing individually or in collaboration with other teamsQualificationsIf you have3 years Experience as ETL developer/Engineer developer using FME 3 years Experience using SQL of which a minimum of 1 year TransactSQLKnowledge of the software development lifecycle in both: waterfall and Agile/DevOps modesExperience working with work item management tools (e.g. Azure DevOps, TFS or Jira) Experience producing and maintaining technical documentationProactive communication and collaboration skill in a multidisciplinary teamExperience of working in an Agile environmentExperience with DevOps practices, CI/CD and automationAdvanced TransactSQL skillsExperience in SSISWork in a multicultural context.…then this position is suitable for you!It would be nice if you hadGeneral knowledge of EU institutions.Experience with European Commission is an asset.Knowledge of other EU languages is a plus, especially French.Project Management Professional (PMP).PRINCE2 Foundation/PRINCE2 Practitioner.Certified in PM2.This position comes with:Competitive compensation packages.Interesting and challenging tasks within large-scale projects.An international dynamic within a fast-paced working environment.The opportunity to work in a diverse environment with talented colleagues.Additional InformationWe ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. At Netcompany-Intrasoft we respect human rights as part of our culture, and we focus on creating a positive workplace in which all employees are valued and where diversity and inclusivity are welcomed.The safety and well-being of our employees remain our top priority. Please note that Netcompany-Intrasoft’s recruitment process is being conducted virtually due to preventive measures against the Covid-19 pandemic.Please submit your CV in EnglishAll applications will be treated as strictly confidential.Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU #BePartOfSomethingGreat!Please submit your CV in EnglishAll applications will be treated as strictly confidential.



        
            Show more
          

          



        
            Show less",Mid-Senior level,Full-time,Project Management,IT Services and IT Consulting
2024-02-26 01:58,Senovo IT Ltd,"Stockholm, Stockholm County, Sweden",4 days ago,28 applicants,GCP Data Engineer,"Senovo IT is currently looking for a GCP Data Engineer for a freelance position in Sweden.Initial contract 12 months + a high possibility of further extensionLocation: Stockholm, Sweden (hybrid – 2 days on-site)Main technologies:Data Engineering - 3 years+Google Cloud Platform (GCP)BigQueryPythonGood to have:Retail industryEnglish/ Swedish is only nice to haveIf you would be interested to discuss more details please come back to Ina@senovo-it.com for immediate consideration



        
            Show more
          

          



        
            Show less",Mid-Senior level,Contract,Engineering,Retail
