company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
Talent Disruptors,"Athens, Attiki, Greece",8 hours ago,26 applicants,Data Analyst,,Entry level,Full-time,Information Technology,Staffing and Recruiting
MANDYNAMIC,Greece,5 days ago,,Data Analyst,,Entry level,Full-time,Analyst,"Technology, Information and Internet"
PwC Greece,"Athens, Attiki, Greece",6 months ago,,Data Analyst,,Mid-Senior level,Full-time,Analyst,"Technology, Information and Internet"
SILVARE Consulting L.P.,"Athens, Attiki, Greece",2 months ago,197 applicants,Data Analyst,,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Unilever,"Athens, Attiki, Greece",2 days ago,,Data Analyst UFS,,Entry level,Full-time,Information Technology,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing"
Energy Aspects,"Athens, Attiki, Greece",1 week ago,,Data Analyst - OilX,,Entry level,Full-time,Information Technology,Oil and Gas
VesselBot-Enabling Sustainable Supply Chains,"Athens, Attiki, Greece",1 week ago,40 applicants,Data Analyst,,Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Etraveli Group,"Athens, Attiki, Greece",2 weeks ago,,Fintech Data Analyst,,Entry level,Full-time,Analyst,"Technology, Information and Internet"
Overmind,"Athens, Attiki, Greece",2 months ago,158 applicants,Data Analyst,,Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Alma Economics,"Athens, Attiki, Greece",3 days ago,124 applicants,Data Analyst,,Entry level,Full-time,Information Technology and Consulting,Business Consulting and Services
Cepal Hellas Financial Services S.A.,"Athens, Attiki, Greece",1 month ago,96 applicants,Enterprise Data Analyst,,Entry level,Full-time,Analyst,"Technology, Information and Internet"
,,,,,,,,,
Nova,"Athens, Attiki, Greece",1 week ago,52 applicants,Campaign Data Analyst,,Associate,Full-time,Analyst,"Telecommunications and Technology, Information and Media"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
